SimulationId,ModelPortfolioId,PortfolioId,InceptionDate,StopDate,ForceInitialRebalancing,SetInitialBookCost
"Garth1_CASH_20k_J1","Garth1","CASH_20k",2015-01-01,,1,0
"Garth1_CASH_20k_M13","Garth1","CASH_20k",2015-03-13,,1,0
"CP_ETF_CASH_20k_J1","CP_ETF","CASH_20k",2015-01-01,,1,0
"CP_ETF_CASH_20k_M13","CP_ETF","CASH_20k",2015-03-13,,1,0
"PWL_4060B_CASH_20k_J1","PWL_4060B","CASH_20k",2015-01-01,,1,0
"PWL_4060B_CASH_20k_M13","PWL_4060B","CASH_20k",2015-03-13,,1,0
"PWL_4060S_CASH_20k_J1","PWL_4060S","CASH_20k",2015-01-01,,1,0
"PWL_4060S_CASH_20k_M13","PWL_4060S","CASH_20k",2015-03-13,,1,0
"ISHARES_CASH_20k_M13","ISHARES","CASH_20k",2015-03-13,,1,0

"Garth1_CASH_20k_X","Garth1","CASH_20k",2014-08-01,,1,0
"CP_ETF_CASH_20k_X","CP_ETF","CASH_20k",2014-08-01,,1,0
"PWL_4060B_CASH_20k_X","PWL_4060B","CASH_20k",2014-08-01,,1,0
"PWL_4060S_CASH_20k_X","PWL_4060S","CASH_20k",2014-08-01,,1,0
"ISHARES_CASH_20k_X","ISHARES","CASH_20k",2014-08-01,,1,0

"Garth1_CASH_20k","Garth1","CASH_20k",2015-01-01,,1,0
"RBC_ETF_CASH_20k","RBC_ETF","CASH_20k",2015-12-01,,1,0
"XUS_VSB_CASH_20k","XUS_VSB","CASH_20k",2015-12-01,,1,0
"Garth1_CASH_41k","Garth1","CASH_41k",2016-01-01,,1,0
"Garth1_Ex","Garth1","Ex",2016-01-01,,1,1
"Lousy","LOUSY","Ex",2016-01-01,,1,1
"Other","Garth1","Other","2016-12-06",,0,0
