Date,Dividends
2016-12-01,0.136000
2016-11-01,0.137000
2016-10-03,0.140000
2016-09-01,0.140000
2016-08-01,0.143000
2016-07-01,0.144000
2016-06-01,0.144000
2016-05-02,0.137000
2016-04-01,0.140000
2016-03-01,0.135000
2016-02-01,0.111000
2015-12-23,0.230000
2015-12-01,0.133000
2015-10-01,0.132000
2015-09-01,0.128000
2015-08-03,0.131000
2015-07-01,0.128000
2015-06-01,0.128000
2015-05-01,0.124000
2015-04-01,0.134000
2015-03-02,0.124000
2015-02-02,0.116000
2014-12-23,0.277000
2014-12-01,0.118000
2014-11-03,0.125000
2014-10-01,0.122000
2014-09-02,0.114000
2014-08-01,0.121000
2014-07-01,0.119000
2014-06-02,0.122000
2014-05-01,0.118000
2014-04-01,0.128000
2014-03-03,0.119000
2014-02-03,0.115000
