Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,24.370001,24.379999,24.35,24.35,12000,24.35
2016-11-30,24.42,24.42,24.40,24.40,53800,24.40
2016-11-29,24.42,24.43,24.42,24.43,17800,24.43
2016-11-28,24.459999,24.459999,24.41,24.41,35200,24.41
2016-11-25,24.51,24.51,24.48,24.48,57600,24.395999
2016-11-24,24.50,24.50,24.469999,24.469999,22700,24.386033
2016-11-23,24.50,24.51,24.48,24.49,48000,24.405965
2016-11-22,24.51,24.52,24.469999,24.49,205900,24.405965
2016-11-21,24.50,24.51,24.49,24.49,26400,24.405965
2016-11-18,24.51,24.51,24.49,24.51,117500,24.425897
2016-11-17,24.51,24.52,24.469999,24.469999,134200,24.386033
2016-11-16,24.51,24.52,24.50,24.51,19500,24.425897
2016-11-15,24.50,24.51,24.50,24.51,32200,24.425897
2016-11-14,24.52,24.52,24.49,24.49,20600,24.405965
2016-11-11,24.59,24.639999,24.540001,24.540001,27200,24.455795
2016-11-10,24.559999,24.57,24.530001,24.540001,27700,24.455795
2016-11-09,24.620001,24.620001,24.559999,24.57,54000,24.485691
2016-11-08,24.620001,24.629999,24.60,24.610001,30400,24.525554
2016-11-07,24.629999,24.629999,24.620001,24.629999,7400,24.545484
2016-11-04,24.65,24.65,24.639999,24.65,42500,24.565416
2016-11-03,24.610001,24.629999,24.610001,24.629999,26500,24.545484
2016-11-02,24.629999,24.639999,24.620001,24.629999,45000,24.545484
2016-11-01,24.629999,24.629999,24.60,24.610001,24800,24.525554
2016-10-31,24.629999,24.629999,24.610001,24.610001,41900,24.525554
2016-10-28,24.610001,24.610001,24.59,24.610001,29100,24.525554
2016-10-27,24.620001,24.620001,24.59,24.60,34700,24.515588
2016-10-26,24.700001,24.700001,24.66,24.66,36700,24.504626
2016-10-25,24.700001,24.700001,24.68,24.68,19600,24.524501
2016-10-24,24.700001,24.700001,24.66,24.66,57400,24.504626
2016-10-21,24.700001,24.700001,24.68,24.68,11500,24.524501
2016-10-20,24.65,24.68,24.65,24.68,32100,24.524501
2016-10-19,24.639999,24.639999,24.59,24.610001,381300,24.454942
2016-10-18,24.639999,24.65,24.629999,24.65,23800,24.494689
2016-10-17,24.639999,24.65,24.620001,24.620001,32800,24.464879
2016-10-14,24.620001,24.620001,24.620001,24.620001,22900,24.464879
2016-10-13,24.620001,24.629999,24.620001,24.620001,25200,24.464879
2016-10-12,24.620001,24.629999,24.610001,24.610001,17800,24.454942
2016-10-11,24.629999,24.639999,24.620001,24.620001,219700,24.464879
2016-10-07,24.65,24.67,24.629999,24.67,66400,24.514564
2016-10-06,24.639999,24.65,24.639999,24.65,11400,24.494689
2016-10-05,24.67,24.68,24.610001,24.620001,155200,24.464879
2016-10-04,24.690001,24.700001,24.68,24.68,30400,24.524501
2016-10-03,24.709999,24.709999,24.690001,24.690001,14300,24.534438
2016-09-30,24.719999,24.719999,24.690001,24.700001,22000,24.544375
2016-09-29,24.700001,24.73,24.700001,24.719999,30600,24.564248
2016-09-28,24.719999,24.719999,24.709999,24.709999,28200,24.554311
2016-09-27,24.73,24.73,24.709999,24.719999,23800,24.564248
2016-09-26,24.700001,24.709999,24.68,24.68,40800,24.524501
2016-09-23,24.68,24.700001,24.68,24.700001,40500,24.544375
2016-09-22,24.65,24.66,24.65,24.66,50400,24.504626
2016-09-21,24.639999,24.65,24.610001,24.620001,97200,24.464879
2016-09-20,24.639999,24.65,24.639999,24.639999,54800,24.484752
2016-09-19,24.639999,24.639999,24.610001,24.620001,11200,24.464879
2016-09-16,24.620001,24.629999,24.610001,24.610001,15300,24.454942
2016-09-15,24.639999,24.639999,24.620001,24.639999,20100,24.484752
2016-09-14,24.60,24.639999,24.60,24.60,58100,24.445005
2016-09-13,24.65,24.65,24.60,24.620001,37400,24.464879
2016-09-12,24.65,24.66,24.65,24.66,16700,24.48177
2016-09-09,24.67,24.67,24.639999,24.66,32000,24.48177
2016-09-08,24.690001,24.700001,24.68,24.68,26300,24.501626
2016-09-07,24.68,24.709999,24.68,24.709999,30300,24.531408
2016-09-06,24.66,24.68,24.65,24.65,30800,24.471842
2016-09-02,24.67,24.690001,24.65,24.690001,29400,24.511554
2016-09-01,24.66,24.68,24.66,24.68,12500,24.501626
2016-08-31,24.65,24.68,24.65,24.67,24300,24.491698
2016-08-30,24.68,24.68,24.629999,24.66,25100,24.48177
2016-08-29,24.65,24.67,24.639999,24.66,31100,24.48177
2016-08-26,24.700001,24.700001,24.66,24.66,15800,24.433125
2016-08-25,24.700001,24.709999,24.67,24.67,144300,24.443034
2016-08-24,24.719999,24.719999,24.68,24.68,84400,24.452942
2016-08-23,24.73,24.73,24.709999,24.719999,11800,24.492573
2016-08-22,24.700001,24.719999,24.690001,24.690001,13100,24.46285
2016-08-19,24.690001,24.700001,24.68,24.690001,9900,24.46285
2016-08-18,24.700001,24.709999,24.67,24.67,46700,24.443034
2016-08-17,24.700001,24.709999,24.67,24.67,40600,24.443034
2016-08-16,24.719999,24.719999,24.700001,24.709999,24100,24.482665
2016-08-15,24.73,24.73,24.690001,24.719999,45500,24.492573
2016-08-12,24.76,24.76,24.73,24.73,30400,24.502481
2016-08-11,24.73,24.74,24.709999,24.719999,20400,24.492573
2016-08-10,24.719999,24.75,24.719999,24.74,26000,24.512389
2016-08-09,24.73,24.75,24.73,24.74,40900,24.512389
2016-08-08,24.73,24.74,24.719999,24.73,17900,24.502481
2016-08-05,24.73,24.74,24.719999,24.73,49900,24.502481
2016-08-04,24.709999,24.719999,24.700001,24.719999,49400,24.492573
2016-08-03,24.719999,24.719999,24.67,24.67,32100,24.443034
2016-08-02,24.709999,24.709999,24.690001,24.690001,57500,24.46285
2016-07-29,24.690001,24.82,24.690001,24.82,61100,24.591653
2016-07-28,24.67,24.690001,24.67,24.690001,58900,24.46285
2016-07-27,24.67,24.68,24.65,24.68,32300,24.452942
2016-07-26,24.75,24.75,24.690001,24.690001,55900,24.397456
2016-07-25,24.74,24.75,24.719999,24.73,36600,24.436981
2016-07-22,24.73,24.76,24.709999,24.75,55900,24.456745
2016-07-21,24.690001,24.73,24.690001,24.73,12100,24.436981
2016-07-20,24.73,24.73,24.700001,24.719999,16200,24.4271
2016-07-19,24.719999,24.75,24.719999,24.74,11100,24.446863
2016-07-18,24.709999,24.74,24.709999,24.73,21200,24.436981
2016-07-15,24.719999,24.719999,24.700001,24.700001,22300,24.407338
2016-07-14,24.73,24.74,24.709999,24.709999,25800,24.417218
2016-07-13,24.790001,24.790001,24.719999,24.73,207400,24.436981
2016-07-12,24.77,24.780001,24.75,24.75,33100,24.456745
2016-07-11,24.780001,24.790001,24.780001,24.790001,16500,24.496272
2016-07-08,24.799999,24.799999,24.77,24.790001,7400,24.496272
2016-07-07,24.76,24.780001,24.75,24.780001,24200,24.48639
2016-07-06,24.77,24.77,24.73,24.74,151500,24.446863
2016-07-05,24.76,24.780001,24.76,24.77,47700,24.476508
2016-07-04,24.75,24.76,24.719999,24.76,26100,24.466627
2016-06-30,24.709999,24.75,24.709999,24.75,29200,24.456745
2016-06-29,24.75,24.75,24.700001,24.700001,31000,24.407338
2016-06-28,24.75,24.75,24.74,24.75,53400,24.456745
2016-06-27,24.719999,24.75,24.719999,24.74,19300,24.446863
2016-06-24,24.68,24.719999,24.66,24.719999,21900,24.4271
2016-06-23,24.66,24.67,24.620001,24.620001,61700,24.328286
2016-06-22,24.68,24.68,24.67,24.68,33400,24.387575
2016-06-21,24.690001,24.690001,24.67,24.67,68600,24.377693
2016-06-20,24.719999,24.719999,24.67,24.690001,36400,24.397456
2016-06-17,24.709999,24.73,24.709999,24.73,17300,24.436981
2016-06-16,24.709999,24.74,24.709999,24.73,38400,24.436981
2016-06-15,24.709999,24.75,24.709999,24.74,102200,24.446863
2016-06-14,24.74,24.75,24.709999,24.709999,186100,24.417218
2016-06-13,24.77,24.77,24.75,24.77,267700,24.451805
2016-06-10,24.74,24.77,24.74,24.77,42500,24.451805
2016-06-09,24.74,24.75,24.73,24.74,65600,24.42219
2016-06-08,24.719999,24.74,24.719999,24.719999,32800,24.402446
2016-06-07,24.719999,24.74,24.719999,24.73,48700,24.412318
2016-06-06,24.73,24.73,24.709999,24.719999,49600,24.402446
2016-06-03,24.719999,24.75,24.700001,24.73,51600,24.412318
2016-06-02,24.690001,24.709999,24.690001,24.700001,53800,24.382705
2016-06-01,24.68,24.690001,24.67,24.690001,40800,24.372833
2016-05-31,24.65,24.67,24.620001,24.629999,60700,24.313602
2016-05-30,24.639999,24.65,24.610001,24.629999,22100,24.313602
2016-05-27,24.67,24.67,24.610001,24.629999,40100,24.313602
2016-05-26,24.700001,24.719999,24.690001,24.709999,96100,24.348153
2016-05-25,24.709999,24.709999,24.690001,24.700001,32200,24.338301
2016-05-24,24.700001,24.700001,24.67,24.690001,42600,24.328447
2016-05-20,24.700001,24.74,24.690001,24.74,22500,24.377714
2016-05-19,24.68,24.700001,24.68,24.700001,18200,24.338301
2016-05-18,24.709999,24.719999,24.68,24.68,51700,24.318593
2016-05-17,24.76,24.76,24.74,24.74,9700,24.377714
2016-05-16,24.73,24.75,24.73,24.73,30700,24.36786
2016-05-13,24.75,24.76,24.75,24.75,36900,24.387568
2016-05-12,24.74,24.75,24.74,24.75,11800,24.387568
2016-05-11,24.75,24.77,24.74,24.77,18100,24.407275
2016-05-10,24.77,24.77,24.709999,24.709999,54600,24.348153
2016-05-09,24.74,24.76,24.74,24.75,30800,24.387568
2016-05-06,24.74,24.75,24.73,24.74,18000,24.377714
2016-05-05,24.700001,24.74,24.700001,24.709999,33000,24.348153
2016-05-04,24.68,24.719999,24.67,24.709999,31900,24.348153
2016-05-03,24.66,24.690001,24.639999,24.639999,38000,24.279178
2016-05-02,24.639999,24.65,24.629999,24.629999,65900,24.269324
2016-04-29,24.629999,24.65,24.629999,24.629999,14700,24.269324
2016-04-28,24.639999,24.639999,24.629999,24.629999,40000,24.269324
2016-04-27,24.620001,24.629999,24.60,24.629999,37200,24.269324
2016-04-26,24.67,24.67,24.65,24.67,28800,24.244691
2016-04-25,24.66,24.67,24.66,24.67,20600,24.244691
2016-04-22,24.690001,24.690001,24.68,24.690001,24100,24.264347
2016-04-21,24.709999,24.709999,24.68,24.690001,42800,24.264347
2016-04-20,24.709999,24.73,24.700001,24.709999,48800,24.284
2016-04-19,24.719999,24.719999,24.700001,24.719999,12400,24.293828
2016-04-18,24.719999,24.73,24.709999,24.709999,16000,24.284
2016-04-15,24.719999,24.73,24.709999,24.73,43400,24.303656
2016-04-14,24.719999,24.73,24.709999,24.709999,24900,24.284
2016-04-13,24.73,24.74,24.700001,24.74,28300,24.313484
2016-04-12,24.73,24.73,24.700001,24.700001,113600,24.274175
2016-04-11,24.719999,24.74,24.709999,24.74,48400,24.313484
2016-04-08,24.75,24.75,24.73,24.73,38800,24.303656
2016-04-07,24.75,24.77,24.709999,24.77,41900,24.342967
2016-04-06,24.76,24.77,24.74,24.75,21300,24.323312
2016-04-05,24.76,24.77,24.75,24.76,28800,24.33314
2016-04-04,24.75,24.75,24.73,24.74,13700,24.313484
2016-04-01,24.719999,24.73,24.709999,24.719999,33800,24.293828
2016-03-31,24.74,24.74,24.690001,24.700001,12800,24.274175
2016-03-30,24.75,24.75,24.700001,24.709999,32800,24.284
2016-03-29,24.700001,24.76,24.700001,24.76,14700,24.33314
2016-03-28,24.719999,24.74,24.700001,24.700001,54900,24.274175
2016-03-24,24.73,24.77,24.709999,24.77,29300,24.342967
2016-03-23,24.68,24.709999,24.66,24.67,60800,24.244691
2016-03-22,24.74,24.76,24.66,24.68,87500,24.254519
2016-03-21,24.709999,24.709999,24.700001,24.700001,28700,24.274175
2016-03-18,24.719999,24.73,24.709999,24.73,18600,24.303656
2016-03-17,24.700001,24.709999,24.690001,24.700001,13300,24.274175
2016-03-16,24.68,24.700001,24.65,24.700001,79100,24.274175
2016-03-15,24.700001,24.700001,24.610001,24.620001,332900,24.195554
2016-03-14,24.700001,24.709999,24.700001,24.700001,12700,24.242726
2016-03-11,24.700001,24.700001,24.67,24.690001,59000,24.232911
