Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,23.889999,24.00,23.860001,23.92,104600,23.92
2016-12-01,24.08,24.08,23.870001,23.889999,167500,23.889999
2016-11-30,23.969999,24.049999,23.959999,23.98,172500,23.98
2016-11-29,23.76,23.85,23.74,23.84,54300,23.84
2016-11-28,23.969999,23.969999,23.83,23.83,65400,23.83
2016-11-25,23.950001,24.01,23.91,23.950001,64300,23.950001
2016-11-24,23.940001,24.01,23.889999,23.950001,36500,23.950001
2016-11-23,23.870001,23.99,23.870001,23.959999,65800,23.959999
2016-11-22,23.940001,23.99,23.879999,23.969999,90500,23.969999
2016-11-21,23.719999,23.879999,23.719999,23.879999,134200,23.879999
2016-11-18,23.50,23.610001,23.50,23.60,89300,23.60
2016-11-17,23.440001,23.57,23.42,23.549999,219400,23.549999
2016-11-16,23.33,23.370001,23.299999,23.370001,76200,23.370001
2016-11-15,23.26,23.43,23.23,23.42,79400,23.42
2016-11-14,23.110001,23.16,23.030001,23.16,54200,23.16
2016-11-11,23.360001,23.360001,22.99,23.09,136000,23.09
2016-11-10,23.50,23.57,23.389999,23.389999,67000,23.389999
2016-11-09,23.049999,23.469999,23.049999,23.40,169700,23.40
2016-11-08,23.209999,23.33,23.190001,23.25,60100,23.25
2016-11-07,23.16,23.27,23.16,23.24,146200,23.24
2016-11-04,23.10,23.10,23.00,23.01,107200,23.01
2016-11-03,23.16,23.26,23.10,23.129999,119400,23.129999
2016-11-02,23.379999,23.389999,23.15,23.15,57800,23.15
2016-11-01,23.51,23.530001,23.33,23.440001,49000,23.440001
2016-10-31,23.450001,23.52,23.42,23.450001,63000,23.450001
2016-10-28,23.469999,23.59,23.440001,23.440001,60000,23.440001
2016-10-27,23.59,23.620001,23.50,23.540001,55100,23.540001
2016-10-26,23.51,23.559999,23.440001,23.49,54700,23.49
2016-10-25,23.68,23.68,23.57,23.58,83900,23.58
2016-10-24,23.700001,23.709999,23.59,23.65,93600,23.65
2016-10-21,23.530001,23.700001,23.52,23.67,53900,23.67
2016-10-20,23.50,23.540001,23.450001,23.530001,75100,23.530001
2016-10-19,23.440001,23.57,23.370001,23.52,82200,23.52
2016-10-18,23.23,23.41,23.23,23.370001,67800,23.370001
2016-10-17,23.09,23.16,23.09,23.110001,50700,23.110001
2016-10-14,23.26,23.299999,23.120001,23.120001,44800,23.120001
2016-10-13,23.049999,23.23,22.93,23.200001,58900,23.200001
2016-10-12,23.01,23.18,23.01,23.16,121300,23.16
2016-10-11,23.120001,23.120001,23.01,23.049999,72300,23.049999
2016-10-07,23.129999,23.139999,22.969999,23.07,82700,23.07
2016-10-06,23.110001,23.16,23.08,23.120001,113900,23.120001
2016-10-05,23.10,23.17,23.10,23.139999,77400,23.139999
2016-10-04,23.209999,23.209999,22.91,22.98,68300,22.98
2016-10-03,23.34,23.34,23.190001,23.26,62200,23.26
2016-09-30,23.450001,23.450001,23.33,23.33,82900,23.33
2016-09-29,23.299999,23.450001,23.280001,23.35,46900,23.35
2016-09-28,23.110001,23.32,23.110001,23.309999,44500,23.309999
2016-09-27,23.049999,23.08,22.959999,23.02,82700,23.02
2016-09-26,23.200001,23.200001,23.10,23.120001,51700,23.120001
2016-09-23,23.379999,23.379999,23.190001,23.219999,57000,23.219999
2016-09-22,23.379999,23.459999,23.370001,23.370001,73500,23.370001
2016-09-21,23.049999,23.26,23.049999,23.25,43800,23.25
2016-09-20,22.959999,23.030001,22.950001,22.959999,52700,22.959999
2016-09-19,22.950001,23.00,22.870001,22.91,44100,22.91
2016-09-16,22.889999,22.889999,22.75,22.82,79600,22.82
2016-09-15,22.75,22.959999,22.73,22.92,79500,22.92
2016-09-14,22.690001,22.82,22.67,22.700001,90500,22.700001
2016-09-13,23.09,23.09,22.799999,22.84,180000,22.676
2016-09-12,23.00,23.26,23.00,23.219999,131500,23.053271
2016-09-09,23.41,23.41,23.08,23.120001,58700,22.95399
2016-09-08,23.51,23.57,23.450001,23.549999,73000,23.380901
2016-09-07,23.549999,23.549999,23.43,23.530001,50800,23.361046
2016-09-06,23.59,23.59,23.49,23.540001,52400,23.370974
2016-09-02,23.469999,23.59,23.469999,23.52,56600,23.351118
2016-09-01,23.129999,23.370001,23.129999,23.34,106400,23.17241
2016-08-31,23.299999,23.309999,23.110001,23.190001,67800,23.023487
2016-08-30,23.34,23.459999,23.290001,23.34,122600,23.17241
2016-08-29,23.25,23.360001,23.24,23.33,52000,23.162481
2016-08-26,23.27,23.40,23.190001,23.24,48100,23.073127
2016-08-25,23.200001,23.299999,23.18,23.23,49100,23.063199
2016-08-24,23.42,23.42,23.219999,23.23,48100,23.063199
2016-08-23,23.469999,23.50,23.43,23.450001,112200,23.281621
2016-08-22,23.23,23.42,23.209999,23.40,75800,23.231978
2016-08-19,23.33,23.34,23.26,23.32,25000,23.152553
2016-08-18,23.379999,23.379999,23.290001,23.33,77600,23.162481
2016-08-17,23.35,23.35,23.190001,23.34,116600,23.17241
2016-08-16,23.450001,23.450001,23.33,23.360001,57500,23.192267
2016-08-15,23.469999,23.50,23.440001,23.450001,34200,23.281621
2016-08-12,23.51,23.51,23.35,23.41,39000,23.241907
2016-08-11,23.48,23.57,23.48,23.49,89300,23.321332
2016-08-10,23.559999,23.559999,23.40,23.440001,66700,23.271692
2016-08-09,23.440001,23.530001,23.440001,23.48,37800,23.311404
2016-08-08,23.27,23.450001,23.27,23.40,60300,23.231978
2016-08-05,23.110001,23.24,23.110001,23.23,67800,23.063199
2016-08-04,22.959999,23.07,22.959999,23.040001,55200,22.874565
2016-08-03,22.950001,23.030001,22.940001,23.02,45600,22.854708
2016-08-02,23.09,23.09,22.889999,22.950001,89200,22.785211
2016-07-29,23.030001,23.120001,23.01,23.120001,28200,22.95399
2016-07-28,23.10,23.120001,23.02,23.09,74900,22.924205
2016-07-27,23.15,23.17,22.950001,23.07,57300,22.904348
2016-07-26,22.99,23.09,22.99,23.07,52400,22.904348
2016-07-25,23.120001,23.120001,22.940001,22.99,87800,22.824923
2016-07-22,23.17,23.17,23.059999,23.15,611900,22.983774
2016-07-21,23.07,23.120001,23.07,23.07,30100,22.904348
2016-07-20,23.00,23.08,22.959999,23.030001,47700,22.864636
2016-07-19,23.00,23.030001,22.98,23.01,42500,22.844779
2016-07-18,22.959999,23.030001,22.950001,23.02,80200,22.854708
2016-07-15,23.030001,23.030001,22.950001,22.959999,68200,22.795137
2016-07-14,23.00,23.059999,22.969999,23.01,95700,22.844779
2016-07-13,22.98,23.00,22.860001,22.959999,80400,22.795137
2016-07-12,22.85,22.959999,22.85,22.950001,92600,22.785211
2016-07-11,22.700001,22.84,22.700001,22.77,145300,22.606503
2016-07-08,22.50,22.700001,22.50,22.60,85800,22.437724
2016-07-07,22.620001,22.620001,22.35,22.389999,102200,22.22923
2016-07-06,22.469999,22.540001,22.33,22.540001,78000,22.378155
2016-07-05,22.52,22.549999,22.40,22.51,67800,22.34837
2016-07-04,22.50,22.629999,22.49,22.59,80600,22.427795
2016-06-30,22.290001,22.34,22.120001,22.25,70000,22.090236
2016-06-29,22.10,22.25,22.09,22.209999,69300,22.050523
2016-06-28,21.91,21.950001,21.860001,21.889999,96500,21.732821
2016-06-27,21.84,21.85,21.52,21.66,142600,21.504473
2016-06-24,21.860001,22.16,21.73,21.98,167300,21.822175
2016-06-23,22.27,22.370001,22.26,22.35,63100,22.189519
2016-06-22,22.209999,22.24,22.120001,22.139999,27800,21.981025
2016-06-21,22.15,22.209999,22.07,22.16,60800,22.000882
2016-06-20,22.129999,22.23,22.110001,22.17,126500,22.010811
2016-06-17,22.049999,22.049999,21.969999,21.99,42100,21.832103
2016-06-16,22.00,22.00,21.83,21.940001,51200,21.782463
2016-06-15,21.959999,22.10,21.959999,22.01,101900,21.85196
2016-06-14,22.25,22.280001,22.07,22.120001,128700,21.794377
2016-06-13,22.32,22.41,22.23,22.280001,173000,21.952021
2016-06-10,22.50,22.540001,22.290001,22.33,193500,22.001285
2016-06-09,22.68,22.68,22.610001,22.66,102300,22.326427
2016-06-08,22.959999,23.00,22.74,22.77,129400,22.434808
2016-06-07,22.73,22.84,22.719999,22.84,60200,22.503777
2016-06-06,22.709999,22.74,22.639999,22.719999,170800,22.385543
2016-06-03,22.50,22.65,22.469999,22.629999,239900,22.296868
2016-06-02,22.299999,22.50,22.290001,22.469999,414000,22.139223
2016-06-01,22.280001,22.360001,22.190001,22.35,716400,22.020991
2016-05-31,22.450001,22.530001,22.360001,22.360001,265700,22.030844
2016-05-30,22.50,22.50,22.370001,22.389999,64400,22.060401
2016-05-27,22.32,22.450001,22.32,22.42,222800,22.08996
2016-05-26,22.50,22.50,22.32,22.32,212500,21.991431
2016-05-25,22.24,22.379999,22.209999,22.34,174500,22.011138
2016-05-24,22.15,22.280001,22.110001,22.16,222600,21.833787
2016-05-20,22.01,22.17,22.01,22.129999,264000,21.804228
2016-05-19,21.85,21.940001,21.75,21.940001,398000,21.617026
2016-05-18,22.040001,22.15,21.91,21.959999,265900,21.63673
2016-05-17,22.07,22.209999,22.040001,22.10,115400,21.774671
2016-05-16,21.969999,22.120001,21.969999,22.07,327300,21.745112
2016-05-13,21.879999,21.959999,21.799999,21.83,206100,21.508645
2016-05-12,22.120001,22.120001,21.709999,21.889999,225500,21.567761
2016-05-11,21.879999,21.940001,21.809999,21.889999,189000,21.567761
2016-05-10,21.639999,21.90,21.639999,21.870001,255900,21.548057
2016-05-09,21.90,21.91,21.49,21.530001,110700,21.213062
2016-05-06,21.610001,21.85,21.59,21.77,103900,21.449529
2016-05-05,21.799999,21.82,21.549999,21.629999,88200,21.311588
2016-05-04,21.68,21.780001,21.549999,21.629999,192200,21.311588
2016-05-03,21.950001,21.950001,21.60,21.75,182300,21.429823
2016-05-02,22.190001,22.190001,21.969999,22.01,46700,21.685995
2016-04-29,22.07,22.17,22.049999,22.139999,98900,21.814081
2016-04-28,21.99,22.16,21.90,22.040001,68300,21.715555
2016-04-27,21.940001,22.049999,21.940001,22.030001,182200,21.705702
2016-04-26,21.91,21.99,21.879999,21.91,68800,21.587467
2016-04-25,21.969999,21.969999,21.82,21.879999,85500,21.557908
2016-04-22,22.00,22.09,21.99,22.01,52200,21.685995
2016-04-21,22.120001,22.139999,21.969999,22.01,78600,21.685995
2016-04-20,22.00,22.15,21.98,22.049999,95300,21.725406
2016-04-19,21.91,21.98,21.790001,21.98,72800,21.656436
2016-04-18,21.530001,21.76,21.450001,21.74,62800,21.41997
2016-04-15,21.60,21.65,21.559999,21.610001,76600,21.291884
2016-04-14,21.67,21.700001,21.610001,21.67,101700,21.351
2016-04-13,21.66,21.719999,21.57,21.66,200700,21.341147
2016-04-12,21.35,21.60,21.309999,21.52,217000,21.203209
2016-04-11,21.309999,21.440001,21.280001,21.290001,220800,20.976595
2016-04-08,21.139999,21.280001,21.139999,21.23,324600,20.917477
2016-04-07,21.120001,21.120001,20.950001,21.02,65400,20.710569
2016-04-06,21.110001,21.139999,20.99,21.139999,101900,20.828802
2016-04-05,21.07,21.10,21.01,21.059999,92500,20.749979
2016-04-04,21.290001,21.290001,21.09,21.120001,202900,20.809098
2016-04-01,21.200001,21.280001,21.10,21.280001,351700,20.966742
2016-03-31,21.290001,21.440001,21.290001,21.35,113600,21.035711
2016-03-30,21.34,21.48,21.34,21.379999,120600,21.065269
2016-03-29,21.09,21.290001,21.00,21.25,89600,20.937183
2016-03-28,21.18,21.18,21.02,21.18,154100,20.868214
2016-03-24,21.030001,21.120001,20.959999,21.120001,218200,20.809098
2016-03-23,21.370001,21.370001,21.139999,21.16,149000,20.848508
2016-03-22,21.379999,21.43,21.35,21.35,86200,21.035711
2016-03-21,21.540001,21.540001,21.32,21.440001,160100,21.124387
2016-03-18,21.60,21.60,21.32,21.34,140500,21.025858
2016-03-17,21.389999,21.629999,21.34,21.52,380200,21.203209
2016-03-16,21.219999,21.35,21.190001,21.309999,133500,20.996299
2016-03-15,21.299999,21.34,21.16,21.34,168300,20.865258
2016-03-14,21.52,21.549999,21.379999,21.450001,209300,20.972811
2016-03-11,21.52,21.57,21.42,21.530001,237400,21.051031
2016-03-10,21.42,21.50,21.17,21.290001,189000,20.816371
2016-03-09,21.290001,21.370001,21.25,21.309999,171200,20.835924
2016-03-08,21.27,21.27,21.10,21.18,604400,20.708817
2016-03-07,21.139999,21.389999,21.049999,21.280001,254700,20.806593
2016-03-04,21.00,21.120001,20.93,21.01,236800,20.542599
2016-03-03,20.799999,20.93,20.75,20.870001,288900,20.405714
2016-03-02,20.639999,20.719999,20.49,20.709999,240400,20.249272
2016-03-01,20.57,20.67,20.530001,20.639999,279000,20.18083
2016-02-29,20.41,20.530001,20.34,20.40,107400,19.946169
2016-02-26,20.41,20.540001,20.33,20.35,87200,19.897282
2016-02-25,20.25,20.280001,20.09,20.280001,110300,19.82884
2016-02-24,20.120001,20.280001,19.889999,20.25,151800,19.799506
2016-02-23,20.639999,20.639999,20.23,20.280001,228800,19.82884
2016-02-22,20.639999,20.639999,20.41,20.43,123400,19.975502
2016-02-19,20.360001,20.379999,20.23,20.360001,93700,19.90706
2016-02-18,20.530001,20.57,20.389999,20.530001,180600,20.073278
2016-02-17,20.120001,20.450001,20.10,20.43,136500,19.975502
2016-02-16,19.889999,19.940001,19.65,19.940001,250400,19.496403
2016-02-12,19.42,19.67,19.42,19.67,199400,19.232409
2016-02-11,19.200001,19.209999,19.040001,19.190001,243400,18.763088
2016-02-10,19.59,19.66,19.34,19.34,188100,18.909751
2016-02-09,19.73,19.73,19.360001,19.51,115800,19.075969
2016-02-08,20.09,20.09,19.82,19.91,74600,19.46707
2016-02-05,20.24,20.280001,20.129999,20.25,167000,19.799506
2016-02-04,20.040001,20.35,20.040001,20.290001,291600,19.838617
2016-02-03,19.950001,20.02,19.57,19.99,256000,19.54529
2016-02-02,20.40,20.40,19.68,19.74,165800,19.300852
2016-02-01,20.219999,20.219999,19.99,20.120001,171000,19.672399
