Date,Open,High,Low,Close,Volume,Adj Close
2016-12-09,79.599998,79.639999,79.529999,79.57,1393200,79.57
2016-12-08,79.650002,79.660004,79.599998,79.599998,1316000,79.599998
2016-12-07,79.610001,79.690002,79.610001,79.660004,2009500,79.660004
2016-12-06,79.599998,79.620003,79.540001,79.580002,1450600,79.580002
2016-12-05,79.510002,79.610001,79.470001,79.519997,2743100,79.519997
2016-12-02,79.510002,79.620003,79.50,79.529999,1208800,79.529999
2016-12-01,79.480003,79.489998,79.400002,79.440002,1874100,79.440002
2016-11-30,79.690002,79.690002,79.610001,79.610001,1426200,79.610001
2016-11-29,79.68,79.75,79.650002,79.699997,1071300,79.699997
2016-11-28,79.669998,79.730003,79.620003,79.68,909400,79.68
2016-11-25,79.639999,79.650002,79.57,79.629997,521300,79.629997
2016-11-23,79.639999,79.650002,79.57,79.620003,923300,79.620003
2016-11-22,79.760002,79.779999,79.669998,79.730003,2103300,79.730003
2016-11-21,79.75,79.790001,79.660004,79.709999,1111800,79.709999
2016-11-18,79.839996,79.839996,79.68,79.690002,1491800,79.690002
2016-11-17,79.889999,79.889999,79.779999,79.779999,2324500,79.779999
2016-11-16,79.870003,79.93,79.830002,79.889999,1562000,79.889999
2016-11-15,79.919998,79.940002,79.830002,79.910004,2003500,79.910004
2016-11-14,79.989998,79.989998,79.82,79.919998,3429600,79.919998
2016-11-11,80.129997,80.139999,80.07,80.099998,1797300,80.099998
2016-11-10,80.190002,80.220001,80.089996,80.089996,953400,80.089996
2016-11-09,80.360001,80.400002,80.18,80.18,1386700,80.18
2016-11-08,80.510002,80.510002,80.410004,80.440002,729400,80.440002
2016-11-07,80.529999,80.550003,80.510002,80.540001,897200,80.540001
2016-11-04,80.550003,80.620003,80.529999,80.620003,1467800,80.620003
2016-11-03,80.489998,80.580002,80.489998,80.57,2192900,80.57
2016-11-02,80.470001,80.57,80.459999,80.480003,896500,80.480003
2016-11-01,80.410004,80.489998,80.379997,80.440002,1633900,80.440002
2016-10-31,80.510002,80.559998,80.510002,80.519997,920900,80.419997
2016-10-28,80.489998,80.519997,80.470001,80.510002,1333500,80.410015
2016-10-27,80.50,80.50,80.43,80.470001,1490700,80.370064
2016-10-26,80.529999,80.550003,80.510002,80.550003,1798100,80.449966
2016-10-25,80.529999,80.599998,80.529999,80.540001,847600,80.439976
2016-10-24,80.599998,80.610001,80.550003,80.580002,1176400,80.479928
2016-10-21,80.620003,80.629997,80.580002,80.599998,1289300,80.4999
2016-10-20,80.620003,80.660004,80.599998,80.599998,1413000,80.4999
2016-10-19,80.620003,80.650002,80.580002,80.620003,2587300,80.519879
2016-10-18,80.580002,80.629997,80.559998,80.620003,627500,80.519879
2016-10-17,80.540001,80.599998,80.519997,80.599998,711100,80.4999
2016-10-14,80.540001,80.57,80.480003,80.480003,903800,80.380053
2016-10-13,80.50,80.559998,80.480003,80.540001,885800,80.439976
2016-10-12,80.489998,80.489998,80.410004,80.489998,1161500,80.390036
2016-10-11,80.470001,80.519997,80.440002,80.470001,665700,80.370064
2016-10-10,80.449997,80.519997,80.449997,80.50,1301500,80.400025
2016-10-07,80.559998,80.559998,80.449997,80.550003,831300,80.449966
2016-10-06,80.519997,80.540001,80.470001,80.489998,1221900,80.390036
2016-10-05,80.589996,80.589996,80.480003,80.559998,4285600,80.459948
2016-10-04,80.639999,80.639999,80.540001,80.589996,1609900,80.48991
2016-10-03,80.669998,80.720001,80.610001,80.629997,2029000,80.529861
2016-09-30,80.860001,80.860001,80.790001,80.830002,1375600,80.632735
2016-09-29,80.849998,80.860001,80.779999,80.830002,1183500,80.632735
2016-09-28,80.900002,80.900002,80.809998,80.809998,2869100,80.61278
2016-09-27,80.919998,80.919998,80.82,80.830002,1496000,80.632735
2016-09-26,80.839996,80.870003,80.790001,80.870003,1190100,80.672639
2016-09-23,80.800003,80.82,80.75,80.82,1002800,80.622758
2016-09-22,80.760002,80.82,80.730003,80.75,1101300,80.552929
2016-09-21,80.68,80.760002,80.629997,80.75,1129200,80.552929
2016-09-20,80.709999,80.75,80.690002,80.730003,2941800,80.532981
2016-09-19,80.75,80.75,80.690002,80.709999,1032500,80.513025
2016-09-16,80.760002,80.790001,80.690002,80.720001,1381500,80.523003
2016-09-15,80.720001,80.779999,80.669998,80.739998,2941400,80.542951
2016-09-14,80.650002,80.75,80.639999,80.730003,1078600,80.532981
2016-09-13,80.699997,80.699997,80.559998,80.610001,882500,80.413271
2016-09-12,80.669998,80.709999,80.629997,80.699997,1100100,80.503048
2016-09-09,80.669998,80.690002,80.629997,80.669998,814400,80.473122
2016-09-08,80.830002,80.830002,80.690002,80.699997,1134600,80.503048
2016-09-07,80.919998,80.919998,80.82,80.830002,1049500,80.632735
2016-09-06,80.720001,80.879997,80.650002,80.849998,4364600,80.652683
2016-09-02,80.75,80.75,80.639999,80.720001,824800,80.523003
2016-09-01,80.629997,80.720001,80.599998,80.720001,914000,80.523003
2016-08-31,80.800003,80.82,80.769997,80.779999,1203100,80.482103
2016-08-30,80.790001,80.800003,80.75,80.790001,1220300,80.492068
2016-08-29,80.690002,80.790001,80.639999,80.769997,1085400,80.472138
2016-08-26,80.839996,80.839996,80.650002,80.699997,662800,80.402396
2016-08-25,80.779999,80.82,80.760002,80.800003,1177400,80.502034
2016-08-24,80.879997,80.879997,80.790001,80.800003,2304800,80.502034
2016-08-23,80.860001,80.900002,80.800003,80.809998,2630900,80.511991
2016-08-22,80.870003,80.870003,80.790001,80.830002,897000,80.531922
2016-08-19,80.879997,80.879997,80.779999,80.809998,835400,80.511991
2016-08-18,80.889999,80.900002,80.809998,80.879997,603600,80.581733
2016-08-17,80.779999,80.870003,80.75,80.839996,938300,80.54188
2016-08-16,80.82,80.839996,80.75,80.790001,2096200,80.492068
2016-08-15,80.870003,80.879997,80.82,80.830002,772000,80.531922
2016-08-12,80.889999,80.970001,80.870003,80.910004,719100,80.611629
2016-08-11,80.949997,80.949997,80.769997,80.809998,1279400,80.511991
2016-08-10,80.93,80.93,80.860001,80.93,677200,80.631552
2016-08-09,80.779999,80.910004,80.779999,80.879997,1062200,80.581733
2016-08-08,80.849998,80.849998,80.739998,80.809998,762400,80.511991
2016-08-05,80.889999,80.889999,80.809998,80.82,2152900,80.521957
2016-08-04,80.910004,80.989998,80.849998,80.949997,726100,80.651474
2016-08-03,80.919998,80.93,80.809998,80.830002,4200000,80.531922
2016-08-02,80.910004,80.980003,80.889999,80.889999,3057000,80.591698
2016-08-01,81.110001,81.110001,80.889999,80.940002,1324300,80.641517
2016-07-29,81.080002,81.110001,81.010002,81.099998,1084100,80.700295
2016-07-28,80.940002,80.989998,80.910004,80.980003,679900,80.580891
2016-07-27,80.849998,80.980003,80.839996,80.970001,1396500,80.570938
2016-07-26,80.900002,80.900002,80.800003,80.849998,849900,80.451527
2016-07-25,80.900002,80.900002,80.82,80.830002,911600,80.431629
2016-07-22,80.900002,80.93,80.839996,80.900002,1399200,80.501284
2016-07-21,80.860001,80.959999,80.82,80.940002,874200,80.541087
2016-07-20,80.879997,80.879997,80.830002,80.860001,802500,80.46148
2016-07-19,80.889999,80.910004,80.839996,80.910004,880000,80.511236
2016-07-18,80.910004,80.910004,80.830002,80.830002,1236200,80.431629
2016-07-15,80.870003,80.870003,80.779999,80.839996,1876100,80.441574
2016-07-14,80.889999,80.919998,80.830002,80.900002,1449100,80.501284
2016-07-13,80.879997,81.00,80.879997,80.919998,1023600,80.521182
2016-07-12,80.989998,80.989998,80.839996,80.860001,6496400,80.46148
2016-07-11,81.099998,81.099998,81.00,81.050003,3095100,80.650546
2016-07-08,81.099998,81.110001,81.00,81.089996,1065700,80.690342
2016-07-07,81.07,81.120003,81.010002,81.07,1028300,80.670444
2016-07-06,81.129997,81.129997,81.029999,81.059998,1193100,80.660491
2016-07-05,81.050003,81.139999,81.029999,81.089996,974200,80.690342
2016-07-01,81.099998,81.099998,80.989998,81.040001,736500,80.640593
2016-06-30,80.949997,81.110001,80.949997,81.059998,1597500,80.560985
2016-06-29,80.970001,81.050003,80.949997,80.980003,1224900,80.481483
2016-06-28,80.989998,81.059998,80.949997,81.059998,2136300,80.560985
2016-06-27,80.959999,81.080002,80.93,81.019997,1141400,80.521231
2016-06-24,81.040001,81.040001,80.830002,80.889999,1570900,80.392034
2016-06-23,80.639999,80.709999,80.620003,80.620003,979400,80.123699
2016-06-22,80.639999,80.720001,80.639999,80.709999,11945000,80.213141
2016-06-21,80.730003,80.790001,80.690002,80.720001,923800,80.223082
2016-06-20,80.760002,80.779999,80.709999,80.739998,1203300,80.242955
2016-06-17,80.900002,80.900002,80.75,80.809998,1931500,80.312524
2016-06-16,80.940002,80.959999,80.860001,80.910004,833600,80.411915
2016-06-15,80.650002,80.949997,80.650002,80.879997,1477000,80.382093
2016-06-14,80.769997,80.82,80.739998,80.75,621500,80.252896
2016-06-13,80.779999,80.809998,80.720001,80.809998,913800,80.312524
2016-06-10,80.709999,80.769997,80.639999,80.760002,1029700,80.262837
2016-06-09,80.68,80.690002,80.599998,80.669998,1108500,80.173387
2016-06-08,80.620003,80.639999,80.589996,80.629997,1047200,80.133632
2016-06-07,80.559998,80.639999,80.550003,80.620003,1439100,80.123699
2016-06-06,80.550003,80.599998,80.519997,80.559998,916700,80.064063
2016-06-03,80.580002,80.610001,80.529999,80.559998,1085500,80.064063
2016-06-02,80.269997,80.349998,80.25,80.300003,1164500,79.805669
2016-06-01,80.370003,80.370003,80.239998,80.279999,1000600,79.785788
2016-05-31,80.290001,80.400002,80.25,80.349998,727100,79.757958
2016-05-27,80.400002,80.440002,80.269997,80.330002,1091700,79.738109
2016-05-26,80.370003,80.419998,80.330002,80.379997,990100,79.787736
2016-05-25,80.309998,80.339996,80.269997,80.339996,685800,79.74803
2016-05-24,80.330002,80.349998,80.25,80.300003,1569300,79.708331
2016-05-23,80.349998,80.360001,80.279999,80.349998,619600,79.757958
2016-05-20,80.360001,80.410004,80.32,80.330002,1531300,79.738109
2016-05-19,80.370003,80.379997,80.309998,80.360001,901000,79.767887
2016-05-18,80.459999,80.480003,80.300003,80.330002,1392200,79.738109
2016-05-17,80.559998,80.57,80.480003,80.480003,1566100,79.887005
2016-05-16,80.669998,80.669998,80.550003,80.580002,795000,79.986267
2016-05-13,80.599998,80.669998,80.550003,80.639999,984100,80.045822
2016-05-12,80.629997,80.730003,80.610001,80.610001,1169800,80.016045
2016-05-11,80.720001,80.779999,80.690002,80.709999,1256200,80.115306
2016-05-10,80.639999,80.75,80.639999,80.690002,2118700,80.095457
2016-05-09,80.660004,80.709999,80.650002,80.709999,632700,80.115306
2016-05-06,80.709999,80.720001,80.629997,80.629997,892900,80.035894
2016-05-05,80.660004,80.68,80.559998,80.660004,889700,80.065679
2016-05-04,80.610001,80.650002,80.519997,80.639999,1967400,80.045822
2016-05-03,80.620003,80.620003,80.529999,80.580002,878300,79.986267
2016-05-02,80.489998,80.489998,80.419998,80.470001,1098000,79.877077
2016-04-29,80.580002,80.610001,80.519997,80.610001,842200,79.922737
2016-04-28,80.50,80.589996,80.489998,80.529999,2645600,79.843417
2016-04-27,80.449997,80.489998,80.360001,80.480003,821500,79.793848
2016-04-26,80.449997,80.449997,80.330002,80.339996,1071600,79.655034
2016-04-25,80.459999,80.50,80.43,80.449997,719300,79.764097
2016-04-22,80.489998,80.559998,80.440002,80.459999,3218500,79.774014
2016-04-21,80.440002,80.489998,80.410004,80.449997,1102100,79.764097
2016-04-20,80.599998,80.610001,80.440002,80.440002,2169900,79.754188
2016-04-19,80.599998,80.610001,80.559998,80.559998,801600,79.87316
2016-04-18,80.599998,80.620003,80.550003,80.589996,987500,79.902903
2016-04-15,80.580002,80.639999,80.529999,80.610001,1399500,79.922737
2016-04-14,80.529999,80.57,80.489998,80.510002,923800,79.823591
2016-04-13,80.580002,80.589996,80.519997,80.529999,1789300,79.843417
2016-04-12,80.629997,80.650002,80.559998,80.57,1584900,79.883077
2016-04-11,80.629997,80.690002,80.629997,80.660004,1057400,79.972314
2016-04-08,80.68,80.699997,80.639999,80.699997,1081000,80.011966
2016-04-07,80.650002,80.709999,80.599998,80.709999,895700,80.021883
2016-04-06,80.599998,80.650002,80.540001,80.599998,1696100,79.91282
2016-04-05,80.620003,80.669998,80.519997,80.660004,2871300,79.972314
2016-04-04,80.50,80.559998,80.470001,80.510002,1616200,79.823591
2016-04-01,80.510002,80.510002,80.400002,80.50,1875400,79.813674
2016-03-31,80.580002,80.639999,80.529999,80.629997,1262900,79.847382
2016-03-30,80.470001,80.550003,80.449997,80.529999,1021800,79.748354
2016-03-29,80.309998,80.510002,80.290001,80.50,1161700,79.718646
2016-03-28,80.220001,80.290001,80.220001,80.269997,961800,79.490875
2016-03-24,80.290001,80.290001,80.190002,80.220001,765700,79.441365
2016-03-23,80.209999,80.269997,80.18,80.220001,828400,79.441365
2016-03-22,80.339996,80.339996,80.190002,80.209999,922700,79.43146
2016-03-21,80.300003,80.32,80.239998,80.290001,1370500,79.510685
2016-03-18,80.400002,80.410004,80.309998,80.379997,1500200,79.599808
2016-03-17,80.32,80.360001,80.260002,80.360001,919700,79.580006
2016-03-16,79.980003,80.279999,79.959999,80.260002,766000,79.480978
2016-03-15,80.080002,80.099998,79.989998,80.050003,921200,79.273017
2016-03-14,80.00,80.040001,79.970001,80.010002,952000,79.233404
2016-03-11,80.019997,80.019997,79.949997,79.980003,1197000,79.203697
2016-03-10,80.019997,80.099998,80.00,80.00,1124600,79.223499
2016-03-09,80.059998,80.089996,80.040001,80.080002,760800,79.302725
2016-03-08,80.110001,80.160004,80.050003,80.120003,896700,79.342337
2016-03-07,80.059998,80.059998,79.989998,80.040001,931900,79.263112
2016-03-04,80.050003,80.139999,80.029999,80.099998,1510000,79.322527
2016-03-03,80.080002,80.199997,80.050003,80.160004,3814400,79.38195
2016-03-02,80.080002,80.120003,80.019997,80.110001,1453800,79.332432
2016-03-01,80.290001,80.309998,80.080002,80.129997,1487000,79.352235
2016-02-29,80.330002,80.360001,80.269997,80.360001,2468400,79.491873
2016-02-26,80.400002,80.400002,80.269997,80.309998,952300,79.44241
2016-02-25,80.43,80.470001,80.360001,80.440002,826200,79.57101
2016-02-24,80.43,80.489998,80.330002,80.349998,1058800,79.481979
2016-02-23,80.279999,80.389999,80.25,80.349998,1347600,79.481979
2016-02-22,80.309998,80.32,80.25,80.300003,759700,79.432523
2016-02-19,80.32,80.349998,80.279999,80.290001,703100,79.422629
2016-02-18,80.199997,80.370003,80.199997,80.360001,1073100,79.491873
2016-02-17,80.239998,80.260002,80.150002,80.260002,777700,79.392955
2016-02-16,80.269997,80.330002,80.260002,80.300003,986300,79.432523
2016-02-12,80.459999,80.459999,80.300003,80.330002,1427600,79.462198
2016-02-11,80.519997,80.589996,80.470001,80.470001,1191700,79.600685
2016-02-10,80.379997,80.449997,80.309998,80.449997,1046400,79.580897
2016-02-09,80.480003,80.480003,80.349998,80.400002,886100,79.531442
