Date,Open,High,Low,Close,Volume,Adj Close
2016-12-09,26.60,26.66,26.60,26.65,23100,26.65
2016-12-08,26.48,26.59,26.42,26.59,22700,26.59
2016-12-07,26.18,26.450001,26.18,26.440001,18200,26.440001
2016-12-06,26.049999,26.18,26.049999,26.17,20100,26.17
2016-12-05,26.07,26.139999,26.059999,26.10,24800,26.10
2016-12-02,25.959999,26.059999,25.950001,26.01,11600,26.01
2016-12-01,26.059999,26.139999,25.98,26.00,28500,26.00
2016-11-30,25.790001,25.99,25.780001,25.940001,35000,25.940001
2016-11-29,25.50,25.60,25.440001,25.60,23500,25.60
2016-11-28,25.719999,25.719999,25.58,25.58,27600,25.58
2016-11-25,25.67,25.719999,25.66,25.690001,18200,25.690001
2016-11-24,25.65,25.709999,25.65,25.66,45000,25.66
2016-11-23,25.530001,25.709999,25.530001,25.629999,14200,25.629999
2016-11-22,25.57,25.700001,25.549999,25.690001,23800,25.602
2016-11-21,25.34,25.51,25.34,25.51,44700,25.422616
2016-11-18,25.17,25.290001,25.17,25.23,11200,25.143575
2016-11-17,25.10,25.23,25.10,25.23,17000,25.143575
2016-11-16,25.01,25.040001,24.969999,25.030001,14800,24.944261
2016-11-15,24.809999,25.049999,24.75,25.030001,13300,24.944261
2016-11-14,24.780001,24.780001,24.66,24.73,31100,24.645287
2016-11-11,24.90,24.90,24.690001,24.74,12700,24.655253
2016-11-10,24.91,25.049999,24.91,24.950001,25400,24.864535
2016-11-09,24.440001,24.92,24.379999,24.85,52600,24.764877
2016-11-08,24.57,24.690001,24.540001,24.66,20900,24.575528
2016-11-07,24.459999,24.65,24.459999,24.60,43400,24.515734
2016-11-04,24.35,24.43,24.280001,24.299999,28700,24.21676
2016-11-03,24.459999,24.530001,24.34,24.379999,26500,24.296486
2016-11-02,24.77,24.77,24.48,24.48,33800,24.396144
2016-11-01,25.00,25.02,24.75,24.83,17500,24.744945
2016-10-31,24.99,25.040001,24.950001,24.969999,30100,24.884465
2016-10-28,25.059999,25.139999,25.02,25.040001,14600,24.954227
2016-10-27,25.07,25.110001,25.00,25.09,11000,25.004055
2016-10-26,25.02,25.059999,24.959999,25.00,16400,24.914363
2016-10-25,25.34,25.34,25.049999,25.059999,33500,24.974157
2016-10-24,25.280001,25.33,25.24,25.33,19300,25.243233
2016-10-21,25.27,25.370001,25.26,25.35,8200,25.175466
2016-10-20,25.25,25.290001,25.25,25.280001,15800,25.105948
