Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,18.50,18.50,18.48,18.50,51800,18.50
2017-03-23,18.51,18.530001,18.51,18.530001,12500,18.484
2017-03-22,18.51,18.530001,18.51,18.530001,24600,18.484
2017-03-21,18.49,18.52,18.49,18.51,43400,18.46405
2017-03-20,18.51,18.51,18.50,18.51,33800,18.46405
2017-03-17,18.48,18.50,18.48,18.50,20900,18.454074
2017-03-16,18.49,18.50,18.48,18.49,15100,18.444099
2017-03-15,18.48,18.50,18.469999,18.50,47600,18.454074
2017-03-14,18.450001,18.469999,18.450001,18.469999,12600,18.424148
2017-03-13,18.48,18.48,18.450001,18.450001,40500,18.404199
2017-03-10,18.459999,18.48,18.459999,18.469999,57800,18.424148
2017-03-09,18.49,18.49,18.48,18.48,114000,18.434123
2017-03-08,18.49,18.49,18.48,18.48,27900,18.434123
2017-03-07,18.51,18.51,18.50,18.50,20200,18.454074
2017-03-06,18.51,18.52,18.51,18.51,56500,18.46405
2017-03-03,18.52,18.52,18.50,18.52,192600,18.474025
2017-03-02,18.51,18.52,18.49,18.51,49800,18.46405
2017-03-01,18.50,18.52,18.50,18.51,36100,18.46405
2017-02-28,18.530001,18.530001,18.52,18.530001,25400,18.484
2017-02-27,18.530001,18.530001,18.51,18.51,20900,18.46405
2017-02-24,18.51,18.530001,18.51,18.530001,31100,18.484
2017-02-23,18.50,18.51,18.50,18.51,19600,18.46405
2017-02-22,18.49,18.51,18.49,18.50,22800,18.454074
2017-02-21,18.49,18.49,18.48,18.48,50000,18.434123
2017-02-17,18.530001,18.540001,18.530001,18.540001,18000,18.44809
2017-02-16,18.52,18.530001,18.52,18.52,10300,18.428189
2017-02-15,18.51,18.52,18.50,18.51,46800,18.418238
2017-02-14,18.52,18.530001,18.51,18.52,29800,18.428189
2017-02-13,18.540001,18.540001,18.52,18.530001,12300,18.438139
2017-02-10,18.52,18.549999,18.52,18.540001,13000,18.44809
2017-02-09,18.549999,18.57,18.540001,18.540001,20900,18.44809
2017-02-08,18.549999,18.58,18.549999,18.57,36800,18.47794
2017-02-07,18.549999,18.559999,18.540001,18.549999,18500,18.458039
2017-02-06,18.530001,18.549999,18.530001,18.549999,34100,18.458039
2017-02-03,18.530001,18.540001,18.52,18.52,10100,18.428189
2017-02-02,18.530001,18.530001,18.52,18.52,13300,18.428189
2017-02-01,18.52,18.52,18.51,18.52,41200,18.428189
2017-01-31,18.51,18.530001,18.50,18.51,20100,18.418238
2017-01-30,18.50,18.51,18.50,18.50,12200,18.408287
2017-01-27,18.49,18.50,18.49,18.50,17400,18.408287
2017-01-26,18.48,18.50,18.48,18.49,14900,18.398337
2017-01-25,18.50,18.50,18.48,18.48,35400,18.388386
2017-01-24,18.51,18.51,18.50,18.50,14500,18.408287
2017-01-23,18.559999,18.58,18.549999,18.57,113700,18.418237
2017-01-20,18.549999,18.559999,18.540001,18.559999,14300,18.408319
2017-01-19,18.549999,18.549999,18.530001,18.540001,40300,18.388484
2017-01-18,18.559999,18.57,18.549999,18.559999,15400,18.408319
2017-01-17,18.559999,18.559999,18.549999,18.559999,25800,18.408319
2017-01-16,18.540001,18.549999,18.540001,18.540001,12700,18.388484
2017-01-13,18.559999,18.559999,18.540001,18.549999,33600,18.3984
2017-01-12,18.58,18.58,18.559999,18.57,20800,18.418237
2017-01-11,18.559999,18.57,18.549999,18.559999,40500,18.408319
2017-01-10,18.559999,18.57,18.559999,18.559999,61600,18.408319
2017-01-09,18.559999,18.559999,18.549999,18.559999,15900,18.408319
2017-01-06,18.559999,18.559999,18.540001,18.559999,121600,18.408319
2017-01-05,18.549999,18.57,18.549999,18.57,38100,18.418237
2017-01-04,18.549999,18.549999,18.540001,18.549999,8300,18.3984
2017-01-03,18.540001,18.559999,18.530001,18.540001,29200,18.388484
2016-12-30,18.549999,18.559999,18.540001,18.559999,8400,18.408319
2016-12-29,18.530001,18.549999,18.530001,18.549999,12000,18.3984
2016-12-28,18.52,18.52,18.51,18.51,3400,18.358728
2016-12-23,18.559999,18.559999,18.540001,18.549999,40200,18.329965
2016-12-22,18.549999,18.549999,18.540001,18.540001,19800,18.320085
2016-12-21,18.559999,18.559999,18.540001,18.549999,37400,18.329965
2016-12-20,18.549999,18.559999,18.549999,18.549999,49000,18.329965
2016-12-19,18.549999,18.559999,18.549999,18.559999,124800,18.339847
2016-12-16,18.549999,18.549999,18.530001,18.549999,15500,18.329965
2016-12-15,18.549999,18.559999,18.540001,18.549999,64900,18.329965
2016-12-14,18.59,18.60,18.559999,18.559999,50700,18.339847
2016-12-13,18.60,18.60,18.57,18.57,38700,18.349728
2016-12-12,18.57,18.59,18.57,18.59,29000,18.369491
2016-12-09,18.60,18.620001,18.58,18.59,68600,18.369491
2016-12-08,18.629999,18.629999,18.610001,18.620001,27100,18.399136
2016-12-07,18.610001,18.629999,18.610001,18.620001,33500,18.399136
2016-12-06,18.60,18.620001,18.60,18.610001,117500,18.389255
2016-12-05,18.58,18.610001,18.58,18.60,17900,18.379373
2016-12-02,18.59,18.620001,18.59,18.610001,59400,18.389255
2016-12-01,18.60,18.60,18.58,18.59,52600,18.369491
2016-11-30,18.620001,18.629999,18.620001,18.620001,16800,18.399136
2016-11-29,18.610001,18.65,18.610001,18.629999,116600,18.409016
2016-11-28,18.639999,18.65,18.629999,18.639999,148100,18.418898
