Date,Dividends
2016-11-25,0.017000
2016-10-24,0.023000
2016-09-16,0.013000
2016-08-24,0.019000
2016-07-26,0.024000
2016-06-17,0.014000
2016-05-26,0.019000
2016-04-26,0.023000
2016-03-18,0.013000
2016-02-24,0.016000
2016-01-26,0.013000
2015-12-31,0.017000
2015-11-25,0.013000
2015-10-27,0.016000
2015-09-18,0.010000
2015-08-26,0.016000
2015-07-28,0.025000
2015-06-19,0.017000
2015-05-26,0.019000
2015-04-27,0.025000
2015-03-20,0.018000
2015-02-24,0.028000
2015-01-27,0.036000
2014-12-31,0.033000
2014-11-25,0.030000
2014-10-28,0.043000
2014-09-17,0.026000
2014-08-26,0.031000
2014-07-24,0.040000
2014-06-20,0.026000
2014-05-27,0.034000
2014-04-25,0.037000
2014-03-21,0.026000
2014-02-25,0.031000
