Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,50.02,50.02,50.009998,50.009998,700,50.009998
2017-03-23,50.02,50.02,50.009998,50.02,8000,50.02
2017-03-22,50.009998,50.02,50.009998,50.02,3800,50.02
2017-03-21,50.02,50.02,50.009998,50.009998,3000,50.009998
2017-03-20,50.02,50.02,50.02,50.02,600,50.02
2017-03-17,50.02,50.02,50.02,50.02,800,50.02
2017-03-16,50.02,50.02,50.009998,50.009998,23400,50.009998
2017-03-15,50.02,50.02,50.009998,50.009998,1900,50.009998
2017-03-14,50.009998,50.02,50.009998,50.02,800,50.02
2017-03-13,50.00,50.00,50.00,50.00,1800,50.00
2017-03-10,50.009998,50.009998,50.00,50.00,300,50.00
2017-03-09,50.009998,50.009998,50.009998,50.009998,1100,50.009998
2017-03-08,50.00,50.009998,50.00,50.009998,16900,50.009998
2017-03-07,50.00,50.009998,50.00,50.00,1800,50.00
2017-03-06,50.00,50.00,50.00,50.00,1700,50.00
2017-03-03,50.009998,50.009998,50.00,50.009998,2000,50.009998
2017-03-02,50.00,50.009998,50.00,50.009998,1800,50.009998
2017-03-01,50.009998,50.009998,50.00,50.00,1100,50.00
2017-02-28,50.009998,50.009998,50.009998,50.009998,5600,50.009998
2017-02-27,50.009998,50.009998,50.00,50.009998,1900,50.009998
2017-02-24,50.009998,50.009998,50.00,50.009998,18000,50.009998
2017-02-23,50.009998,50.009998,50.009998,50.009998,1500,50.009998
2017-02-22,50.02,50.02,50.009998,50.009998,4200,49.992999
2017-02-21,50.009998,50.02,50.009998,50.02,12700,50.002997
2017-02-17,50.009998,50.02,50.009998,50.02,1100,50.002997
2017-02-16,50.02,50.02,50.009998,50.02,1300,50.002997
2017-02-15,50.02,50.02,50.02,50.02,49300,50.002997
2017-02-14,50.009998,50.009998,50.009998,50.009998,16300,49.992999
2017-02-13,50.00,50.009998,50.00,50.009998,2400,49.992999
2017-02-10,50.009998,50.009998,50.00,50.009998,4600,49.992999
2017-02-09,50.009998,50.009998,50.009998,50.009998,2800,49.992999
2017-02-08,50.009998,50.009998,50.009998,50.009998,2200,49.992999
2017-02-07,50.009998,50.009998,50.00,50.009998,2800,49.992999
2017-02-06,50.00,50.00,50.00,50.00,1000,49.983004
2017-02-03,50.009998,50.009998,50.00,50.009998,1700,49.992999
2017-02-02,50.009998,50.009998,50.00,50.00,5300,49.983004
2017-02-01,50.00,50.009998,50.00,50.00,2400,49.983004
2017-01-31,50.009998,50.009998,50.00,50.009998,2400,49.992999
2017-01-30,50.00,50.009998,50.00,50.009998,7300,49.992999
2017-01-27,50.009998,50.009998,50.00,50.00,5300,49.983004
2017-01-26,50.009998,50.009998,50.009998,50.009998,1200,49.992999
2017-01-25,50.02,50.02,50.009998,50.02,2400,49.987002
2017-01-24,50.02,50.02,50.02,50.02,600,49.987002
