Date,Dividends
2017-03-24,0.534000
2016-12-21,0.796000
2016-09-26,0.709000
2016-06-21,0.606000
2016-03-23,0.528000
2015-12-24,0.691000
2015-09-25,0.529000
2015-06-24,0.473000
2015-03-25,0.481000
2014-12-24,0.667000
2014-09-24,0.447000
2014-06-24,0.388000
2014-03-25,0.440000
2013-12-23,0.482000
2013-09-24,0.451000
2013-06-26,0.444000
2013-03-25,0.350000
2012-12-19,0.585000
2012-09-25,0.315000
2012-06-19,0.293000
2012-03-26,0.258000
2011-12-22,0.361000
2011-09-26,0.292000
2011-06-23,0.239000
2011-03-25,0.223000
2010-12-23,0.314000
2010-09-24,0.249000
2010-06-23,0.196000
2010-03-25,0.197000
2009-12-24,0.337000
2009-09-23,0.202000
2009-06-23,0.185000
2009-03-25,0.201000
2008-12-24,0.383000
2008-09-25,0.266000
2008-06-24,0.264000
2008-03-25,0.174000
2007-12-27,0.269000
2007-09-26,0.214000
2007-06-29,0.206000
2007-03-26,0.410000
2006-12-21,0.296000
2006-09-27,0.226000
2006-06-23,0.022000
2006-03-27,0.202000
2005-12-23,0.267000
2005-09-26,0.184000
2005-06-21,0.155000
2005-03-28,0.228000
