Date,Dividends
2017-03-22,0.046000
2017-02-22,0.048000
2017-01-23,0.049000
2016-12-28,0.040000
2016-11-21,0.053000
2016-10-21,0.054000
2016-09-22,0.053000
2016-08-23,0.054000
2016-07-21,0.056000
2016-06-22,0.055000
2016-05-24,0.057000
2016-04-21,0.054000
2016-03-22,0.050000
2016-02-23,0.054000
2016-01-21,0.056000
2015-12-29,0.078000
2015-11-23,0.050000
2015-10-22,0.057000
2015-09-22,0.059000
2015-08-24,0.059000
2015-07-23,0.056000
2015-06-22,0.055000
2015-05-20,0.056000
2015-04-22,0.056000
2015-03-23,0.057000
2015-02-19,0.058000
2015-01-22,0.056000
2014-12-29,0.060000
2014-11-20,0.061000
2014-10-22,0.067000
2014-09-22,0.061000
2014-08-21,0.058000
2014-07-23,0.058000
2014-06-23,0.057000
2014-05-22,0.057000
2014-04-22,0.057000
2014-03-21,0.057000
2014-02-20,0.057000
