Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,19.58,19.60,19.58,19.60,400,19.60
2017-03-23,19.58,19.58,19.549999,19.549999,5600,19.549999
2017-03-22,19.58,19.58,19.57,19.57,5100,19.57
2017-03-21,19.57,19.610001,19.57,19.57,8100,19.524
2017-03-20,19.59,19.610001,19.59,19.610001,2300,19.563907
2017-03-17,19.58,19.59,19.559999,19.559999,2800,19.514024
2017-03-16,19.58,19.58,19.58,19.58,10200,19.533977
2017-03-15,19.58,19.58,19.58,19.58,2700,19.533977
2017-03-14,19.530001,19.540001,19.50,19.540001,53900,19.494072
2017-03-13,19.52,19.530001,19.50,19.51,6100,19.464142
2017-03-10,19.52,19.549999,19.51,19.549999,11300,19.504047
2017-03-09,19.559999,19.57,19.559999,19.57,1500,19.524
2017-03-08,19.549999,19.58,19.549999,19.58,7300,19.533977
2017-03-07,19.60,19.610001,19.559999,19.559999,11300,19.514024
2017-03-06,19.59,19.620001,19.58,19.58,7100,19.533977
2017-03-03,19.620001,19.620001,19.60,19.610001,4500,19.563907
2017-03-02,19.620001,19.620001,19.620001,19.620001,300,19.573884
2017-03-01,19.58,19.58,19.58,19.58,1800,19.533977
2017-02-28,19.629999,19.629999,19.57,19.58,32200,19.533977
2017-02-27,19.620001,19.620001,19.559999,19.559999,3700,19.514024
2017-02-24,19.559999,19.620001,19.559999,19.620001,2800,19.573884
2017-02-23,19.57,19.57,19.559999,19.559999,3000,19.514024
2017-02-22,19.59,19.59,19.559999,19.559999,3300,19.514024
2017-02-21,19.620001,19.620001,19.60,19.60,4700,19.506043
2017-02-17,19.59,19.620001,19.57,19.58,20700,19.486138
2017-02-16,19.59,19.610001,19.58,19.58,14900,19.486138
2017-02-15,19.58,19.58,19.58,19.58,4600,19.486138
2017-02-14,19.60,19.60,19.57,19.57,3100,19.476186
2017-02-13,19.594999,19.60,19.594999,19.60,7500,19.506043
2017-02-10,19.610001,19.620001,19.60,19.620001,3000,19.525947
2017-02-09,19.620001,19.629999,19.620001,19.620001,2200,19.525947
2017-02-08,19.610001,19.639999,19.610001,19.629999,10600,19.535898
2017-02-07,19.58,19.59,19.58,19.59,700,19.49609
2017-02-06,19.57,19.57,19.57,19.57,2700,19.476186
2017-02-03,19.59,19.59,19.559999,19.559999,4900,19.466233
2017-02-02,19.559999,19.58,19.559999,19.559999,6400,19.466233
2017-02-01,19.559999,19.57,19.559999,19.57,33200,19.476186
2017-01-31,19.549999,19.58,19.540001,19.58,11400,19.486138
2017-01-30,19.52,19.549999,19.52,19.549999,9300,19.456281
2017-01-27,19.50,19.530001,19.50,19.50,9900,19.406522
2017-01-26,19.49,19.530001,19.49,19.530001,2200,19.436378
2017-01-25,19.52,19.52,19.50,19.50,7000,19.406522
2017-01-24,19.549999,19.549999,19.540001,19.540001,10500,19.446331
2017-01-23,19.549999,19.59,19.549999,19.59,4700,19.49609
2017-01-20,19.57,19.57,19.540001,19.540001,4800,19.397566
2017-01-19,19.57,19.57,19.57,19.57,7400,19.427346
2017-01-18,19.549999,19.620001,19.549999,19.59,5000,19.447201
2017-01-17,19.58,19.59,19.540001,19.540001,8800,19.397566
2017-01-16,19.58,19.58,19.530001,19.530001,8600,19.387639
2017-01-13,19.57,19.57,19.540001,19.57,7200,19.427346
2017-01-12,19.59,19.59,19.59,19.59,24600,19.447201
2017-01-11,19.52,19.549999,19.52,19.549999,2300,19.407491
2017-01-10,19.57,19.58,19.57,19.58,3400,19.437273
2017-01-09,19.58,19.58,19.57,19.57,6100,19.427346
2017-01-06,19.559999,19.559999,19.50,19.50,3000,19.357857
2017-01-05,19.57,19.59,19.57,19.59,18800,19.447201
2017-01-04,19.549999,19.549999,19.50,19.50,82500,19.357857
2017-01-03,19.50,19.549999,19.50,19.549999,5000,19.407491
2016-12-30,19.52,19.52,19.52,19.52,000,19.377711
2016-12-29,19.52,19.52,19.52,19.52,600,19.377711
2016-12-28,19.48,19.52,19.469999,19.48,11000,19.338002
2016-12-23,19.50,19.559999,19.49,19.559999,5600,19.37771
2016-12-22,19.51,19.51,19.459999,19.459999,6900,19.278642
2016-12-21,19.50,19.51,19.50,19.51,2300,19.328177
2016-12-20,19.49,19.49,19.459999,19.459999,2800,19.278642
2016-12-19,19.469999,19.469999,19.469999,19.469999,9600,19.288549
2016-12-16,19.50,19.50,19.440001,19.440001,6300,19.25883
2016-12-15,19.530001,19.530001,19.50,19.51,6400,19.328177
2016-12-14,19.540001,19.57,19.540001,19.549999,1500,19.367803
2016-12-13,19.549999,19.57,19.52,19.52,5000,19.338084
2016-12-12,19.48,19.530001,19.48,19.52,7800,19.338084
2016-12-09,19.57,19.57,19.530001,19.530001,13300,19.347991
2016-12-08,19.58,19.610001,19.58,19.610001,4400,19.427246
2016-12-07,19.620001,19.620001,19.620001,19.620001,5500,19.437153
2016-12-06,19.59,19.59,19.549999,19.549999,7400,19.367803
2016-12-05,19.549999,19.60,19.540001,19.540001,4400,19.357898
2016-12-02,19.57,19.59,19.549999,19.549999,27700,19.367803
2016-12-01,19.549999,19.549999,19.530001,19.530001,20200,19.347991
2016-11-30,19.59,19.60,19.58,19.60,4100,19.417338
2016-11-29,19.60,19.60,19.58,19.58,2700,19.397524
2016-11-28,19.59,19.59,19.59,19.59,400,19.407431
2016-11-25,19.59,19.59,19.549999,19.549999,23400,19.367803
2016-11-24,19.57,19.60,19.549999,19.549999,3400,19.367803
2016-11-23,19.60,19.60,19.549999,19.549999,6600,19.367803
2016-11-22,19.60,19.60,19.58,19.60,1900,19.417338
2016-11-21,19.59,19.59,19.58,19.58,11000,19.397524
2016-11-18,19.629999,19.639999,19.610001,19.639999,5400,19.404458
2016-11-17,19.629999,19.639999,19.629999,19.639999,3000,19.404458
2016-11-16,19.629999,19.65,19.629999,19.639999,7100,19.404458
2016-11-15,19.610001,19.639999,19.610001,19.639999,1500,19.404458
2016-11-14,19.610001,19.639999,19.60,19.639999,7100,19.404458
2016-11-11,19.700001,19.700001,19.65,19.65,1500,19.414339
2016-11-10,19.66,19.66,19.66,19.66,1100,19.424219
2016-11-09,19.68,19.68,19.629999,19.629999,22400,19.394578
2016-11-08,19.700001,19.700001,19.68,19.68,5700,19.443979
2016-11-07,19.700001,19.700001,19.68,19.690001,18700,19.45386
2016-11-04,19.690001,19.719999,19.690001,19.719999,3500,19.483499
2016-11-03,19.709999,19.709999,19.68,19.68,1500,19.443979
2016-11-02,19.690001,19.719999,19.690001,19.719999,14800,19.483499
2016-11-01,19.67,19.700001,19.66,19.66,6400,19.424219
2016-10-31,19.700001,19.709999,19.700001,19.709999,5900,19.473618
2016-10-28,19.690001,19.690001,19.690001,19.690001,800,19.45386
2016-10-27,19.690001,19.690001,19.67,19.68,13800,19.443979
2016-10-26,19.700001,19.700001,19.68,19.68,21900,19.443979
2016-10-25,19.709999,19.709999,19.68,19.68,3500,19.443979
2016-10-24,19.719999,19.719999,19.68,19.700001,4600,19.46374
2016-10-21,19.709999,19.719999,19.690001,19.719999,7500,19.483499
2016-10-20,19.73,19.73,19.700001,19.709999,2500,19.420266
2016-10-19,19.719999,19.73,19.719999,19.73,6800,19.439972
2016-10-18,19.690001,19.719999,19.68,19.719999,14100,19.430119
2016-10-17,19.709999,19.709999,19.66,19.66,4000,19.371001
2016-10-14,19.690001,19.690001,19.690001,19.690001,2200,19.400561
2016-10-13,19.700001,19.700001,19.700001,19.700001,900,19.410414
2016-10-12,19.66,19.68,19.66,19.68,3800,19.390708
2016-10-11,19.690001,19.690001,19.65,19.65,4000,19.361148
2016-10-07,19.700001,19.700001,19.65,19.65,14700,19.361148
2016-10-06,19.700001,19.700001,19.700001,19.700001,5400,19.410414
2016-10-05,19.709999,19.709999,19.690001,19.690001,11000,19.400561
2016-10-04,19.709999,19.719999,19.700001,19.700001,22900,19.410414
2016-10-03,19.74,19.74,19.719999,19.73,8600,19.439972
2016-09-30,19.73,19.73,19.73,19.73,700,19.439972
2016-09-29,19.75,19.75,19.74,19.74,6100,19.449825
2016-09-28,19.76,19.76,19.74,19.75,4900,19.459679
2016-09-27,19.709999,19.76,19.709999,19.75,4600,19.459679
2016-09-26,19.700001,19.75,19.700001,19.75,3600,19.459679
2016-09-23,19.700001,19.719999,19.700001,19.719999,2200,19.430119
2016-09-22,19.690001,19.700001,19.67,19.67,3300,19.380855
2016-09-21,19.73,19.73,19.719999,19.719999,1700,19.377898
2016-09-20,19.74,19.74,19.74,19.74,600,19.397552
2016-09-19,19.74,19.74,19.74,19.74,1700,19.397552
2016-09-16,19.73,19.74,19.700001,19.700001,6900,19.358246
2016-09-15,19.700001,19.700001,19.700001,19.700001,000,19.358246
2016-09-14,19.700001,19.73,19.700001,19.700001,3200,19.358246
2016-09-13,19.719999,19.719999,19.690001,19.690001,900,19.34842
2016-09-12,19.719999,19.719999,19.719999,19.719999,1100,19.377898
2016-09-09,19.690001,19.690001,19.690001,19.690001,3200,19.34842
2016-09-08,19.75,19.75,19.700001,19.700001,6700,19.358246
2016-09-07,19.709999,19.77,19.709999,19.77,5300,19.427032
2016-09-06,19.75,19.75,19.75,19.75,1500,19.407378
2016-09-05,19.74,19.74,19.74,19.74,000,19.397552
2016-09-02,19.74,19.74,19.700001,19.700001,2800,19.358246
2016-09-01,19.690001,19.75,19.690001,19.74,27000,19.397552
2016-08-31,19.74,19.74,19.74,19.74,2700,19.397552
2016-08-30,19.700001,19.700001,19.67,19.67,3700,19.328766
2016-08-29,19.68,19.68,19.68,19.68,500,19.338593
2016-08-26,19.700001,19.700001,19.68,19.68,6900,19.338593
2016-08-25,19.709999,19.709999,19.66,19.66,3100,19.31894
2016-08-24,19.73,19.735001,19.700001,19.73,8100,19.387725
2016-08-23,19.73,19.73,19.73,19.73,1500,19.387725
2016-08-22,19.75,19.790001,19.75,19.790001,10000,19.393622
2016-08-19,19.780001,19.780001,19.74,19.76,11200,19.364222
2016-08-18,19.76,19.76,19.76,19.76,600,19.364222
2016-08-17,19.74,19.75,19.74,19.75,5100,19.354422
2016-08-16,19.75,19.76,19.75,19.76,5300,19.364222
2016-08-15,19.75,19.76,19.75,19.76,2800,19.364222
2016-08-12,19.790001,19.790001,19.75,19.75,1200,19.354422
2016-08-11,19.790001,19.790001,19.77,19.77,9400,19.374022
2016-08-10,19.77,19.77,19.77,19.77,200,19.374022
2016-08-09,19.73,19.77,19.719999,19.77,62100,19.374022
2016-08-08,19.76,19.77,19.76,19.77,6300,19.374022
2016-08-05,19.719999,19.719999,19.719999,19.719999,15400,19.325023
2016-08-04,19.700001,19.700001,19.700001,19.700001,100,19.305425
2016-08-03,19.700001,19.700001,19.690001,19.700001,2000,19.305425
2016-08-02,19.66,19.73,19.66,19.73,700,19.334823
2016-07-29,19.700001,19.700001,19.700001,19.700001,500,19.305425
2016-07-28,19.709999,19.719999,19.709999,19.709999,8600,19.315223
2016-07-27,19.709999,19.719999,19.709999,19.719999,8300,19.325023
2016-07-26,19.719999,19.719999,19.690001,19.709999,9700,19.315223
2016-07-25,19.719999,19.719999,19.719999,19.719999,2500,19.325023
2016-07-22,19.700001,19.719999,19.66,19.67,5500,19.276025
2016-07-21,19.700001,19.709999,19.700001,19.709999,6500,19.315223
2016-07-20,19.77,19.77,19.75,19.75,600,19.299544
2016-07-19,19.74,19.74,19.74,19.74,2400,19.289772
2016-07-18,19.74,19.74,19.700001,19.700001,2800,19.250685
2016-07-15,19.76,19.76,19.73,19.73,1600,19.28
2016-07-14,19.780001,19.780001,19.75,19.75,500,19.299544
2016-07-13,19.790001,19.790001,19.790001,19.790001,100,19.338633
2016-07-12,19.74,19.77,19.74,19.77,5300,19.319088
2016-07-11,19.790001,19.790001,19.73,19.74,15300,19.289772
2016-07-08,19.790001,19.790001,19.790001,19.790001,10400,19.338633
2016-07-07,19.76,19.790001,19.719999,19.790001,2300,19.338633
2016-07-06,19.76,19.77,19.719999,19.719999,5400,19.270228
2016-07-05,19.754999,19.77,19.754999,19.77,5200,19.319088
2016-07-04,19.76,19.780001,19.690001,19.690001,5200,19.240913
2016-06-30,19.790001,19.790001,19.790001,19.790001,3900,19.338633
2016-06-29,19.719999,19.73,19.719999,19.73,200,19.28
2016-06-28,19.76,19.76,19.700001,19.74,2600,19.289772
2016-06-27,19.700001,19.700001,19.68,19.68,4000,19.231141
2016-06-24,19.620001,19.700001,19.620001,19.700001,5400,19.250685
2016-06-23,19.639999,19.690001,19.639999,19.690001,5800,19.240913
2016-06-22,19.690001,19.700001,19.690001,19.700001,1500,19.250685
2016-06-21,19.75,19.75,19.75,19.75,800,19.245799
2016-06-20,19.76,19.77,19.75,19.77,2700,19.265289
2016-06-17,19.76,19.799999,19.75,19.799999,1500,19.294522
2016-06-16,19.799999,19.799999,19.799999,19.799999,900,19.294522
2016-06-15,19.75,19.77,19.75,19.76,700,19.255544
2016-06-14,19.799999,19.809999,19.76,19.76,5800,19.255544
2016-06-13,19.799999,19.82,19.799999,19.82,1500,19.314012
2016-06-10,19.77,19.809999,19.77,19.809999,3600,19.304267
2016-06-09,19.780001,19.790001,19.780001,19.790001,1200,19.284779
2016-06-08,19.73,19.790001,19.73,19.790001,3700,19.284779
2016-06-07,19.74,19.780001,19.74,19.780001,4800,19.275034
2016-06-06,19.75,19.77,19.75,19.77,4900,19.265289
2016-06-03,19.75,19.75,19.74,19.75,4600,19.245799
2016-06-02,19.73,19.75,19.73,19.75,4600,19.245799
2016-06-01,19.719999,19.73,19.709999,19.709999,7900,19.20682
2016-05-31,19.700001,19.73,19.700001,19.73,3300,19.226309
2016-05-30,19.65,19.68,19.65,19.68,1700,19.177587
2016-05-27,19.709999,19.709999,19.639999,19.639999,10200,19.138607
2016-05-26,19.690001,19.719999,19.66,19.719999,15400,19.216565
2016-05-25,19.690001,19.700001,19.639999,19.639999,11700,19.138607
2016-05-24,19.719999,19.719999,19.639999,19.639999,3200,19.138607
2016-05-23,19.73,19.73,19.73,19.73,000,19.170765
2016-05-20,19.74,19.75,19.74,19.75,5100,19.190198
2016-05-19,19.76,19.77,19.73,19.73,12900,19.170765
2016-05-18,19.799999,19.799999,19.76,19.76,3700,19.199915
2016-05-17,19.790001,19.809999,19.790001,19.809999,7000,19.248497
2016-05-16,19.82,19.82,19.799999,19.809999,2000,19.248497
2016-05-13,19.790001,19.82,19.790001,19.82,5000,19.258214
2016-05-12,19.799999,19.82,19.799999,19.82,5800,19.258214
2016-05-11,19.82,19.82,19.82,19.82,200,19.258214
2016-05-10,19.84,19.84,19.83,19.83,700,19.267931
2016-05-09,19.77,19.83,19.77,19.83,1600,19.267931
2016-05-06,19.809999,19.82,19.799999,19.809999,18700,19.248497
2016-05-05,19.799999,19.799999,19.75,19.75,1900,19.190198
2016-05-04,19.77,19.790001,19.77,19.790001,20500,19.229065
2016-05-03,19.74,19.75,19.74,19.75,9800,19.190198
2016-05-02,19.719999,19.719999,19.700001,19.719999,10500,19.161048
2016-04-29,19.700001,19.719999,19.700001,19.719999,1000,19.161048
2016-04-28,19.700001,19.709999,19.700001,19.709999,17700,19.151331
2016-04-27,19.66,19.66,19.66,19.66,000,19.102749
2016-04-26,19.65,19.66,19.620001,19.66,1200,19.102749
2016-04-25,19.620001,19.620001,19.610001,19.610001,5600,19.054167
2016-04-22,19.68,19.68,19.66,19.66,2800,19.102749
2016-04-21,19.67,19.690001,19.629999,19.639999,17100,19.083316
2016-04-20,19.73,19.73,19.690001,19.690001,3600,19.079429
2016-04-19,19.75,19.75,19.719999,19.73,6400,19.118188
2016-04-18,19.719999,19.719999,19.719999,19.719999,000,19.108498
2016-04-15,19.700001,19.73,19.700001,19.719999,1800,19.108498
