Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,23.43,23.59,23.43,23.51,5300,23.51
2017-03-23,23.41,23.50,23.41,23.440001,7800,23.440001
2017-03-22,23.43,23.48,23.33,23.48,24200,23.48
2017-03-21,23.450001,23.700001,23.34,23.700001,11800,23.646
2017-03-20,23.65,23.68,23.57,23.639999,24500,23.586135
2017-03-17,23.60,23.65,23.549999,23.629999,6500,23.576158
2017-03-16,23.540001,23.629999,23.540001,23.60,8900,23.546228
2017-03-15,23.469999,23.52,23.41,23.440001,10400,23.386592
2017-03-14,23.50,23.50,23.40,23.41,7000,23.35666
2017-03-13,23.549999,23.59,23.48,23.59,6100,23.53625
2017-03-10,23.40,23.530001,23.360001,23.379999,11600,23.326728
2017-03-09,23.33,23.34,23.27,23.27,16000,23.21698
2017-03-08,23.370001,23.370001,23.24,23.24,5100,23.187047
2017-03-07,23.27,23.299999,23.25,23.25,9300,23.197025
2017-03-06,23.280001,23.34,23.280001,23.33,3700,23.276842
2017-03-03,23.299999,23.35,23.25,23.33,19300,23.276842
2017-03-02,23.24,23.309999,23.24,23.309999,8500,23.256887
2017-03-01,23.32,23.51,23.299999,23.459999,15800,23.406545
2017-02-28,22.879999,23.129999,22.879999,23.059999,19200,23.007457
2017-02-27,22.780001,22.91,22.780001,22.889999,10100,22.837844
2017-02-24,22.76,22.799999,22.75,22.799999,5100,22.748049
2017-02-23,22.93,22.93,22.879999,22.879999,19700,22.827867
2017-02-22,22.940001,22.99,22.879999,22.940001,23400,22.887732
2017-02-21,22.99,23.040001,22.98,23.040001,14900,22.93263
2017-02-17,22.719999,22.879999,22.700001,22.879999,50200,22.773374
2017-02-16,22.780001,22.83,22.700001,22.700001,14500,22.594214
2017-02-15,22.68,22.82,22.66,22.82,21200,22.713654
2017-02-14,22.610001,22.68,22.60,22.639999,12700,22.534493
2017-02-13,22.84,22.84,22.75,22.75,13100,22.643981
2017-02-10,22.58,22.74,22.58,22.700001,41300,22.594214
2017-02-09,22.709999,22.709999,22.639999,22.639999,8400,22.534493
2017-02-08,22.68,22.76,22.68,22.68,12500,22.574307
2017-02-07,22.66,22.709999,22.66,22.68,9600,22.574307
2017-02-06,22.58,22.58,22.51,22.52,9600,22.415053
2017-02-03,22.60,22.60,22.48,22.60,25500,22.49468
2017-02-02,22.60,22.620001,22.559999,22.58,18700,22.474773
2017-02-01,22.709999,22.76,22.68,22.719999,19800,22.61412
2017-01-31,22.49,22.540001,22.43,22.450001,13100,22.34538
2017-01-30,22.559999,22.65,22.49,22.639999,11700,22.534493
2017-01-27,22.719999,22.719999,22.639999,22.66,9800,22.5544
2017-01-26,22.67,22.67,22.559999,22.67,16900,22.564354
2017-01-25,22.75,22.75,22.629999,22.719999,36900,22.61412
2017-01-24,22.700001,22.83,22.67,22.76,13000,22.653934
2017-01-23,22.85,22.85,22.709999,22.83,13600,22.723608
2017-01-20,22.99,22.99,22.85,22.879999,6000,22.71863
2017-01-19,22.870001,22.889999,22.790001,22.889999,14700,22.72856
2017-01-18,22.59,22.75,22.469999,22.74,7600,22.579618
2017-01-17,22.450001,22.58,22.440001,22.559999,22100,22.400887
2017-01-16,22.66,22.799999,22.65,22.65,10400,22.490253
2017-01-13,22.67,22.74,22.67,22.690001,11700,22.529972
2017-01-12,22.49,22.709999,22.49,22.709999,38900,22.549829
2017-01-11,22.66,22.719999,22.59,22.719999,8700,22.559759
2017-01-10,22.68,22.75,22.68,22.74,12000,22.579618
2017-01-09,22.790001,22.790001,22.709999,22.790001,11200,22.629267
2017-01-06,22.799999,22.91,22.799999,22.90,14100,22.73849
2017-01-05,22.889999,22.950001,22.84,22.950001,8900,22.788138
2017-01-04,22.65,22.77,22.60,22.77,11000,22.609407
2017-01-03,22.75,22.780001,22.639999,22.780001,11900,22.619337
2016-12-30,22.67,22.67,22.549999,22.549999,1700,22.390958
2016-12-29,22.74,22.75,22.700001,22.700001,4200,22.539901
2016-12-28,22.83,22.83,22.719999,22.77,5100,22.609407
2016-12-23,22.74,22.90,22.68,22.90,13600,22.691821
2016-12-22,22.57,22.66,22.57,22.65,27400,22.444093
2016-12-21,22.33,22.58,22.219999,22.58,21100,22.37473
2016-12-20,22.52,22.549999,22.469999,22.530001,10700,22.325185
2016-12-19,22.370001,22.57,22.370001,22.469999,5300,22.265729
2016-12-16,22.40,22.40,22.299999,22.370001,3000,22.16664
2016-12-15,22.450001,22.469999,22.389999,22.40,8500,22.196366
2016-12-14,22.42,22.639999,22.370001,22.459999,28800,22.25582
2016-12-13,22.40,22.559999,22.40,22.559999,19000,22.354911
2016-12-12,22.27,22.309999,22.24,22.24,15500,22.037821
2016-12-09,22.290001,22.379999,22.26,22.379999,21000,22.176547
2016-12-08,22.50,22.51,22.40,22.440001,11100,22.236003
2016-12-07,22.33,22.52,22.209999,22.52,10800,22.315276
2016-12-06,22.120001,22.17,22.120001,22.139999,5600,21.938729
2016-12-05,21.98,22.110001,21.91,22.110001,18700,21.909003
2016-12-02,21.860001,21.91,21.809999,21.83,16100,21.631548
2016-12-01,21.969999,21.969999,21.780001,21.780001,16500,21.582003
2016-11-30,22.059999,22.08,22.00,22.02,17200,21.819821
2016-11-29,22.08,22.09,21.98,22.08,19200,21.879275
2016-11-28,21.969999,21.969999,21.82,21.879999,11400,21.681093
2016-11-25,22.040001,22.440001,22.040001,22.440001,5000,22.236003
2016-11-24,21.90,21.90,21.780001,21.780001,3600,21.582003
2016-11-23,21.969999,22.02,21.91,22.02,18200,21.819821
2016-11-22,21.969999,22.08,21.93,22.08,13900,21.879275
2016-11-21,21.90,21.92,21.799999,21.92,13400,21.72073
2016-11-18,22.00,22.00,21.90,21.959999,7200,21.697938
2016-11-17,22.02,22.17,22.02,22.17,14100,21.905433
2016-11-16,21.959999,21.959999,21.940001,21.940001,6400,21.678178
2016-11-15,22.08,22.25,22.059999,22.25,9200,21.984478
2016-11-14,22.34,22.360001,22.26,22.34,14100,22.073404
2016-11-11,22.26,22.379999,22.25,22.379999,11500,22.112926
2016-11-10,22.379999,22.459999,22.299999,22.440001,26600,22.172211
2016-11-09,22.370001,22.549999,22.33,22.459999,13100,22.191971
2016-11-08,22.26,22.32,22.24,22.299999,14700,22.033881
2016-11-07,22.190001,22.34,22.190001,22.34,8300,22.073404
2016-11-04,22.120001,22.16,22.01,22.08,6000,21.816507
2016-11-03,22.200001,22.27,22.110001,22.110001,8200,21.846149
2016-11-02,22.309999,22.32,22.280001,22.299999,4300,22.033881
2016-11-01,22.34,22.34,22.190001,22.219999,14400,21.954836
2016-10-31,22.34,22.42,22.299999,22.370001,6600,22.103047
2016-10-28,22.27,22.290001,22.18,22.290001,5600,22.024002
2016-10-27,22.48,22.48,22.34,22.389999,5000,22.122807
2016-10-26,22.40,22.42,22.309999,22.41,13300,22.142569
2016-10-25,22.389999,22.41,22.299999,22.41,12600,22.142569
2016-10-24,22.440001,22.440001,22.33,22.360001,14600,22.093166
2016-10-21,22.26,22.370001,22.209999,22.27,102700,22.00424
2016-10-20,22.059999,22.370001,22.059999,22.370001,25200,22.043763
2016-10-19,22.200001,22.219999,22.049999,22.129999,3100,21.807262
2016-10-18,22.049999,22.190001,22.049999,22.17,3000,21.846679
2016-10-17,22.059999,22.059999,21.879999,21.959999,19200,21.639741
2016-10-14,22.16,22.16,22.059999,22.059999,3900,21.738283
2016-10-13,22.15,22.15,22.049999,22.049999,9300,21.728429
2016-10-12,22.33,22.33,22.24,22.33,19400,22.004346
2016-10-11,22.43,22.43,22.18,22.290001,17700,21.96493
2016-10-07,22.40,22.49,22.360001,22.459999,3500,22.132449
2016-10-06,22.52,22.530001,22.52,22.530001,2100,22.20143
2016-10-05,22.719999,22.75,22.690001,22.74,9900,22.408366
