Date,Dividends
2017-03-22,0.056000
2017-02-24,0.051000
2017-01-27,0.070000
2016-12-28,0.050000
2016-11-28,0.058000
2016-10-27,0.089000
2016-09-13,0.028000
2016-08-29,0.058000
2016-07-27,0.080000
2016-06-14,0.039000
2016-05-27,0.056000
2016-04-27,0.081000
2016-03-15,0.038000
2016-02-25,0.056000
2016-01-27,0.069000
2015-12-24,0.052000
2015-11-26,0.056000
2015-10-28,0.067000
2015-09-25,0.056000
2015-08-27,0.058000
2015-07-29,0.067000
2015-06-26,0.062000
2015-05-27,0.056000
2015-04-28,0.068000
2015-03-25,0.054000
2015-02-25,0.052000
2015-01-28,0.072000
2014-12-24,0.049000
2014-11-26,0.058000
2014-10-29,0.070000
2014-09-24,0.057000
2014-08-27,0.058000
2014-07-29,0.071000
2014-06-24,0.056000
2014-05-28,0.067000
2014-04-28,0.063000
2014-03-25,0.052000
2014-02-26,0.055000
2014-01-29,0.081000
2013-12-27,0.050000
2013-11-27,0.063000
2013-10-29,0.085000
2013-09-23,0.052000
2013-08-28,0.068000
2013-07-29,0.079000
2013-06-24,0.047000
2013-05-29,0.071000
2013-04-26,0.076000
2013-03-22,0.057000
2013-02-26,0.052000
2013-01-29,0.083000
2012-12-27,0.094000
2012-11-28,0.075000
2012-10-29,0.067000
2012-09-26,0.060000
2012-08-29,0.073000
2012-07-27,0.069000
2012-06-27,0.064000
2012-05-29,0.068000
2012-04-26,0.053000
2012-03-28,0.072000
2012-02-27,0.059000
2012-01-27,0.069000
