Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,25.42,25.49,25.42,25.450001,32200,25.450001
2017-03-23,25.440001,25.440001,25.360001,25.42,55200,25.42
2017-03-22,25.42,25.42,25.379999,25.41,63900,25.41
2017-03-21,25.34,25.40,25.33,25.389999,75900,25.333999
2017-03-20,25.370001,25.370001,25.33,25.370001,56600,25.314045
2017-03-17,25.280001,25.35,25.280001,25.34,44100,25.28411
2017-03-16,25.27,25.290001,25.24,25.27,51500,25.214265
2017-03-15,25.200001,25.309999,25.200001,25.280001,24000,25.224243
2017-03-14,25.120001,25.190001,25.120001,25.18,27000,25.124463
2017-03-13,25.16,25.17,25.10,25.10,66100,25.04464
2017-03-10,25.17,25.209999,25.16,25.209999,46000,25.154396
2017-03-09,25.219999,25.23,25.18,25.209999,43500,25.154396
2017-03-08,25.23,25.26,25.200001,25.25,49400,25.194308
2017-03-07,25.35,25.35,25.280001,25.309999,49900,25.254175
2017-03-06,25.370001,25.370001,25.35,25.370001,102200,25.314045
2017-03-03,25.370001,25.370001,25.33,25.370001,64900,25.314045
2017-03-02,25.35,25.360001,25.32,25.35,58700,25.294088
2017-03-01,25.33,25.379999,25.33,25.34,87400,25.28411
2017-02-28,25.440001,25.459999,25.42,25.440001,47500,25.38389
2017-02-27,25.459999,25.469999,25.40,25.41,60100,25.353955
2017-02-24,25.42,25.48,25.40,25.48,73500,25.423801
2017-02-23,25.389999,25.42,25.379999,25.42,56400,25.313047
2017-02-22,25.389999,25.389999,25.32,25.35,39100,25.243342
2017-02-21,25.26,25.33,25.26,25.309999,109500,25.203509
2017-02-17,25.35,25.360001,25.32,25.32,51900,25.213468
2017-02-16,25.25,25.32,25.25,25.299999,35500,25.193551
2017-02-15,25.209999,25.25,25.209999,25.23,44700,25.123846
2017-02-14,25.290001,25.299999,25.219999,25.25,178000,25.143762
2017-02-13,25.34,25.34,25.299999,25.299999,66900,25.193551
2017-02-10,25.34,25.389999,25.32,25.370001,56700,25.263258
2017-02-09,25.48,25.48,25.370001,25.370001,193500,25.263258
2017-02-08,25.450001,25.50,25.450001,25.48,69100,25.372794
2017-02-07,25.34,25.41,25.309999,25.35,98300,25.243342
2017-02-06,25.299999,25.32,25.290001,25.309999,775400,25.203509
2017-02-03,25.309999,25.32,25.23,25.25,56800,25.143762
2017-02-02,25.309999,25.309999,25.23,25.23,48100,25.123846
2017-02-01,25.209999,25.25,25.190001,25.24,34200,25.133804
2017-01-31,25.219999,25.27,25.209999,25.23,66400,25.123846
2017-01-30,25.209999,25.23,25.190001,25.190001,34100,25.084015
2017-01-27,25.190001,25.190001,25.139999,25.18,93000,25.074057
2017-01-26,25.219999,25.219999,25.17,25.209999,67400,25.034224
2017-01-25,25.23,25.26,25.190001,25.200001,68600,25.024295
2017-01-24,25.360001,25.370001,25.299999,25.32,120100,25.143458
2017-01-23,25.370001,25.450001,25.360001,25.43,91500,25.252691
2017-01-20,25.360001,25.360001,25.32,25.33,54000,25.153388
2017-01-19,25.370001,25.370001,25.32,25.33,40700,25.153388
2017-01-18,25.40,25.459999,25.370001,25.389999,82000,25.212969
2017-01-17,25.48,25.48,25.41,25.450001,37800,25.272552
2017-01-16,25.40,25.43,25.40,25.41,39800,25.23283
2017-01-13,25.459999,25.459999,25.370001,25.40,172100,25.2229
2017-01-12,25.540001,25.559999,25.50,25.51,59100,25.332133
2017-01-11,25.50,25.51,25.469999,25.50,76800,25.322203
2017-01-10,25.48,25.50,25.459999,25.469999,87700,25.292411
2017-01-09,25.51,25.51,25.440001,25.469999,106600,25.292411
2017-01-06,25.440001,25.450001,25.389999,25.389999,131900,25.212969
2017-01-05,25.48,25.51,25.43,25.459999,78900,25.282481
2017-01-04,25.459999,25.459999,25.370001,25.440001,138200,25.262622
2017-01-03,25.35,25.469999,25.34,25.459999,87000,25.282481
2016-12-30,25.35,25.41,25.35,25.41,32700,25.23283
2016-12-29,25.35,25.35,25.33,25.34,27300,25.163319
2016-12-28,25.26,25.32,25.25,25.290001,72100,25.113668
2016-12-23,25.280001,25.309999,25.25,25.299999,109100,25.073944
2016-12-22,25.23,25.26,25.200001,25.200001,98200,24.974839
2016-12-21,25.26,25.280001,25.23,25.26,81400,25.034303
2016-12-20,25.25,25.26,25.219999,25.26,60500,25.034303
2016-12-19,25.23,25.27,25.209999,25.27,66000,25.044214
2016-12-16,25.219999,25.219999,25.16,25.190001,34100,24.964929
2016-12-15,25.219999,25.219999,25.15,25.17,372300,24.945107
2016-12-14,25.33,25.370001,25.23,25.23,75400,25.00457
2016-12-13,25.32,25.32,25.200001,25.25,185700,25.024392
2016-12-12,25.24,25.27,25.219999,25.24,59700,25.014481
2016-12-09,25.389999,25.389999,25.25,25.299999,80600,25.073944
2016-12-08,25.469999,25.469999,25.41,25.41,71700,25.182962
2016-12-07,25.48,25.530001,25.48,25.530001,58500,25.301891
2016-12-06,25.48,25.50,25.440001,25.48,50900,25.252336
2016-12-05,25.440001,25.51,25.41,25.50,88600,25.272158
2016-12-02,25.440001,25.52,25.440001,25.50,86100,25.272158
2016-12-01,25.440001,25.440001,25.32,25.389999,168100,25.16314
2016-11-30,25.58,25.60,25.559999,25.58,42700,25.351443
2016-11-29,25.620001,25.67,25.610001,25.67,92700,25.440639
2016-11-28,25.639999,25.66,25.620001,25.66,53900,25.430728
2016-11-25,25.65,25.65,25.629999,25.65,83500,25.363335
2016-11-24,25.629999,25.629999,25.59,25.610001,52700,25.323783
2016-11-23,25.559999,25.639999,25.559999,25.60,93100,25.313895
2016-11-22,25.67,25.700001,25.629999,25.65,98600,25.363335
2016-11-21,25.629999,25.629999,25.60,25.629999,166100,25.343559
2016-11-18,25.67,25.67,25.60,25.610001,37200,25.323783
2016-11-17,25.690001,25.690001,25.639999,25.639999,33600,25.353447
2016-11-16,25.66,25.690001,25.65,25.690001,41700,25.402889
2016-11-15,25.60,25.65,25.57,25.57,73200,25.28423
2016-11-14,25.629999,25.629999,25.549999,25.559999,138100,25.274341
2016-11-11,25.879999,25.93,25.799999,25.93,31700,25.640207
2016-11-10,25.85,25.870001,25.75,25.799999,100900,25.511659
2016-11-09,26.040001,26.040001,25.90,25.90,107700,25.610541
2016-11-08,26.190001,26.190001,26.07,26.110001,78300,25.818196
2016-11-07,26.209999,26.209999,26.15,26.18,73000,25.887413
2016-11-04,26.25,26.290001,26.25,26.27,37300,25.976407
2016-11-03,26.209999,26.219999,26.200001,26.209999,35900,25.917076
2016-11-02,26.23,26.25,26.190001,26.190001,23600,25.897301
2016-11-01,26.18,26.209999,26.120001,26.200001,39000,25.90719
2016-10-31,26.190001,26.209999,26.17,26.209999,41600,25.917076
2016-10-28,26.139999,26.16,26.10,26.129999,61100,25.837971
2016-10-27,26.18,26.18,26.10,26.139999,58800,25.847859
2016-10-26,26.360001,26.360001,26.32,26.360001,100100,25.977397
2016-10-25,26.370001,26.42,26.34,26.379999,40200,25.997105
2016-10-24,26.42,26.42,26.35,26.360001,76400,25.977397
2016-10-21,26.379999,26.40,26.360001,26.379999,48000,25.997105
2016-10-20,26.280001,26.299999,26.27,26.280001,23200,25.898558
2016-10-19,26.23,26.26,26.209999,26.25,43000,25.868993
2016-10-18,26.209999,26.25,26.190001,26.23,59700,25.849282
2016-10-17,26.209999,26.23,26.200001,26.209999,56900,25.829572
2016-10-14,26.219999,26.25,26.139999,26.17,81700,25.790154
2016-10-13,26.27,26.290001,26.24,26.24,65600,25.859138
2016-10-12,26.219999,26.23,26.190001,26.23,67300,25.849282
2016-10-11,26.23,26.27,26.23,26.25,149900,25.868993
2016-10-07,26.309999,26.32,26.26,26.32,43000,25.937976
2016-10-06,26.33,26.35,26.309999,26.32,37200,25.937976
2016-10-05,26.450001,26.459999,26.370001,26.389999,52300,26.00696
2016-10-04,26.540001,26.540001,26.459999,26.459999,69000,26.075944
2016-10-03,26.60,26.610001,26.549999,26.57,38000,26.184348
2016-09-30,26.65,26.66,26.559999,26.57,56800,26.184348
2016-09-29,26.60,26.66,26.60,26.65,61200,26.263186
2016-09-28,26.639999,26.66,26.60,26.610001,54600,26.223768
2016-09-27,26.639999,26.65,26.559999,26.629999,98400,26.243476
2016-09-26,26.559999,26.620001,26.549999,26.60,77200,26.213913
2016-09-23,26.469999,26.530001,26.469999,26.530001,49100,26.144929
2016-09-22,26.379999,26.42,26.360001,26.40,34200,26.016815
2016-09-21,26.290001,26.34,26.280001,26.34,51400,25.957686
2016-09-20,26.299999,26.32,26.290001,26.309999,40100,25.928121
2016-09-19,26.23,26.25,26.219999,26.23,52700,25.849282
2016-09-16,26.23,26.23,26.18,26.190001,34400,25.809864
2016-09-15,26.16,26.200001,26.139999,26.200001,449700,25.819719
2016-09-14,26.17,26.219999,26.16,26.200001,38900,25.819719
2016-09-13,26.27,26.27,26.09,26.139999,47400,25.760589
2016-09-12,26.299999,26.33,26.290001,26.32,44900,25.910383
2016-09-09,26.40,26.41,26.32,26.32,70000,25.910383
2016-09-08,26.559999,26.57,26.41,26.440001,85200,26.028516
2016-09-07,26.60,26.620001,26.57,26.610001,35700,26.19587
2016-09-06,26.530001,26.559999,26.51,26.549999,68200,26.136803
