Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,31.299999,31.32,31.18,31.24,27400,31.24
2017-03-23,31.030001,31.27,31.00,31.190001,41700,31.190001
2017-03-22,30.85,31.059999,30.809999,31.030001,56600,31.030001
2017-03-21,31.459999,31.559999,31.10,31.120001,55700,30.950001
2017-03-20,31.48,31.52,31.309999,31.40,62400,31.228471
2017-03-17,31.639999,31.76,31.50,31.50,69300,31.327925
2017-03-16,31.67,31.73,31.65,31.66,47000,31.487051
2017-03-15,31.41,31.57,31.360001,31.559999,47200,31.387596
2017-03-14,31.48,31.49,31.25,31.290001,61200,31.119073
2017-03-13,31.559999,31.65,31.540001,31.58,53000,31.407488
2017-03-10,31.620001,31.639999,31.35,31.51,42500,31.33787
2017-03-09,31.559999,31.68,31.370001,31.51,40800,31.33787
2017-03-08,31.75,31.82,31.51,31.52,43400,31.347816
2017-03-07,31.76,31.780001,31.67,31.73,60900,31.556668
2017-03-06,31.66,31.77,31.51,31.77,70500,31.59645
2017-03-03,31.57,31.75,31.549999,31.73,69300,31.556668
2017-03-02,31.67,31.719999,31.57,31.57,63600,31.397542
2017-03-01,31.57,31.74,31.48,31.68,65600,31.506942
2017-02-28,31.379999,31.52,31.290001,31.290001,63700,31.119073
2017-02-27,31.73,31.73,31.40,31.530001,88900,31.357762
2017-02-24,31.93,31.940001,31.48,31.52,105700,31.347816
2017-02-23,32.290001,32.290001,32.00,32.009998,43200,31.835137
2017-02-22,32.259998,32.27,32.130001,32.130001,67200,31.954484
2017-02-21,32.240002,32.360001,32.220001,32.279999,82200,32.103663
2017-02-17,32.119999,32.150002,32.049999,32.130001,37900,31.954484
2017-02-16,32.18,32.189999,32.099998,32.169998,43100,31.994263
2017-02-15,32.060001,32.169998,32.049999,32.130001,55100,31.954484
2017-02-14,32.049999,32.060001,31.90,32.029999,56900,31.855028
2017-02-13,31.959999,31.99,31.93,31.959999,84400,31.785411
2017-02-10,31.76,31.90,31.76,31.889999,70900,31.715794
2017-02-09,31.610001,31.690001,31.60,31.68,31400,31.506942
2017-02-08,31.42,31.51,31.25,31.50,51500,31.327925
2017-02-07,31.360001,31.450001,31.35,31.42,98500,31.248362
2017-02-06,31.42,31.42,31.280001,31.34,74200,31.168799
2017-02-03,31.32,31.440001,31.23,31.379999,61700,31.208579
2017-02-02,31.27,31.299999,31.18,31.209999,63700,31.039508
2017-02-01,31.290001,31.309999,31.10,31.219999,83100,31.049454
2017-01-31,31.25,31.26,31.049999,31.200001,95100,31.029564
2017-01-30,31.559999,31.559999,31.16,31.25,105600,31.07929
2017-01-27,31.67,31.709999,31.52,31.559999,45600,31.387596
2017-01-26,31.700001,31.719999,31.620001,31.65,60300,31.477105
2017-01-25,31.700001,31.77,31.690001,31.709999,61800,31.536777
2017-01-24,31.42,31.66,31.370001,31.66,53600,31.487051
2017-01-23,31.48,31.48,31.219999,31.360001,58600,31.18869
2017-01-20,31.32,31.549999,31.32,31.50,47800,31.327925
2017-01-19,31.219999,31.299999,31.200001,31.209999,53400,31.039508
2017-01-18,31.24,31.280001,31.139999,31.18,48000,31.009673
2017-01-17,31.42,31.42,31.26,31.26,51700,31.089236
2017-01-16,31.469999,31.469999,31.280001,31.33,42800,31.158853
2017-01-13,31.25,31.42,31.24,31.379999,54500,31.208579
2017-01-12,31.450001,31.450001,31.16,31.25,58800,31.07929
2017-01-11,31.33,31.379999,31.200001,31.379999,47600,31.208579
2017-01-10,31.27,31.309999,31.24,31.26,65600,31.089236
2017-01-09,31.40,31.40,31.16,31.18,121500,31.009673
2017-01-06,31.549999,31.549999,31.360001,31.40,91100,31.228471
2017-01-05,31.50,31.629999,31.48,31.559999,66300,31.387596
2017-01-04,31.27,31.42,31.23,31.41,90300,31.238416
2017-01-03,31.219999,31.280001,31.059999,31.15,141800,30.979836
2016-12-30,31.219999,31.219999,30.950001,30.950001,22900,30.78093
2016-12-29,31.09,31.24,31.09,31.18,39700,31.009673
2016-12-28,31.129999,31.190001,31.049999,31.09,60000,30.920165
2016-12-23,31.24,31.25,31.190001,31.190001,32500,30.841596
2016-12-22,31.17,31.219999,31.15,31.200001,36100,30.851485
2016-12-21,31.16,31.17,31.120001,31.139999,60300,30.792154
2016-12-20,31.120001,31.18,31.10,31.120001,55900,30.772378
2016-12-19,31.059999,31.120001,31.030001,31.059999,71000,30.713047
2016-12-16,31.129999,31.129999,31.00,31.030001,55400,30.683384
2016-12-15,30.84,31.049999,30.84,30.959999,30200,30.614164
2016-12-14,31.25,31.25,30.959999,31.00,23700,30.653718
2016-12-13,31.110001,31.33,31.110001,31.290001,38000,30.940479
2016-12-12,31.219999,31.23,31.049999,31.049999,44000,30.703159
2016-12-09,31.129999,31.190001,31.09,31.110001,14300,30.76249
2016-12-08,31.00,31.10,30.99,31.07,23800,30.722936
2016-12-07,30.77,30.969999,30.75,30.950001,11700,30.604277
2016-12-06,30.66,30.74,30.65,30.719999,24400,30.376845
2016-12-05,30.620001,30.75,30.620001,30.65,49700,30.307627
2016-12-02,30.530001,30.65,30.52,30.59,14100,30.248298
2016-12-01,30.799999,30.799999,30.50,30.530001,19800,30.188969
2016-11-30,30.690001,30.700001,30.639999,30.65,39200,30.307627
2016-11-29,30.33,30.43,30.299999,30.41,16900,30.070308
2016-11-28,30.610001,30.610001,30.440001,30.440001,37200,30.099974
2016-11-25,30.59,30.66,30.549999,30.629999,19000,30.28785
2016-11-24,30.58,30.65,30.58,30.60,33100,30.258187
2016-11-23,30.49,30.639999,30.49,30.60,32000,30.258187
