Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,79.660004,79.690002,79.620003,79.669998,1015700,79.669998
2017-03-23,79.669998,79.699997,79.589996,79.650002,945600,79.650002
2017-03-22,79.690002,79.690002,79.629997,79.669998,1193700,79.669998
2017-03-21,79.510002,79.629997,79.510002,79.589996,1322100,79.589996
2017-03-20,79.480003,79.519997,79.470001,79.50,1193800,79.50
2017-03-17,79.459999,79.480003,79.410004,79.459999,1012000,79.459999
2017-03-16,79.50,79.510002,79.349998,79.379997,3347700,79.379997
2017-03-15,79.25,79.519997,79.25,79.519997,963900,79.519997
2017-03-14,79.230003,79.279999,79.230003,79.260002,944700,79.260002
2017-03-13,79.279999,79.290001,79.230003,79.230003,964300,79.230003
2017-03-10,79.300003,79.309998,79.25,79.290001,944100,79.290001
2017-03-09,79.300003,79.32,79.239998,79.25,1594400,79.25
2017-03-08,79.339996,79.370003,79.309998,79.349998,1102000,79.349998
2017-03-07,79.489998,79.50,79.410004,79.43,1439100,79.43
2017-03-06,79.519997,79.529999,79.480003,79.489998,1277100,79.489998
2017-03-03,79.489998,79.550003,79.43,79.529999,1554700,79.529999
2017-03-02,79.540001,79.540001,79.470001,79.480003,1156800,79.480003
2017-03-01,79.559998,79.610001,79.529999,79.610001,1923100,79.610001
2017-02-28,79.879997,79.889999,79.779999,79.779999,1371700,79.639999
2017-02-27,79.940002,79.940002,79.82,79.830002,1557100,79.689915
2017-02-24,79.900002,79.959999,79.870003,79.93,1387500,79.789738
2017-02-23,79.809998,79.849998,79.769997,79.849998,1607700,79.709876
2017-02-22,79.760002,79.760002,79.650002,79.739998,2180500,79.600068
2017-02-21,79.690002,79.709999,79.660004,79.699997,1866200,79.560138
2017-02-17,79.690002,79.709999,79.610001,79.699997,1242500,79.560138
2017-02-16,79.529999,79.669998,79.519997,79.669998,3948100,79.530192
2017-02-15,79.510002,79.529999,79.449997,79.50,2247700,79.360492
2017-02-14,79.639999,79.639999,79.480003,79.559998,1331200,79.420384
2017-02-13,79.620003,79.629997,79.589996,79.620003,1002700,79.480284
2017-02-10,79.620003,79.669998,79.610001,79.629997,1099300,79.490261
2017-02-09,79.739998,79.739998,79.650002,79.650002,1568500,79.51023
2017-02-08,79.730003,79.75,79.669998,79.709999,1993300,79.570122
2017-02-07,79.669998,79.709999,79.620003,79.639999,1092200,79.500245
2017-02-06,79.629997,79.68,79.580002,79.650002,2631500,79.51023
2017-02-03,79.559998,79.610001,79.489998,79.540001,1851300,79.400423
2017-02-02,79.57,79.57,79.470001,79.480003,1548600,79.34053
