Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,26.92,27.030001,26.92,27.00,10400,27.00
2017-03-23,26.67,26.91,26.67,26.860001,2700,26.860001
2017-03-22,26.82,26.82,26.709999,26.719999,3500,26.719999
2017-03-21,27.110001,27.110001,26.85,26.90,6900,26.821999
2017-03-20,27.00,27.059999,26.92,26.99,7900,26.911738
2017-03-17,26.959999,27.049999,26.959999,27.00,3000,26.92171
2017-03-16,26.75,26.969999,26.74,26.959999,9600,26.881825
2017-03-15,26.620001,26.68,26.58,26.67,3200,26.592666
2017-03-14,26.66,26.67,26.58,26.60,8000,26.52287
2017-03-13,26.65,26.799999,26.65,26.74,10600,26.662463
2017-03-10,26.639999,26.67,26.60,26.67,7500,26.592666
2017-03-09,26.450001,26.549999,26.43,26.549999,14000,26.473014
2017-03-08,26.33,26.40,26.33,26.40,2500,26.323449
2017-03-07,26.27,26.290001,26.25,26.25,4600,26.173884
2017-03-06,26.42,26.42,26.35,26.389999,5900,26.313478
2017-03-03,26.389999,26.40,26.389999,26.40,800,26.323449
2017-03-02,26.280001,26.34,26.27,26.290001,3800,26.213769
2017-03-01,26.139999,26.34,26.110001,26.23,19100,26.153942
2017-02-28,25.75,25.940001,25.75,25.84,4300,25.765073
2017-02-27,25.40,25.620001,25.40,25.620001,25000,25.545712
2017-02-24,25.469999,25.49,25.450001,25.48,6200,25.406117
2017-02-23,25.780001,25.780001,25.719999,25.77,86000,25.695277
2017-02-22,25.719999,25.790001,25.639999,25.75,2900,25.675334
2017-02-21,25.610001,25.75,25.610001,25.75,8900,25.675334
2017-02-17,25.530001,25.639999,25.49,25.629999,18600,25.555681
2017-02-16,25.549999,25.639999,25.549999,25.620001,9300,25.545712
2017-02-15,25.389999,25.59,25.389999,25.59,4900,25.515798
2017-02-14,25.33,25.459999,25.33,25.40,5800,25.326349
2017-02-13,25.540001,25.540001,25.450001,25.49,10400,25.416088
2017-02-10,25.33,25.40,25.290001,25.370001,7200,25.296437
2017-02-09,25.450001,25.49,25.370001,25.43,16700,25.356262
2017-02-08,25.32,25.370001,25.280001,25.370001,2100,25.296437
2017-02-07,25.35,25.35,25.33,25.33,10400,25.256552
2017-02-06,25.290001,25.299999,25.209999,25.27,15000,25.196726
2017-02-03,25.32,25.33,25.285,25.309999,8600,25.236609
2017-02-02,25.219999,25.34,25.209999,25.209999,3300,25.136899
2017-02-01,25.41,25.41,25.32,25.32,9600,25.246581
2017-01-31,25.200001,25.209999,25.15,25.16,40500,25.087045
2017-01-30,25.219999,25.24,25.18,25.24,9800,25.166813
2017-01-27,25.57,25.57,25.469999,25.469999,2600,25.396145
2017-01-26,25.530001,25.540001,25.50,25.50,2000,25.426059
2017-01-25,25.559999,25.60,25.50,25.530001,9900,25.455973
2017-01-24,25.60,25.60,25.40,25.40,10800,25.326349
2017-01-23,25.690001,25.690001,25.540001,25.540001,90700,25.465944
2017-01-20,25.66,25.66,25.610001,25.610001,3700,25.535741
2017-01-19,25.459999,25.459999,25.459999,25.459999,1800,25.386174
2017-01-18,25.18,25.379999,25.18,25.379999,5400,25.306406
2017-01-17,25.01,25.15,25.01,25.15,13600,25.077074
2017-01-16,25.18,25.25,25.10,25.25,14700,25.176784
2017-01-13,25.27,25.299999,25.25,25.25,5900,25.176784
2017-01-12,25.15,25.15,25.15,25.15,500,25.077074
2017-01-11,25.09,25.24,25.09,25.200001,13000,25.12693
2017-01-10,25.25,25.25,25.18,25.18,11200,25.106987
2017-01-09,25.23,25.23,25.120001,25.16,3400,25.087045
2017-01-06,25.25,25.35,25.25,25.35,1600,25.276494
2017-01-05,25.43,25.43,25.299999,25.370001,7300,25.296437
2017-01-04,25.219999,25.32,25.219999,25.32,1100,25.246581
2017-01-03,25.43,25.43,25.26,25.32,4000,25.246581
2016-12-30,25.41,25.41,25.34,25.360001,4900,25.286466
2016-12-29,25.24,25.24,25.23,25.24,13800,25.166813
2016-12-28,25.35,25.35,25.18,25.18,1100,25.106987
2016-12-23,25.32,25.43,25.32,25.43,9000,25.239601
2016-12-22,25.209999,25.280001,25.190001,25.26,12200,25.070874
2016-12-21,25.08,25.09,25.049999,25.09,23200,24.902147
2016-12-20,24.90,24.969999,24.889999,24.959999,13300,24.773119
2016-12-19,25.00,25.030001,24.959999,24.99,3200,24.802895
2016-12-16,24.969999,24.969999,24.950001,24.950001,400,24.763196
2016-12-15,24.76,24.91,24.74,24.74,13500,24.554767
2016-12-14,24.68,24.74,24.68,24.700001,7400,24.515067
2016-12-13,24.65,24.85,24.65,24.84,6300,24.654019
2016-12-12,24.59,24.59,24.50,24.57,5800,24.38604
2016-12-09,24.559999,24.620001,24.559999,24.620001,16100,24.435667
2016-12-08,24.73,24.73,24.51,24.51,60700,24.326489
2016-12-07,24.700001,24.860001,24.620001,24.860001,5400,24.673869
2016-12-06,24.540001,24.549999,24.389999,24.52,10700,24.336415
2016-12-05,24.23,24.26,24.129999,24.26,3600,24.078361
2016-12-02,23.98,24.01,23.93,23.969999,13100,23.790532
