Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,28.860001,28.92,28.83,28.91,10000,28.91
2016-12-05,28.620001,28.719999,28.620001,28.709999,18200,28.709999
2016-12-02,28.620001,28.74,28.58,28.58,7900,28.58
2016-12-01,29.040001,29.040001,28.639999,28.690001,22300,28.690001
2016-11-30,29.290001,29.32,29.219999,29.26,10700,29.26
2016-11-29,29.129999,29.27,29.129999,29.200001,5600,29.200001
2016-11-28,29.17,29.23,29.110001,29.16,35300,29.16
2016-11-25,29.25,29.40,29.190001,29.33,13200,29.33
2016-11-24,28.99,29.10,28.99,29.02,6100,29.02
2016-11-23,28.98,29.030001,28.90,29.030001,16000,29.030001
2016-11-22,29.15,29.23,29.049999,29.23,8300,29.23
2016-11-21,28.799999,28.870001,28.74,28.790001,46800,28.790001
2016-11-18,28.90,28.92,28.73,28.75,43100,28.75
2016-11-17,28.73,28.91,28.700001,28.82,15100,28.82
2016-11-16,28.60,28.67,28.48,28.639999,32600,28.639999
2016-11-15,28.700001,28.950001,28.700001,28.90,22700,28.90
2016-11-14,28.629999,28.73,28.41,28.610001,23500,28.610001
2016-11-11,28.719999,28.799999,28.33,28.73,26100,28.73
2016-11-10,29.77,29.77,29.00,29.110001,32100,29.110001
2016-11-09,29.870001,30.15,29.73,29.76,63500,29.76
2016-11-08,30.280001,30.610001,30.200001,30.360001,20800,30.360001
2016-11-07,30.01,30.40,30.01,30.389999,19400,30.389999
2016-11-04,29.59,29.65,29.440001,29.469999,22600,29.469999
2016-11-03,29.879999,29.90,29.65,29.690001,10900,29.690001
2016-11-02,30.08,30.08,29.719999,29.82,25500,29.82
2016-11-01,30.459999,30.459999,29.91,30.18,21200,30.18
2016-10-31,30.360001,30.459999,30.309999,30.459999,9100,30.459999
2016-10-28,30.370001,30.379999,30.110001,30.120001,25300,30.120001
2016-10-27,30.50,30.50,30.32,30.32,7800,30.32
2016-10-26,30.49,30.549999,30.41,30.52,15900,30.52
2016-10-25,30.690001,30.719999,30.639999,30.709999,12900,30.709999
2016-10-24,30.77,30.790001,30.690001,30.790001,10900,30.790001
2016-10-21,30.379999,30.540001,30.33,30.51,8400,30.51
2016-10-20,30.110001,30.32,30.10,30.25,29900,30.25
2016-10-19,29.950001,30.15,29.75,30.09,22400,30.09
2016-10-18,29.799999,29.93,29.75,29.91,21700,29.91
2016-10-17,29.450001,29.52,29.389999,29.40,38000,29.40
2016-10-14,29.790001,29.790001,29.469999,29.52,22700,29.52
2016-10-13,29.48,29.620001,29.33,29.540001,29800,29.540001
2016-10-12,29.790001,29.889999,29.790001,29.879999,22300,29.879999
2016-10-11,29.93,29.93,29.77,29.90,27300,29.90
2016-10-07,30.290001,30.309999,30.139999,30.290001,11800,30.290001
2016-10-06,30.10,30.26,30.059999,30.219999,9200,30.219999
2016-10-05,30.02,30.17,30.02,30.17,8800,30.17
2016-10-04,30.049999,30.08,29.73,29.799999,30000,29.799999
2016-10-03,29.700001,29.879999,29.700001,29.879999,14000,29.879999
2016-09-30,29.530001,29.75,29.530001,29.700001,31000,29.700001
2016-09-29,29.719999,29.809999,29.530001,29.559999,38500,29.559999
2016-09-28,30.01,30.030001,29.85,29.950001,9800,29.950001
2016-09-27,29.799999,29.889999,29.76,29.870001,11400,29.870001
2016-09-26,29.610001,29.67,29.52,29.610001,24500,29.610001
2016-09-23,29.940001,30.00,29.879999,29.889999,28400,29.889999
2016-09-22,29.969999,30.049999,29.90,30.01,11400,30.01
2016-09-21,29.719999,30.00,29.610001,29.959999,34700,29.959999
2016-09-20,29.700001,29.700001,29.549999,29.549999,5600,29.549999
2016-09-19,29.530001,29.610001,29.459999,29.459999,18100,29.459999
2016-09-16,29.24,29.299999,29.08,29.25,9400,29.25
2016-09-15,29.139999,29.389999,29.09,29.33,30500,29.33
2016-09-14,28.98,29.10,28.93,28.93,29800,28.93
2016-09-13,29.01,29.01,28.67,28.83,28100,28.83
2016-09-12,29.209999,29.639999,29.15,29.610001,35400,29.313001
2016-09-09,29.84,29.84,29.370001,29.370001,21400,29.075408
2016-09-08,30.120001,30.120001,29.98,30.01,8300,29.708988
2016-09-07,29.98,30.07,29.889999,30.040001,28900,29.738688
2016-09-06,29.950001,29.959999,29.75,29.93,29100,29.629791
2016-09-02,29.77,29.77,29.67,29.75,13200,29.451596
2016-09-01,29.51,29.52,29.299999,29.50,7100,29.204104
2016-08-31,29.639999,29.639999,29.389999,29.43,19600,29.134806
2016-08-30,29.68,29.75,29.58,29.68,103000,29.382298
2016-08-29,29.41,29.58,29.41,29.559999,9100,29.263501
2016-08-26,29.360001,29.65,29.09,29.280001,67200,28.986311
2016-08-25,29.32,29.40,29.290001,29.360001,14600,29.065508
2016-08-24,29.26,29.389999,29.23,29.360001,4000,29.065508
2016-08-23,29.639999,29.639999,29.24,29.24,18500,28.946711
2016-08-22,29.530001,29.530001,29.41,29.48,26000,29.184304
2016-08-19,29.459999,29.639999,29.440001,29.639999,15200,29.342699
2016-08-18,29.629999,29.68,29.530001,29.610001,14000,29.313001
2016-08-17,29.58,29.60,29.33,29.59,25800,29.293201
