Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,41.139999,41.25,41.009998,41.09,41500,41.09
2017-03-23,41.119999,41.209999,41.049999,41.080002,11100,41.080002
2017-03-22,41.169998,41.169998,40.98,41.040001,22400,41.040001
2017-03-21,41.349998,41.349998,41.02,41.02,18700,41.02
2017-03-20,41.630001,41.630001,41.470001,41.470001,8700,41.470001
2017-03-17,41.419998,41.619999,41.400002,41.599998,9700,41.599998
2017-03-16,41.50,41.50,41.360001,41.459999,123300,41.459999
2017-03-15,41.799999,41.799999,41.50,41.50,9000,41.50
2017-03-14,41.75,41.75,41.639999,41.709999,8500,41.709999
2017-03-13,41.66,41.669998,41.57,41.669998,8400,41.669998
2017-03-10,41.66,41.700001,41.59,41.650002,28900,41.650002
2017-03-09,41.66,41.720001,41.619999,41.639999,7100,41.639999
2017-03-08,41.560001,41.75,41.560001,41.610001,4900,41.610001
2017-03-07,41.34,41.549999,41.34,41.43,54800,41.43
2017-03-06,41.50,41.549999,41.330002,41.529999,12600,41.529999
2017-03-03,41.630001,41.630001,41.459999,41.48,5300,41.48
2017-03-02,41.799999,41.799999,41.599998,41.630001,8500,41.630001
2017-03-01,41.34,41.709999,41.34,41.599998,43400,41.599998
2017-02-28,40.77,40.990002,40.77,40.990002,24600,40.990002
2017-02-27,40.509998,40.700001,40.43,40.700001,38300,40.700001
2017-02-24,40.279999,40.540001,40.279999,40.540001,20300,40.540001
2017-02-23,40.439999,40.48,40.330002,40.43,15000,40.43
2017-02-22,40.610001,40.610001,40.50,40.50,10000,40.50
2017-02-21,40.259998,40.470001,40.259998,40.450001,14300,40.450001
2017-02-17,39.959999,40.049999,39.84,40.049999,7500,40.049999
2017-02-16,39.73,39.849998,39.630001,39.849998,5900,39.849998
2017-02-15,39.59,39.810001,39.549999,39.740002,8500,39.740002
2017-02-14,39.290001,39.52,39.290001,39.52,20400,39.52
2017-02-13,39.439999,39.450001,39.389999,39.41,24600,39.41
2017-02-10,39.119999,39.32,39.110001,39.310001,43000,39.310001
2017-02-09,39.009998,39.290001,38.970001,39.279999,23800,39.279999
2017-02-08,39.009998,39.119999,39.00,39.110001,25500,39.110001
2017-02-07,39.060001,39.110001,39.02,39.049999,7600,39.049999
2017-02-06,38.759998,38.860001,38.709999,38.709999,12600,38.709999
2017-02-03,38.650002,38.650002,38.470001,38.610001,9200,38.610001
2017-02-02,38.099998,38.360001,38.099998,38.349998,8300,38.349998
2017-02-01,38.639999,38.639999,38.360001,38.360001,4200,38.360001
2017-01-31,38.509998,38.509998,38.25,38.439999,21500,38.439999
2017-01-30,38.889999,38.889999,38.57,38.75,4000,38.75
2017-01-27,39.029999,39.029999,38.889999,38.970001,3100,38.970001
2017-01-26,38.889999,38.900002,38.84,38.84,3200,38.84
2017-01-25,38.939999,38.950001,38.799999,38.82,4500,38.82
2017-01-24,38.830002,38.970001,38.700001,38.970001,11300,38.970001
2017-01-23,39.169998,39.18,38.91,38.990002,25700,38.990002
2017-01-20,39.209999,39.27,39.09,39.16,20400,39.16
2017-01-19,39.150002,39.259998,39.049999,39.099998,11000,39.099998
2017-01-18,38.540001,38.98,38.369999,38.98,12400,38.98
2017-01-17,38.330002,38.400002,38.25,38.349998,42300,38.349998
2017-01-16,38.779999,39.189999,38.779999,39.189999,7800,39.189999
2017-01-13,38.450001,38.52,38.450001,38.450001,4600,38.450001
2017-01-12,38.389999,38.419998,38.259998,38.419998,10800,38.419998
2017-01-11,38.790001,38.919998,38.50,38.619999,13600,38.619999
2017-01-10,38.59,38.73,38.57,38.689999,8900,38.689999
2017-01-09,38.849998,38.849998,38.68,38.689999,6600,38.689999
2017-01-06,38.759998,38.970001,38.599998,38.900002,4400,38.900002
2017-01-05,39.009998,39.009998,38.57,38.720001,3200,38.720001
2017-01-04,39.029999,39.049999,38.93,39.029999,5600,39.029999
2017-01-03,39.25,39.25,38.950001,39.110001,3400,39.110001
2016-12-30,39.299999,39.299999,38.950001,38.950001,8100,38.950001
2016-12-29,39.52,39.52,39.349998,39.349998,1400,39.349998
2016-12-28,39.880001,39.880001,39.470001,39.470001,3100,39.470001
2016-12-23,39.799999,39.799999,39.779999,39.799999,21600,39.613999
2016-12-22,39.68,39.700001,39.68,39.700001,3000,39.514468
2016-12-21,39.560001,39.630001,39.560001,39.59,2300,39.404982
2016-12-20,39.799999,39.799999,39.540001,39.560001,12000,39.375123
2016-12-19,39.560001,39.630001,39.560001,39.630001,9700,39.444796
2016-12-16,39.48,39.50,39.299999,39.299999,16800,39.116336
2016-12-15,39.41,39.50,39.310001,39.349998,5400,39.166102
2016-12-14,39.029999,39.150002,38.970001,39.110001,5200,38.927225
2016-12-13,38.970001,39.00,38.889999,38.98,3400,38.797832
2016-12-12,38.810001,38.84,38.73,38.790001,4800,38.608721
2016-12-09,38.869999,38.939999,38.860001,38.939999,1400,38.758018
2016-12-08,38.869999,38.889999,38.689999,38.689999,3800,38.509186
2016-12-07,38.50,38.900002,38.490002,38.889999,12700,38.708252
2016-12-06,38.450001,38.549999,38.43,38.549999,2400,38.369841
2016-12-05,38.450001,38.48,38.419998,38.439999,7400,38.260355
2016-12-02,38.32,38.349998,38.299999,38.299999,2100,38.121009
2016-12-01,38.700001,38.700001,38.299999,38.34,3000,38.160823
2016-11-30,39.049999,39.049999,38.77,38.77,8000,38.588814
2016-11-29,39.080002,39.110001,39.029999,39.029999,3400,38.847597
2016-11-28,38.98,38.98,38.880001,38.880001,8700,38.698301
2016-11-25,39.16,39.700001,39.16,39.66,14100,39.474654
2016-11-24,39.09,39.970001,38.93,39.970001,6400,39.783207
2016-11-23,38.98,38.98,38.93,38.959999,2300,38.777925
2016-11-22,38.599998,38.849998,38.599998,38.849998,3000,38.668438
2016-11-21,38.639999,38.75,38.59,38.700001,25600,38.519142
2016-11-18,38.799999,38.849998,38.759998,38.84,7100,38.658487
2016-11-17,38.509998,38.830002,38.439999,38.830002,2800,38.648535
2016-11-16,38.48,38.52,38.349998,38.470001,5900,38.290217
2016-11-15,38.669998,38.669998,38.360001,38.540001,4600,38.35989
2016-11-14,38.720001,38.740002,38.650002,38.650002,91900,38.469376
2016-11-11,38.34,38.599998,38.34,38.599998,6400,38.419607
2016-11-10,38.50,38.52,38.349998,38.470001,6600,38.290217
2016-11-09,37.619999,38.27,37.619999,38.119999,6200,37.94185
2016-11-08,37.610001,37.799999,37.599998,37.599998,5400,37.42428
2016-11-07,37.48,37.720001,37.48,37.630001,6700,37.454142
2016-11-04,37.299999,37.299999,37.18,37.18,2200,37.006245
2016-11-03,37.25,37.25,37.200001,37.200001,900,37.026152
2016-11-02,37.189999,37.389999,37.189999,37.389999,10300,37.215262
2016-11-01,37.610001,37.610001,37.110001,37.27,4300,37.095824
2016-10-31,37.439999,37.66,37.439999,37.639999,4700,37.464094
2016-10-28,37.400002,37.580002,37.400002,37.450001,13900,37.274983
2016-10-27,37.669998,37.669998,37.48,37.48,2800,37.304842
2016-10-26,37.529999,37.650002,37.41,37.650002,1200,37.474049
2016-10-25,37.529999,37.57,37.50,37.560001,2800,37.38447
2016-10-24,37.470001,37.779999,37.470001,37.779999,10400,37.603439
2016-10-21,37.279999,37.400002,37.279999,37.400002,1100,37.225218
2016-10-20,36.860001,37.00,36.849998,36.990002,1300,36.817134
2016-10-19,36.709999,36.790001,36.419998,36.77,3000,36.598161
2016-10-18,36.790001,36.830002,36.73,36.799999,8400,36.62802
2016-10-17,36.849998,36.849998,36.73,36.73,3900,36.558347
2016-10-14,37.07,37.07,36.900002,36.91,6900,36.737506
2016-10-13,37.02,37.040001,36.880001,37.040001,7500,36.8669
2016-10-12,37.200001,37.279999,37.200001,37.279999,4000,37.105776
2016-10-11,37.41,37.41,37.00,37.09,7000,36.916665
2016-10-07,37.490002,37.560001,37.490002,37.560001,1500,37.38447
2016-10-06,37.360001,37.509998,37.330002,37.509998,1700,37.334701
2016-10-05,37.50,37.50,37.360001,37.360001,2200,37.185404
2016-10-04,37.57,37.57,37.290001,37.369999,10600,37.195355
2016-10-03,37.52,37.52,37.349998,37.360001,1800,37.185404
2016-09-30,37.389999,37.619999,37.389999,37.619999,3900,37.444187
2016-09-29,37.450001,37.450001,37.299999,37.41,4700,37.235169
2016-09-28,37.830002,37.830002,37.48,37.48,2500,37.304842
2016-09-27,37.73,37.830002,37.73,37.759998,4300,37.583532
2016-09-26,37.57,37.610001,37.509998,37.610001,2900,37.434235
2016-09-23,37.630001,37.75,37.630001,37.73,3100,37.553674
2016-09-22,37.41,37.630001,37.41,37.630001,1800,37.454142
2016-09-21,37.450001,37.549999,37.360001,37.540001,19800,37.364563
2016-09-20,37.59,37.599998,37.400002,37.400002,4500,37.225218
2016-09-19,37.259998,37.369999,37.259998,37.369999,5100,37.195355
2016-09-16,37.25,37.34,37.189999,37.279999,2200,37.105776
2016-09-15,36.919998,37.240002,36.919998,37.240002,2800,37.065966
2016-09-14,37.209999,37.209999,36.990002,37.029999,3100,36.856944
2016-09-13,37.299999,37.299999,37.00,37.049999,3400,36.876851
2016-09-12,36.880001,37.310001,36.880001,37.310001,6500,37.003259
2016-09-09,37.540001,37.540001,36.849998,36.849998,5100,36.547038
2016-09-08,37.599998,37.599998,37.400002,37.43,800,37.122272
2016-09-07,37.50,37.529999,37.450001,37.529999,2000,37.221448
2016-09-06,37.799999,37.799999,37.400002,37.41,12300,37.102435
2016-09-05,37.959999,37.959999,37.959999,37.959999,000,37.647913
2016-09-02,37.959999,38.009998,37.82,37.91,3800,37.598325
2016-09-01,37.91,37.990002,37.869999,37.959999,3900,37.647913
2016-08-31,38.150002,38.150002,37.950001,38.07,1800,37.757009
2016-08-30,38.18,38.18,38.00,38.080002,5800,37.766929
2016-08-29,37.790001,38.00,37.790001,37.970001,8300,37.657833
2016-08-26,37.610001,37.759998,37.50,37.669998,12000,37.360296
2016-08-25,37.689999,37.689999,37.619999,37.639999,3000,37.330544
2016-08-24,37.810001,37.810001,37.689999,37.689999,3000,37.380132
2016-08-23,37.880001,37.880001,37.799999,37.799999,900,37.489229
2016-08-22,37.75,37.84,37.68,37.84,1400,37.528901
2016-08-19,37.599998,37.599998,37.470001,37.59,1700,37.280956
2016-08-18,37.310001,37.310001,37.220001,37.259998,5500,36.953667
2016-08-17,37.43,37.48,37.360001,37.439999,3100,37.132188
2016-08-16,37.799999,37.799999,37.490002,37.490002,5000,37.18178
2016-08-15,37.900002,37.939999,37.900002,37.939999,500,37.628077
2016-08-12,37.98,37.98,37.900002,37.970001,900,37.657833
2016-08-11,38.189999,38.189999,38.07,38.07,1300,37.757009
2016-08-10,38.040001,38.09,38.00,38.07,2800,37.757009
2016-08-09,38.310001,38.34,38.290001,38.32,6600,38.004954
2016-08-08,38.48,38.48,38.349998,38.41,5200,38.094214
2016-08-05,38.150002,38.48,38.150002,38.41,2300,38.094214
2016-08-04,37.830002,37.830002,37.669998,37.669998,4100,37.360296
2016-08-03,37.790001,37.900002,37.77,37.779999,4500,37.469393
2016-08-02,37.990002,37.990002,37.900002,37.900002,800,37.588409
2016-07-29,37.900002,37.93,37.900002,37.919998,3100,37.608241
2016-07-28,38.209999,38.209999,38.150002,38.18,1300,37.866105
2016-07-27,38.299999,38.299999,38.130001,38.169998,4200,37.856186
2016-07-26,38.57,38.57,38.400002,38.459999,1600,38.143802
2016-07-25,38.459999,38.459999,38.380001,38.380001,2800,38.064462
2016-07-22,38.07,38.349998,38.07,38.330002,2300,38.014874
2016-07-21,38.060001,38.060001,37.93,38.00,3300,37.687585
2016-07-20,38.259998,38.259998,38.150002,38.150002,2000,37.836353
2016-07-19,37.939999,37.939999,37.939999,37.939999,800,37.628077
2016-07-18,37.689999,37.880001,37.650002,37.650002,5300,37.340464
2016-07-15,37.740002,37.740002,37.66,37.66,4800,37.35038
2016-07-14,37.75,37.849998,37.529999,37.580002,3300,37.27104
2016-07-13,37.869999,37.869999,37.59,37.709999,17800,37.399968
2016-07-12,37.82,37.82,37.700001,37.77,5000,37.459476
2016-07-11,37.73,38.00,37.73,37.93,3600,37.618161
2016-07-08,37.060001,37.57,37.060001,37.540001,4600,37.231368
2016-07-07,36.720001,36.970001,36.720001,36.93,11200,36.626382
2016-07-06,36.73,36.849998,36.73,36.82,6400,36.517286
2016-07-05,36.759998,36.810001,36.75,36.810001,1500,36.50737
2016-07-04,36.610001,36.98,36.34,36.98,8200,36.67597
2016-06-30,36.299999,36.77,36.25,36.639999,2500,36.338766
2016-06-29,35.919998,36.220001,35.919998,36.220001,7800,35.92222
2016-06-28,35.790001,35.790001,35.639999,35.779999,3900,35.485835
2016-06-27,35.400002,35.50,35.279999,35.369999,3900,35.079206
2016-06-24,35.389999,36.02,35.389999,35.880001,17600,35.585016
2016-06-23,35.830002,36.09,35.830002,36.09,12300,35.793288
2016-06-22,35.880001,36.040001,35.880001,35.939999,2300,35.64452
2016-06-21,35.889999,35.959999,35.889999,35.959999,3100,35.664356
2016-06-20,36.150002,36.189999,36.09,36.139999,2900,35.704029
2016-06-17,35.849998,36.009998,35.84,35.990002,2300,35.55584
2016-06-16,36.220001,36.389999,36.220001,36.389999,1400,35.951013
2016-06-15,36.040001,36.27,36.040001,36.220001,3600,35.783065
2016-06-14,35.91,35.91,35.91,35.91,000,35.476804
2016-06-13,36.09,36.09,35.889999,35.91,3300,35.476804
2016-06-10,35.830002,35.939999,35.75,35.939999,2600,35.506441
2016-06-09,36.00,36.00,36.00,36.00,1500,35.565718
2016-06-08,35.77,35.810001,35.740002,35.779999,2900,35.348371
2016-06-07,35.950001,36.099998,35.919998,35.919998,7500,35.486681
2016-06-06,36.209999,36.240002,36.00,36.029999,22700,35.595355
2016-06-03,36.23,36.25,36.049999,36.209999,8100,35.773184
2016-06-02,36.50,36.700001,36.50,36.700001,2800,36.257275
2016-06-01,36.41,36.529999,36.400002,36.509998,3800,36.069564
2016-05-31,36.689999,36.689999,36.400002,36.529999,12200,36.089323
2016-05-30,36.50,36.790001,36.389999,36.549999,9200,36.109083
2016-05-27,36.279999,36.41,36.279999,36.41,9700,35.970772
2016-05-26,36.110001,36.200001,36.060001,36.150002,6000,35.71391
2016-05-25,36.549999,36.549999,36.299999,36.369999,4300,35.931254
2016-05-24,36.110001,36.540001,36.110001,36.540001,4100,36.099205
2016-05-23,35.880001,35.880001,35.880001,35.880001,000,35.447167
2016-05-20,35.990002,36.200001,35.990002,36.080002,2100,35.644755
2016-05-19,35.939999,35.950001,35.75,35.880001,5200,35.447167
2016-05-18,35.610001,35.68,35.509998,35.68,4100,35.249579
2016-05-17,36.139999,36.139999,35.700001,35.700001,1200,35.269338
2016-05-16,35.73,36.049999,35.700001,36.049999,7400,35.615114
2016-05-13,36.00,36.130001,36.00,36.130001,800,35.694151
2016-05-12,35.700001,35.880001,35.700001,35.880001,2200,35.447167
2016-05-11,36.209999,36.209999,35.75,35.75,8400,35.318734
2016-05-10,36.150002,36.279999,36.150002,36.220001,3600,35.783065
2016-05-09,36.07,36.099998,36.07,36.080002,2100,35.644755
2016-05-06,35.580002,35.720001,35.529999,35.720001,900,35.289097
2016-05-05,35.529999,35.580002,35.50,35.52,10000,35.091509
2016-05-04,35.41,35.619999,35.41,35.560001,5300,35.131027
2016-05-03,35.049999,35.23,35.049999,35.189999,3600,34.765488
2016-05-02,34.540001,34.93,34.540001,34.93,9400,34.508626
2016-04-29,34.610001,34.610001,34.50,34.52,5100,34.103572
2016-04-28,35.189999,35.189999,34.75,34.759998,5200,34.340675
2016-04-27,35.029999,35.400002,35.029999,35.369999,6800,34.943317
2016-04-26,35.150002,35.220001,35.150002,35.185001,2100,34.760551
2016-04-25,35.130001,35.18,35.119999,35.18,5200,34.75561
2016-04-22,35.119999,35.259998,35.049999,35.220001,4300,34.795129
2016-04-21,35.459999,35.470001,35.349998,35.349998,1200,34.923558
2016-04-20,35.73,35.73,35.43,35.549999,4600,35.121146
2016-04-19,35.540001,35.619999,35.540001,35.619999,800,35.190301
2016-04-18,35.810001,36.00,35.799999,35.880001,2900,35.447167
2016-04-15,35.759998,35.849998,35.759998,35.810001,1600,35.378012
2016-04-14,35.610001,35.799999,35.610001,35.759998,8400,35.328612
2016-04-13,35.580002,35.599998,35.43,35.599998,2000,35.170542
2016-04-12,35.52,35.52,35.279999,35.330002,1700,34.903802
2016-04-11,35.880001,35.880001,35.470001,35.470001,6600,35.042113
2016-04-08,35.98,36.009998,35.810001,35.810001,4100,35.378012
2016-04-07,36.349998,36.349998,36.110001,36.110001,2800,35.674392
2016-04-06,36.25,36.34,36.18,36.34,16900,35.901617
2016-04-05,36.509998,36.509998,36.25,36.25,10100,35.812702
2016-04-04,36.419998,36.419998,36.209999,36.209999,4500,35.773184
2016-04-01,36.25,36.32,36.080002,36.32,7900,35.881858
2016-03-31,35.889999,36.049999,35.700001,35.950001,3300,35.516322
2016-03-30,36.18,36.18,35.93,36.02,5100,35.585477
2016-03-29,36.049999,36.16,35.970001,36.110001,18400,35.674392
2016-03-28,36.18,36.18,36.09,36.130001,3500,35.694151
2016-03-24,36.209999,36.209999,36.150002,36.150002,4000,35.71391
2016-03-23,36.07,36.200001,35.98,36.150002,20400,35.71391
2016-03-22,35.939999,35.939999,35.779999,35.779999,4500,35.348371
2016-03-21,35.919998,35.970001,35.849998,35.950001,10000,35.516322
2016-03-18,35.860001,36.040001,35.810001,36.040001,26600,35.605237
2016-03-17,35.52,35.900002,35.52,35.900002,34500,35.466926
2016-03-16,36.23,36.25,35.900002,35.900002,5500,35.466926
2016-03-15,36.150002,36.32,36.150002,36.23,24300,35.792943
2016-03-14,36.07,36.119999,36.07,36.099998,7400,35.66451
2016-03-11,35.93,35.950001,35.73,35.950001,12400,35.516322
2016-03-10,35.880001,35.939999,35.650002,35.849998,26600,35.417526
2016-03-09,36.119999,36.119999,35.57,35.650002,10600,35.219942
2016-03-08,35.700001,36.060001,35.700001,36.060001,1500,35.624996
2016-03-07,35.810001,35.810001,35.650002,35.700001,19700,35.269338
2016-03-04,35.900002,35.919998,35.799999,35.810001,2700,35.378012
2016-03-03,35.82,35.869999,35.59,35.869999,4800,35.437285
2016-03-02,35.98,35.98,35.77,35.810001,1900,35.378012
2016-03-01,35.529999,35.669998,35.509998,35.509998,4700,35.081628
2016-02-29,35.73,35.849998,35.509998,35.73,3900,35.298975
2016-02-26,36.07,36.07,35.68,35.73,9900,35.298975
2016-02-25,35.889999,35.889999,35.889999,35.889999,000,35.457045
2016-02-24,35.919998,35.919998,35.73,35.889999,6300,35.457045
2016-02-23,36.16,36.189999,36.060001,36.060001,5600,35.624996
2016-02-22,35.93,36.119999,35.93,36.110001,10300,35.674392
2016-02-19,35.880001,35.880001,35.779999,35.779999,3200,35.348371
2016-02-18,35.57,35.799999,35.57,35.799999,6800,35.36813
2016-02-17,35.799999,35.799999,35.66,35.700001,9700,35.269338
2016-02-16,35.52,35.669998,35.400002,35.049999,6400,34.627178
2016-02-15,34.779999,34.779999,34.779999,34.779999,000,34.360434
2016-02-12,35.09,35.09,34.869999,35.049999,3200,34.627178
2016-02-11,34.860001,34.860001,34.599998,34.779999,8700,34.360434
2016-02-10,35.439999,35.57,35.189999,35.189999,21900,34.765488
2016-02-09,34.82,35.130001,34.720001,35.130001,6800,34.706214
2016-02-08,35.16,35.16,34.830002,34.950001,3300,34.528385
2016-02-05,35.369999,35.380001,35.209999,35.209999,2800,34.785247
2016-02-04,34.889999,35.349998,34.889999,35.220001,2600,34.795129
2016-02-03,35.639999,35.639999,35.00,35.32,4500,34.893921
2016-02-02,36.169998,36.169998,35.759998,35.799999,3800,35.36813
2016-02-01,35.959999,36.16,35.959999,36.099998,7700,35.66451
2016-01-29,35.860001,36.23,35.860001,36.150002,3800,35.71391
2016-01-28,35.279999,35.459999,35.279999,35.459999,8800,35.032231
2016-01-27,35.57,35.75,35.400002,35.400002,18100,34.972958
2016-01-26,35.279999,35.509998,35.279999,35.470001,8300,35.042113
2016-01-25,35.639999,35.639999,35.50,35.599998,2100,35.170542
2016-01-22,35.549999,35.549999,35.470001,35.529999,2800,35.101387
2016-01-21,35.52,35.580002,35.290001,35.330002,9000,34.903802
2016-01-20,35.939999,35.939999,35.189999,35.77,29100,35.338493
2016-01-19,36.34,36.34,35.959999,36.169998,11900,35.733666
2016-01-18,35.919998,36.18,35.200001,35.849998,13000,35.417526
2016-01-15,35.73,36.110001,35.630001,36.00,13400,35.565718
2016-01-14,35.939999,36.389999,35.810001,36.360001,3500,35.921376
2016-01-13,36.369999,36.369999,35.919998,35.939999,15300,35.506441
2016-01-12,36.200001,36.330002,36.080002,36.330002,9600,35.891739
2016-01-11,35.759998,35.810001,35.599998,35.740002,6300,35.308856
2016-01-08,36.040001,36.099998,35.599998,35.599998,10900,35.170542
2016-01-07,36.169998,36.220001,35.799999,35.98,10100,35.545959
2016-01-06,36.619999,36.669998,36.400002,36.52,32700,36.079446
2016-01-05,36.43,36.759998,36.43,36.720001,1900,36.277034
