Date,Dividends
2017-03-22,0.044000
2017-02-24,0.041000
2017-01-27,0.056000
2016-12-28,0.041000
2016-11-28,0.084000
2016-10-27,0.071000
2016-09-13,0.023000
2016-08-29,0.049000
2016-07-27,0.066000
2016-06-14,0.025000
2016-05-27,0.045000
2016-04-27,0.065000
2016-03-15,0.032000
2016-02-25,0.045000
2016-01-27,0.051000
2015-12-24,0.039000
2015-11-26,0.046000
2015-10-28,0.053000
2015-09-25,0.045000
2015-08-27,0.048000
2015-07-29,0.054000
2015-06-26,0.049000
2015-05-27,0.048000
2015-04-28,0.056000
2015-03-25,0.046000
2015-02-25,0.045000
2015-01-28,0.062000
2014-12-24,0.042000
2014-11-26,0.045000
2014-10-29,0.058000
2014-09-24,0.046000
2014-08-27,0.048000
2014-07-29,0.059000
2014-06-24,0.045000
2014-05-28,0.056000
2014-04-28,0.052000
2014-03-25,0.045000
2014-02-26,0.046000
2014-01-29,0.063000
2013-12-27,0.039000
2013-11-27,0.045000
2013-10-29,0.063000
2013-09-23,0.038000
2013-08-28,0.048000
2013-07-29,0.063000
2013-06-24,0.040000
2013-05-29,0.058000
2013-04-26,0.061000
2013-03-22,0.046000
2013-02-26,0.041000
2013-01-29,0.067000
2012-12-27,0.041000
2012-11-28,0.057000
2012-10-29,0.057000
2012-09-26,0.057000
2012-08-29,0.055000
2012-07-27,0.048000
2012-06-27,0.058000
2012-05-29,0.055000
2012-04-26,0.051000
2012-03-28,0.063000
2012-02-27,0.043000
2012-01-27,0.041000
