Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,24.32,24.360001,24.32,24.35,37400,24.35
2017-03-23,24.35,24.35,24.32,24.33,26900,24.33
2017-03-22,24.33,24.35,24.33,24.34,21800,24.34
2017-03-21,24.360001,24.370001,24.35,24.35,69200,24.306001
2017-03-20,24.360001,24.370001,24.35,24.35,88200,24.306001
2017-03-17,24.34,24.35,24.33,24.35,25300,24.306001
2017-03-16,24.34,24.35,24.32,24.34,19400,24.296018
2017-03-15,24.299999,24.32,24.299999,24.32,73900,24.276054
2017-03-14,24.299999,24.299999,24.280001,24.290001,29600,24.24611
2017-03-13,24.299999,24.299999,24.280001,24.280001,57600,24.236127
2017-03-10,24.309999,24.309999,24.299999,24.299999,14200,24.25609
2017-03-09,24.34,24.34,24.299999,24.309999,38700,24.266072
2017-03-08,24.34,24.34,24.32,24.32,65500,24.276054
2017-03-07,24.370001,24.379999,24.360001,24.370001,314400,24.325965
2017-03-06,24.379999,24.379999,24.360001,24.379999,24000,24.335945
2017-03-03,24.370001,24.379999,24.35,24.370001,39400,24.325965
2017-03-02,24.370001,24.379999,24.360001,24.379999,15600,24.335945
2017-03-01,24.360001,24.379999,24.35,24.370001,26800,24.325965
2017-02-28,24.370001,24.389999,24.370001,24.379999,120500,24.335945
2017-02-27,24.379999,24.379999,24.35,24.370001,113200,24.325965
2017-02-24,24.360001,24.370001,24.35,24.360001,25400,24.315983
2017-02-23,24.379999,24.40,24.379999,24.389999,19500,24.305001
2017-02-22,24.379999,24.389999,24.360001,24.370001,40200,24.285072
2017-02-21,24.370001,24.379999,24.35,24.370001,71100,24.285072
2017-02-17,24.370001,24.40,24.35,24.40,35900,24.314966
2017-02-16,24.35,24.370001,24.34,24.360001,40100,24.275107
2017-02-15,24.34,24.35,24.33,24.34,41400,24.255176
2017-02-14,24.35,24.360001,24.34,24.34,66500,24.255176
2017-02-13,24.379999,24.379999,24.33,24.33,89700,24.245211
2017-02-10,24.360001,24.370001,24.360001,24.370001,68600,24.285072
2017-02-09,24.40,24.41,24.370001,24.389999,39500,24.305001
2017-02-08,24.40,24.42,24.389999,24.40,64200,24.314966
2017-02-07,24.379999,24.40,24.379999,24.389999,35200,24.305001
2017-02-06,24.379999,24.389999,24.360001,24.360001,62700,24.275107
2017-02-03,24.360001,24.370001,24.34,24.35,39700,24.265141
2017-02-02,24.360001,24.360001,24.35,24.360001,63500,24.275107
2017-02-01,24.33,24.35,24.32,24.35,86400,24.265141
2017-01-31,24.33,24.360001,24.32,24.35,116400,24.265141
2017-01-30,24.309999,24.32,24.299999,24.299999,37000,24.215315
2017-01-27,24.299999,24.32,24.299999,24.32,61000,24.235245
2017-01-26,24.360001,24.370001,24.34,24.370001,17900,24.229268
2017-01-25,24.35,24.35,24.34,24.34,39800,24.19944
2017-01-24,24.370001,24.389999,24.35,24.35,47200,24.209383
2017-01-23,24.379999,24.41,24.370001,24.40,46400,24.259093
2017-01-20,24.370001,24.370001,24.360001,24.360001,23000,24.219325
2017-01-19,24.360001,24.360001,24.34,24.360001,36500,24.219325
2017-01-18,24.379999,24.40,24.360001,24.370001,25100,24.229268
2017-01-17,24.35,24.379999,24.35,24.379999,38600,24.239208
2017-01-16,24.35,24.360001,24.35,24.360001,28200,24.219325
2017-01-13,24.370001,24.370001,24.34,24.360001,23100,24.219325
2017-01-12,24.389999,24.40,24.360001,24.360001,77400,24.219325
2017-01-11,24.370001,24.379999,24.370001,24.370001,27600,24.229268
2017-01-10,24.379999,24.389999,24.35,24.35,52000,24.209383
2017-01-09,24.370001,24.379999,24.360001,24.370001,29400,24.229268
2017-01-06,24.370001,24.379999,24.35,24.370001,48200,24.229268
2017-01-05,24.370001,24.40,24.360001,24.40,42000,24.259093
2017-01-04,24.35,24.379999,24.35,24.370001,30300,24.229268
2017-01-03,24.34,24.360001,24.33,24.360001,38400,24.219325
2016-12-30,24.35,24.41,24.35,24.41,23100,24.269036
2016-12-29,24.35,24.35,24.32,24.34,12900,24.19944
2016-12-28,24.309999,24.32,24.299999,24.309999,36000,24.169613
2016-12-23,24.33,24.34,24.32,24.32,43300,24.138791
2016-12-22,24.309999,24.33,24.299999,24.33,69100,24.148717
2016-12-21,24.34,24.34,24.309999,24.309999,57200,24.128866
2016-12-20,24.33,24.34,24.309999,24.34,68700,24.158643
2016-12-19,24.33,24.34,24.32,24.33,41500,24.148717
2016-12-16,24.309999,24.33,24.299999,24.33,25900,24.148717
2016-12-15,24.32,24.33,24.299999,24.299999,30300,24.11894
2016-12-14,24.379999,24.40,24.33,24.33,46900,24.148717
2016-12-13,24.379999,24.389999,24.379999,24.379999,39800,24.198344
