Date,Dividends
2016-11-28,0.055000
2016-10-27,0.087000
2016-09-13,0.028000
2016-08-29,0.060000
2016-07-27,0.082000
2016-06-14,0.039000
2016-05-27,0.058000
2016-04-27,0.083000
2016-02-25,0.059000
2016-01-27,0.074000
2015-12-24,0.053000
2015-11-26,0.057000
2015-10-28,0.068000
2015-09-25,0.058000
2015-08-27,0.060000
2015-07-29,0.068000
2015-06-26,0.063000
2015-05-27,0.062000
2015-04-28,0.071000
2015-03-25,0.059000
2015-02-25,0.059000
2015-01-28,0.079000
2014-12-24,0.054000
2014-11-26,0.060000
2014-10-29,0.076000
2014-09-24,0.059000
2014-08-27,0.061000
2014-07-29,0.074000
2014-06-24,0.057000
2014-05-28,0.068000
2014-04-28,0.063000
2014-03-25,0.054000
2014-02-26,0.053000
2014-01-29,0.080000
2013-12-27,0.047000
2013-11-27,0.056000
2013-10-29,0.083000
2013-09-23,0.044000
2013-08-28,0.070000
2013-07-29,0.073000
2013-06-24,0.048000
2013-05-29,0.071000
2013-04-26,0.059000
2013-03-22,0.043000
2013-02-26,0.047000
2013-01-29,0.058000
2012-12-27,0.058000
2012-11-28,0.042000
