Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,24.709999,24.75,24.709999,24.75,11200,24.75
2017-03-23,24.73,24.74,24.709999,24.719999,18400,24.719999
2017-03-22,24.73,24.74,24.719999,24.73,48900,24.73
2017-03-21,24.75,24.76,24.74,24.76,31500,24.708
2017-03-20,24.75,24.76,24.75,24.75,27800,24.698021
2017-03-17,24.74,24.75,24.73,24.74,19200,24.688042
2017-03-16,24.73,24.74,24.719999,24.73,28300,24.678062
2017-03-15,24.709999,24.73,24.700001,24.719999,20200,24.668083
2017-03-14,24.700001,24.700001,24.67,24.690001,25200,24.638147
2017-03-13,24.68,24.709999,24.639999,24.639999,39100,24.588251
2017-03-10,24.68,24.709999,24.67,24.67,41800,24.618189
2017-03-09,24.719999,24.73,24.68,24.68,18400,24.628168
2017-03-08,24.73,24.74,24.73,24.73,29700,24.678062
2017-03-07,24.780001,24.780001,24.75,24.75,100500,24.698021
2017-03-06,24.790001,24.790001,24.77,24.77,50700,24.717979
2017-03-03,24.76,24.77,24.76,24.76,61700,24.708
2017-03-02,24.75,24.76,24.74,24.74,80400,24.688042
2017-03-01,24.75,24.77,24.75,24.75,109300,24.698021
2017-02-28,24.780001,24.790001,24.76,24.790001,37600,24.737938
2017-02-27,24.76,24.780001,24.75,24.76,34000,24.708
2017-02-24,24.76,24.77,24.74,24.74,23300,24.688042
2017-02-23,24.780001,24.790001,24.75,24.780001,80400,24.679062
2017-02-22,24.77,24.77,24.74,24.74,73700,24.639224
2017-02-21,24.77,24.780001,24.73,24.73,82300,24.629265
2017-02-17,24.76,24.77,24.75,24.75,13500,24.649184
2017-02-16,24.74,24.76,24.719999,24.719999,145300,24.619305
2017-02-15,24.73,24.73,24.700001,24.700001,70700,24.599388
2017-02-14,24.73,24.74,24.709999,24.74,143500,24.639224
2017-02-13,24.75,24.75,24.73,24.73,67700,24.629265
2017-02-10,24.74,24.76,24.74,24.75,48700,24.649184
2017-02-09,24.77,24.780001,24.76,24.76,50400,24.659143
2017-02-08,24.76,24.790001,24.76,24.780001,28600,24.679062
2017-02-07,24.75,24.77,24.74,24.76,24000,24.659143
2017-02-06,24.74,24.75,24.719999,24.75,33100,24.649184
2017-02-03,24.700001,24.73,24.700001,24.700001,15800,24.599388
2017-02-02,24.700001,24.709999,24.68,24.68,32700,24.579469
2017-02-01,24.690001,24.700001,24.67,24.67,20900,24.56951
2017-01-31,24.65,24.700001,24.65,24.68,33300,24.579469
2017-01-30,24.67,24.67,24.639999,24.639999,38400,24.539631
2017-01-27,24.66,24.66,24.65,24.66,110100,24.55955
2017-01-26,24.709999,24.709999,24.67,24.690001,54200,24.521705
2017-01-25,24.709999,24.709999,24.68,24.68,49600,24.511773
2017-01-24,24.719999,24.74,24.719999,24.73,36200,24.561432
2017-01-23,24.73,24.75,24.719999,24.719999,44200,24.5515
2017-01-20,24.719999,24.719999,24.700001,24.719999,18700,24.5515
2017-01-19,24.690001,24.700001,24.68,24.690001,39900,24.521705
2017-01-18,24.700001,24.719999,24.700001,24.700001,66700,24.531637
2017-01-17,24.709999,24.719999,24.690001,24.690001,24100,24.521705
2017-01-16,24.68,24.700001,24.67,24.67,30400,24.501841
2017-01-13,24.690001,24.690001,24.66,24.66,24500,24.491909
2017-01-12,24.700001,24.709999,24.690001,24.690001,17700,24.521705
2017-01-11,24.690001,24.700001,24.66,24.67,91200,24.501841
2017-01-10,24.68,24.709999,24.65,24.65,63500,24.481977
2017-01-09,24.68,24.709999,24.68,24.709999,60800,24.541568
2017-01-06,24.690001,24.700001,24.65,24.65,29000,24.481977
2017-01-05,24.700001,24.709999,24.68,24.700001,77900,24.531637
2017-01-04,24.68,24.68,24.66,24.68,22900,24.511773
2017-01-03,24.65,24.66,24.620001,24.65,23700,24.481977
