Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,43.790001,43.919998,43.560001,43.700001,61200,43.700001
2017-03-23,43.610001,43.830002,43.560001,43.630001,73400,43.630001
2017-03-22,43.700001,43.759998,43.50,43.580002,151900,43.580002
2017-03-21,44.310001,44.310001,43.73,43.77,80400,43.604002
2017-03-20,44.509998,44.529999,44.349998,44.400002,55900,44.231613
2017-03-17,44.439999,44.57,44.400002,44.450001,51400,44.281423
2017-03-16,44.470001,44.509998,44.345001,44.48,61800,44.311308
2017-03-15,44.59,44.759998,44.439999,44.439999,102600,44.271459
2017-03-14,44.669998,44.689999,44.470001,44.630001,52000,44.460741
2017-03-13,44.599998,44.700001,44.549999,44.650002,47500,44.480665
2017-03-10,44.689999,44.73,44.490002,44.639999,122300,44.470701
2017-03-09,44.669998,44.790001,44.490002,44.650002,46200,44.480665
2017-03-08,44.66,44.77,44.560001,44.599998,56100,44.430852
2017-03-07,44.580002,44.630001,44.41,44.450001,54100,44.281423
2017-03-06,44.580002,44.650002,44.41,44.59,58300,44.420891
2017-03-03,44.700001,44.779999,44.610001,44.650002,143400,44.480665
2017-03-02,44.900002,44.900002,44.68,44.68,29700,44.51055
2017-03-01,44.450001,44.900002,44.450001,44.779999,62200,44.61017
2017-02-28,43.880001,44.040001,43.799999,44.00,96000,43.833129
2017-02-27,43.41,43.77,43.349998,43.759998,48100,43.594037
2017-02-24,43.25,43.48,43.18,43.48,54200,43.315101
2017-02-23,43.529999,43.529999,43.25,43.419998,89200,43.255327
2017-02-22,43.73,43.759998,43.560001,43.580002,80200,43.414724
2017-02-21,43.490002,43.669998,43.470001,43.599998,74200,43.434644
2017-02-17,42.950001,43.18,42.950001,43.18,35000,43.016239
2017-02-16,43.110001,43.110001,42.84,43.07,113900,42.906656
2017-02-15,42.98,43.16,42.880001,43.099998,132700,42.936541
2017-02-14,42.610001,42.869999,42.529999,42.860001,139600,42.697453
2017-02-13,42.740002,42.790001,42.669998,42.700001,170500,42.53806
2017-02-10,42.48,42.599998,42.360001,42.529999,194900,42.368703
2017-02-09,42.209999,42.59,42.200001,42.540001,34900,42.378667
2017-02-08,42.240002,42.34,42.080002,42.290001,33400,42.129615
2017-02-07,42.419998,42.450001,42.259998,42.290001,183700,42.129615
2017-02-06,42.07,42.259998,42.009998,42.049999,34200,41.890524
2017-02-03,41.830002,41.98,41.799999,41.950001,42300,41.790904
2017-02-02,41.509998,41.650002,41.380001,41.59,43300,41.432269
2017-02-01,41.900002,41.950001,41.580002,41.66,77800,41.502003
2017-01-31,41.490002,41.57,41.25,41.540001,83300,41.382459
2017-01-30,42.130001,42.130001,41.549999,41.900002,79300,41.741095
2017-01-27,42.259998,42.259998,42.099998,42.220001,27000,42.059881
2017-01-26,42.220001,42.290001,42.119999,42.169998,40700,42.010067
2017-01-25,42.150002,42.189999,42.02,42.119999,30200,41.960258
2017-01-24,41.959999,42.130001,41.759998,42.07,76900,41.910448
2017-01-23,42.349998,42.400002,41.990002,42.080002,68600,41.920412
2017-01-20,42.41,42.599998,42.23,42.34,49300,42.179425
2017-01-19,42.290001,42.380001,42.169998,42.189999,26700,42.029992
2017-01-18,41.599998,42.200001,41.470001,42.18,39300,42.020032
2017-01-17,41.599998,41.599998,41.349998,41.419998,65400,41.262912
2017-01-16,41.950001,42.50,41.84,42.389999,23100,42.229234
2017-01-13,41.82,42.00,41.810001,41.84,22800,41.681321
2017-01-12,41.689999,41.779999,41.419998,41.779999,49200,41.621547
2017-01-11,42.169998,42.32,41.639999,41.990002,64500,41.830754
2017-01-10,42.00,42.169998,41.889999,42.07,35600,41.910448
2017-01-09,42.200001,42.200001,42.02,42.02,45400,41.860639
2017-01-06,42.119999,42.330002,41.900002,42.240002,38700,42.079805
2017-01-05,42.290001,42.290001,41.84,42.099998,45900,41.940333
2017-01-04,42.220001,42.459999,42.220001,42.369999,23700,42.20931
2017-01-03,42.509998,42.580002,42.18,42.43,47300,42.269083
2016-12-30,42.439999,42.439999,42.049999,42.099998,39100,41.940333
2016-12-29,42.599998,42.700001,42.41,42.509998,29800,42.348778
2016-12-28,43.16,43.16,42.630001,42.650002,23600,42.48825
2016-12-23,42.950001,43.049999,42.93,43.049999,36900,42.697452
2016-12-22,42.849998,42.91,42.700001,42.830002,19000,42.479256
2016-12-21,42.73,42.779999,42.650002,42.689999,13300,42.340399
2016-12-20,42.830002,42.830002,42.619999,42.630001,31700,42.280893
2016-12-19,42.529999,42.720001,42.529999,42.700001,21700,42.350319
2016-12-16,42.610001,42.669998,42.279999,42.279999,46700,41.933757
2016-12-15,42.389999,42.799999,42.389999,42.419998,27800,42.07261
2016-12-14,41.880001,42.25,41.700001,42.07,26400,41.725477
2016-12-13,41.75,41.990002,41.75,41.900002,23500,41.556871
2016-12-12,41.849998,41.849998,41.650002,41.700001,29400,41.358509
2016-12-09,41.849998,41.939999,41.77,41.939999,42000,41.596541
2016-12-08,41.810001,41.939999,41.68,41.790001,28000,41.447772
2016-12-07,41.41,41.77,41.290001,41.77,32900,41.427935
2016-12-06,41.310001,41.419998,41.189999,41.41,16600,41.070883
2016-12-05,41.060001,41.200001,41.060001,41.169998,16900,40.832846
2016-12-02,40.900002,41.07,40.869999,40.900002,17300,40.565061
2016-12-01,41.41,41.41,40.939999,41.00,29900,40.66424
2016-11-30,41.75,41.759998,41.57,41.580002,16000,41.239492
2016-11-29,41.66,41.720001,41.580002,41.639999,16900,41.298999
2016-11-28,41.75,41.759998,41.509998,41.509998,43000,41.170062
2016-11-25,41.990002,42.740002,41.900002,42.639999,44900,42.290809
2016-11-24,41.860001,42.189999,41.799999,42.150002,31900,41.804824
2016-11-23,41.669998,41.860001,41.610001,41.860001,16000,41.517198
2016-11-22,41.439999,41.689999,41.41,41.669998,25300,41.328752
2016-11-21,41.27,41.470001,41.18,41.41,37600,41.070883
2016-11-18,41.52,41.549999,41.360001,41.419998,10000,41.080799
2016-11-17,40.98,41.470001,40.98,41.470001,21800,41.130393
2016-11-16,41.080002,41.150002,40.91,41.049999,15300,40.71383
2016-11-15,41.209999,41.209999,40.93,41.130001,45600,40.793177
2016-11-14,41.110001,41.290001,41.080002,41.150002,113400,40.813013
2016-11-11,40.810001,41.00,40.73,41.00,21400,40.66424
2016-11-10,40.889999,41.049999,40.549999,40.810001,20600,40.475798
2016-11-09,39.619999,40.50,39.619999,40.360001,62500,40.029482
2016-11-08,39.599998,39.830002,39.540001,39.630001,20200,39.305461
2016-11-07,39.349998,39.68,39.349998,39.669998,32700,39.34513
2016-11-04,38.990002,39.18,38.900002,38.93,19800,38.611192
2016-11-03,39.189999,39.189999,38.84,38.880001,15100,38.561603
2016-11-02,39.330002,39.330002,38.990002,39.080002,21600,38.759965
2016-11-01,39.720001,39.720001,39.16,39.349998,18700,39.027751
2016-10-31,39.759998,39.759998,39.700001,39.73,6300,39.40464
2016-10-28,39.75,39.830002,39.549999,39.580002,25100,39.255871
2016-10-27,40.029999,40.029999,39.73,39.740002,15700,39.41456
2016-10-26,39.689999,39.869999,39.689999,39.860001,3900,39.533577
2016-10-25,40.02,40.02,39.830002,39.860001,28000,39.533577
2016-10-24,40.00,40.150002,40.00,40.150002,20200,39.821203
2016-10-21,39.650002,39.82,39.619999,39.779999,16600,39.45423
2016-10-20,39.310001,39.52,39.310001,39.48,9700,39.156688
2016-10-19,39.139999,39.34,38.900002,39.27,12500,38.948408
2016-10-18,39.09,39.200001,39.060001,39.150002,11600,38.829392
2016-10-17,39.130001,39.130001,38.900002,38.900002,23100,38.581439
2016-10-14,39.25,39.349998,39.049999,39.119999,22900,38.799635
2016-10-13,39.279999,39.32,39.080002,39.240002,13600,38.918655
2016-10-12,39.529999,39.650002,39.529999,39.580002,18400,39.255871
2016-10-11,39.82,39.82,39.389999,39.459999,31200,39.136851
2016-10-07,39.75,39.959999,39.75,39.939999,19000,39.61292
2016-10-06,39.869999,39.900002,39.68,39.860001,12800,39.533577
2016-10-05,39.77,39.869999,39.73,39.759998,10100,39.434393
2016-10-04,39.700001,39.790001,39.560001,39.599998,21600,39.275704
2016-10-03,39.639999,39.66,39.50,39.549999,17700,39.226114
2016-09-30,39.549999,39.82,39.509998,39.73,19500,39.40464
2016-09-29,39.599998,39.66,39.450001,39.529999,18100,39.206277
2016-09-28,39.900002,39.950001,39.689999,39.759998,7400,39.434393
2016-09-27,39.759998,39.860001,39.700001,39.779999,20400,39.45423
2016-09-26,39.639999,39.700001,39.59,39.700001,11700,39.374887
2016-09-23,39.900002,39.900002,39.799999,39.869999,15800,39.543493
