Date,Open,High,Low,Close,Volume,Adj Close
2016-12-09,31.09,31.10,30.99,31.10,8400,31.10
2016-12-08,31.110001,31.120001,30.99,31.00,9300,31.00
2016-12-07,30.90,31.08,30.77,31.049999,15700,31.049999
2016-12-06,30.65,30.77,30.620001,30.77,17500,30.77
2016-12-05,30.50,30.57,30.49,30.57,37400,30.57
2016-12-02,30.360001,30.43,30.34,30.360001,17900,30.360001
2016-12-01,30.75,30.75,30.40,30.42,23600,30.42
2016-11-30,30.879999,30.950001,30.799999,30.860001,20900,30.860001
2016-11-29,30.870001,30.889999,30.85,30.85,20200,30.85
2016-11-28,30.92,30.92,30.75,30.77,31100,30.77
2016-11-25,31.00,31.309999,31.00,31.110001,34900,31.110001
2016-11-24,30.969999,31.00,30.93,31.00,20100,31.00
2016-11-23,30.809999,30.950001,30.77,30.950001,26700,30.950001
2016-11-22,30.76,30.90,30.73,30.90,25700,30.90
2016-11-21,30.610001,30.700001,30.549999,30.66,49000,30.66
2016-11-18,30.809999,30.809999,30.66,30.690001,5900,30.690001
2016-11-17,30.58,30.799999,30.530001,30.799999,12100,30.799999
2016-11-16,30.50,30.549999,30.40,30.49,15200,30.49
2016-11-15,30.67,30.690001,30.559999,30.67,15300,30.67
2016-11-14,30.700001,30.75,30.639999,30.690001,18500,30.690001
2016-11-11,30.68,30.709999,30.469999,30.709999,29800,30.709999
2016-11-10,30.84,30.84,30.50,30.68,11400,30.68
2016-11-09,30.139999,30.65,30.139999,30.50,45500,30.50
2016-11-08,30.16,30.389999,30.16,30.219999,17600,30.219999
2016-11-07,30.139999,30.27,30.129999,30.27,21200,30.27
2016-11-04,29.790001,29.92,29.73,29.73,35100,29.73
2016-11-03,29.99,30.02,29.799999,29.83,16800,29.83
2016-11-02,30.030001,30.110001,29.879999,29.940001,28000,29.940001
2016-11-01,30.40,30.40,30.00,30.129999,15000,30.129999
2016-10-31,30.35,30.42,30.35,30.389999,21400,30.389999
2016-10-28,30.42,30.440001,30.280001,30.309999,13700,30.309999
2016-10-27,30.51,30.51,30.370001,30.379999,19800,30.379999
2016-10-26,30.40,30.49,30.34,30.450001,30200,30.450001
2016-10-25,30.559999,30.559999,30.440001,30.49,11200,30.49
2016-10-24,30.57,30.66,30.57,30.66,42500,30.66
2016-10-21,30.299999,30.440001,30.299999,30.440001,11400,30.440001
2016-10-20,30.08,30.24,30.08,30.209999,15400,30.209999
2016-10-19,29.940001,30.059999,29.790001,30.030001,18900,30.030001
2016-10-18,29.90,29.950001,29.84,29.940001,17100,29.940001
2016-10-17,29.780001,29.790001,29.66,29.67,30300,29.67
2016-10-14,29.98,30.00,29.76,29.799999,25500,29.799999
2016-10-13,29.90,29.940001,29.76,29.90,35700,29.90
2016-10-12,30.17,30.17,30.10,30.10,16800,30.10
2016-10-11,30.35,30.35,30.030001,30.08,60400,30.08
2016-10-07,30.49,30.50,30.360001,30.50,19500,30.50
2016-10-06,30.42,30.469999,30.389999,30.440001,10200,30.440001
2016-10-05,30.389999,30.50,30.389999,30.43,10000,30.43
2016-10-04,30.41,30.450001,30.24,30.299999,20500,30.299999
2016-10-03,30.280001,30.280001,30.18,30.24,32500,30.24
2016-09-30,30.190001,30.379999,30.139999,30.309999,27200,30.309999
2016-09-29,30.27,30.299999,30.120001,30.200001,21300,30.200001
2016-09-28,30.540001,30.540001,30.309999,30.389999,13500,30.389999
2016-09-27,30.440001,30.450001,30.299999,30.40,21200,30.40
2016-09-26,30.23,30.309999,30.16,30.309999,23600,30.309999
2016-09-23,30.48,30.48,30.40,30.43,16100,30.43
2016-09-22,30.34,30.41,30.290001,30.389999,26200,30.389999
2016-09-21,30.25,30.290001,30.10,30.290001,16500,30.290001
2016-09-20,30.280001,30.280001,30.07,30.07,10800,30.07
2016-09-19,30.17,30.209999,30.129999,30.15,16600,30.012
2016-09-16,30.15,30.15,29.969999,30.059999,26200,29.922412
2016-09-15,30.040001,30.15,29.940001,30.15,8300,30.012
2016-09-14,29.940001,30.030001,29.879999,29.879999,24200,29.743235
2016-09-13,30.00,30.01,29.809999,29.90,14400,29.763144
2016-09-12,29.799999,30.139999,29.75,30.139999,60800,30.002046
2016-09-09,30.190001,30.190001,29.809999,29.82,28800,29.683511
2016-09-08,30.200001,30.26,30.18,30.24,12000,30.101588
2016-09-07,30.10,30.290001,30.09,30.25,18700,30.111543
2016-09-06,30.18,30.18,29.959999,30.059999,44000,29.922412
2016-09-05,30.190001,30.190001,30.190001,30.190001,000,30.051818
2016-09-02,30.309999,30.309999,30.190001,30.25,18900,30.111543
2016-09-01,30.34,30.35,30.10,30.190001,29700,30.051818
2016-08-31,30.27,30.27,30.139999,30.209999,7800,30.071725
2016-08-30,30.200001,30.26,30.17,30.26,6300,30.121497
2016-08-29,29.959999,30.15,29.959999,30.120001,24900,29.982139
2016-08-26,29.92,30.030001,29.84,29.93,20200,29.793008
2016-08-25,29.950001,29.969999,29.879999,29.879999,9200,29.743235
2016-08-24,30.10,30.10,29.950001,29.950001,14200,29.812917
2016-08-23,30.08,30.120001,30.02,30.02,14100,29.882596
2016-08-22,29.879999,30.049999,29.879999,30.040001,23400,29.902505
2016-08-19,29.85,29.879999,29.780001,29.85,11600,29.713374
2016-08-18,29.83,29.83,29.700001,29.75,11400,29.613831
2016-08-17,29.85,29.879999,29.73,29.879999,14800,29.743235
2016-08-16,30.00,30.00,29.85,29.870001,32200,29.733283
2016-08-15,30.18,30.18,30.120001,30.129999,10700,29.992091
2016-08-12,30.09,30.10,30.040001,30.10,9800,29.96223
2016-08-11,30.26,30.280001,30.17,30.209999,11800,30.071725
2016-08-10,30.23,30.23,30.120001,30.17,23500,30.031909
2016-08-09,30.33,30.389999,30.33,30.35,14200,30.211085
2016-08-08,30.32,30.32,30.25,30.290001,28700,30.151361
2016-08-05,30.129999,30.299999,30.129999,30.25,15800,30.111543
2016-08-04,29.700001,29.76,29.690001,29.73,18000,29.593922
2016-08-03,29.790001,29.790001,29.68,29.719999,8600,29.583968
2016-08-02,29.879999,29.879999,29.66,29.790001,48200,29.653649
2016-07-29,30.01,30.01,29.90,29.93,12500,29.793008
2016-07-28,30.049999,30.059999,29.950001,30.059999,34700,29.922412
2016-07-27,30.07,30.129999,30.030001,30.059999,21700,29.922412
2016-07-26,30.059999,30.139999,30.00,30.02,20600,29.882596
2016-07-25,30.01,30.10,29.99,30.030001,33800,29.89255
2016-07-22,29.75,29.99,29.73,29.940001,14300,29.802962
2016-07-21,29.75,29.75,29.639999,29.700001,19900,29.564061
2016-07-20,29.700001,29.75,29.700001,29.75,14000,29.613831
