Date,Dividends
2016-11-23,0.071000
2016-10-24,0.071000
2016-09-14,0.071000
2016-08-24,0.072000
2016-07-22,0.072000
2016-06-15,0.073000
2016-05-24,0.073000
2016-04-22,0.074000
2016-03-16,0.075000
2016-02-22,0.075000
2016-01-22,0.076000
2015-12-29,0.075000
2015-11-23,0.074000
2015-10-23,0.075000
2015-09-16,0.074000
2015-08-24,0.075000
2015-07-24,0.075000
2015-06-17,0.076000
2015-05-22,0.075000
2015-04-23,0.075000
2015-03-18,0.075000
2015-02-20,0.078000
2015-01-23,0.079000
2014-12-29,0.075000
2014-11-21,0.079000
2014-10-24,0.076000
2014-09-17,0.079000
2014-08-22,0.080000
2014-07-24,0.080000
2014-06-18,0.084000
2014-05-23,0.081000
2014-04-23,0.080000
2014-03-19,0.081000
2014-02-21,0.082000
2014-01-24,0.081000
2013-12-27,0.098000
2013-11-22,0.081000
2013-10-24,0.082000
2013-09-18,0.082000
2013-08-23,0.084000
2013-07-24,0.081000
2013-06-19,0.081000
2013-05-24,0.078000
2013-04-23,0.084000
2013-03-21,0.077000
2013-02-21,0.083000
2013-01-24,0.083000
2012-12-24,0.085000
2012-11-22,0.085000
2012-10-24,0.082000
2012-09-21,0.086000
2012-08-24,0.087000
2012-07-24,0.083000
2012-06-22,0.087000
2012-05-23,0.085000
2012-04-23,0.089000
2012-03-23,0.084000
2012-02-22,0.089000
2012-01-25,0.090000
2011-12-23,0.088000
2011-11-23,0.091000
2011-10-26,0.093000
2011-09-23,0.093000
2011-08-26,0.095000
2011-07-22,0.093000
2011-06-24,0.096000
2011-05-26,0.094000
2011-04-25,0.097000
2011-03-25,0.089000
2011-02-23,0.098000
2011-01-26,0.097000
2010-12-24,0.100000
2010-11-24,0.092000
2010-10-26,0.099000
2010-09-27,0.098000
2010-08-26,0.101000
2010-07-27,0.098000
2010-06-25,0.313000
2010-03-26,0.300000
2009-12-24,0.347000
2009-09-25,0.327000
2009-06-25,0.316000
2009-03-26,0.324000
2008-12-24,0.324000
2008-09-25,0.347000
2008-06-25,0.335000
2008-03-26,0.318000
2007-12-24,0.327000
2007-09-25,0.327000
2007-06-26,0.334000
2007-03-27,0.291000
2006-12-22,0.310000
2006-09-26,0.304000
2006-06-27,0.321000
2006-03-28,0.281000
2005-12-23,0.348000
2005-09-27,0.337000
2005-03-28,0.297000
