Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,31.209999,31.280001,31.200001,31.27,37700,31.27
2017-03-23,31.24,31.27,31.200001,31.25,28900,31.18
2017-03-22,31.200001,31.26,31.200001,31.24,43600,31.170022
2017-03-21,31.059999,31.17,31.040001,31.16,63000,31.090201
2017-03-20,31.049999,31.120001,31.049999,31.09,58400,31.020358
2017-03-17,31.040001,31.09,31.040001,31.08,33100,31.010381
2017-03-16,31.030001,31.030001,30.98,31.01,42100,30.940538
2017-03-15,30.92,31.030001,30.92,31.02,28900,30.950516
2017-03-14,30.85,30.91,30.85,30.90,42100,30.830784
2017-03-13,30.889999,30.889999,30.83,30.83,60200,30.760941
2017-03-10,30.90,30.940001,30.879999,30.92,55900,30.850739
2017-03-09,30.93,30.959999,30.91,30.940001,27400,30.870695
2017-03-08,30.959999,30.99,30.950001,30.969999,71600,30.900626
2017-03-07,31.110001,31.110001,31.07,31.07,46400,31.000403
2017-03-06,31.15,31.15,31.110001,31.139999,75900,31.070246
2017-03-03,31.120001,31.129999,31.09,31.129999,30200,31.060268
2017-03-02,31.110001,31.129999,31.07,31.129999,69500,31.060268
2017-03-01,31.07,31.120001,31.07,31.10,48500,31.030336
2017-02-28,31.219999,31.25,31.209999,31.23,271100,31.160044
2017-02-27,31.24,31.24,31.17,31.18,39400,31.110157
2017-02-24,31.190001,31.26,31.16,31.26,36300,31.189978
2017-02-23,31.09,31.120001,31.08,31.110001,55600,31.040314
2017-02-22,31.09,31.09,31.00,31.040001,48400,30.970471
2017-02-21,30.959999,31.040001,30.959999,31.02,82600,30.950516
2017-02-17,31.120001,31.129999,31.08,31.08,51700,30.940537
2017-02-16,31.030001,31.07,31.01,31.049999,285000,30.910671
2017-02-15,30.959999,31.00,30.950001,30.98,258500,30.840986
2017-02-14,31.059999,31.059999,30.959999,31.00,81400,30.860896
2017-02-13,31.110001,31.110001,31.059999,31.07,47700,30.930582
2017-02-10,31.110001,31.15,31.10,31.139999,34800,31.000267
2017-02-09,31.280001,31.280001,31.16,31.17,51600,31.030134
2017-02-08,31.23,31.299999,31.23,31.27,195100,31.129685
2017-02-07,31.110001,31.18,31.110001,31.17,38400,31.030134
2017-02-06,31.09,31.120001,31.049999,31.120001,45400,30.980359
2017-02-03,31.040001,31.059999,30.940001,31.00,83600,30.860896
2017-02-02,31.049999,31.09,31.02,31.030001,39900,30.890762
2017-02-01,30.940001,31.00,30.93,31.00,39500,30.860896
2017-01-31,30.959999,31.01,30.940001,31.00,42200,30.860896
2017-01-30,30.950001,30.959999,30.92,30.93,48400,30.791211
2017-01-27,30.91,30.950001,30.889999,30.940001,33700,30.801166
2017-01-26,30.879999,30.889999,30.809999,30.889999,40400,30.751389
2017-01-25,30.90,30.93,30.85,30.860001,62000,30.721525
2017-01-24,31.049999,31.059999,30.959999,30.99,118500,30.850941
2017-01-23,31.120001,31.24,31.10,31.219999,94700,31.010223
2017-01-20,31.09,31.09,31.040001,31.07,72600,30.861231
2017-01-19,31.10,31.110001,31.059999,31.07,62100,30.861231
2017-01-18,31.18,31.23,31.120001,31.139999,79100,30.930761
2017-01-17,31.25,31.25,31.18,31.209999,48600,31.00029
2017-01-16,31.200001,31.219999,31.18,31.190001,51700,30.980426
2017-01-13,31.209999,31.209999,31.120001,31.139999,62500,30.930761
2017-01-12,31.280001,31.34,31.26,31.27,61400,31.059888
2017-01-11,31.23,31.280001,31.209999,31.219999,66400,31.010223
2017-01-10,31.24,31.25,31.200001,31.209999,46600,31.00029
2017-01-09,31.25,31.25,31.18,31.190001,78200,30.980426
2017-01-06,31.15,31.17,31.120001,31.15,49300,30.940694
2017-01-05,31.200001,31.25,31.18,31.23,58600,31.020156
2017-01-04,31.10,31.16,31.09,31.16,510700,30.950627
2017-01-03,31.00,31.08,30.98,31.07,31300,30.861231
2016-12-30,31.10,31.139999,31.10,31.120001,23700,30.910896
2016-12-29,31.059999,31.09,31.049999,31.07,85400,30.861231
2016-12-28,30.969999,31.07,30.969999,31.07,101400,30.861231
2016-12-23,31.049999,31.049999,30.98,30.99,56000,30.711247
2016-12-22,30.92,30.98,30.92,30.959999,74200,30.681516
2016-12-21,30.98,31.00,30.950001,30.969999,145700,30.691426
2016-12-20,30.969999,30.99,30.92,30.969999,101000,30.691426
2016-12-19,30.93,30.98,30.93,30.98,61000,30.701336
2016-12-16,30.91,30.950001,30.85,30.889999,199900,30.612146
2016-12-15,30.940001,30.969999,30.870001,30.90,162100,30.622056
2016-12-14,31.08,31.110001,30.98,30.98,89200,30.701336
2016-12-13,31.040001,31.07,30.940001,31.01,61500,30.731067
2016-12-12,30.99,31.01,30.93,30.969999,84800,30.691426
2016-12-09,31.15,31.16,31.030001,31.049999,68500,30.770706
2016-12-08,31.24,31.24,31.17,31.190001,89900,30.909448
2016-12-07,31.24,31.290001,31.24,31.280001,60000,30.998639
2016-12-06,31.280001,31.280001,31.219999,31.219999,67200,30.939177
2016-12-05,31.18,31.27,31.129999,31.25,203100,30.968908
2016-12-02,31.18,31.290001,31.18,31.23,59800,30.949088
2016-12-01,31.190001,31.200001,31.110001,31.17,147300,30.889628
2016-11-30,31.379999,31.389999,31.33,31.34,136600,31.058099
2016-11-29,31.40,31.48,31.379999,31.48,78300,31.196839
2016-11-28,31.42,31.450001,31.379999,31.42,57000,31.137379
2016-11-25,31.34,31.379999,31.33,31.34,23300,31.058099
2016-11-24,31.32,31.34,31.299999,31.299999,26300,31.018458
2016-11-23,31.27,31.34,31.24,31.34,224900,31.058099
2016-11-22,31.42,31.48,31.41,31.440001,83600,31.086838
2016-11-21,31.370001,31.41,31.35,31.40,78900,31.047286
2016-11-18,31.450001,31.450001,31.370001,31.379999,68800,31.02751
2016-11-17,31.48,31.48,31.40,31.42,75600,31.067062
2016-11-16,31.41,31.49,31.41,31.48,61900,31.126387
2016-11-15,31.41,31.440001,31.40,31.40,37400,31.047286
2016-11-14,31.41,31.43,31.32,31.360001,132000,31.007736
2016-11-11,31.60,31.68,31.60,31.67,43100,31.314254
2016-11-10,31.68,31.68,31.57,31.610001,100800,31.254928
2016-11-09,31.870001,31.870001,31.73,31.74,88000,31.383467
2016-11-08,32.049999,32.060001,31.93,31.940001,43200,31.581221
2016-11-07,32.049999,32.07,32.02,32.029999,53500,31.670209
2016-11-04,32.119999,32.169998,32.099998,32.169998,56800,31.808635
2016-11-03,32.099998,32.110001,32.060001,32.09,44900,31.729536
2016-11-02,32.099998,32.16,32.080002,32.119999,68700,31.759198
2016-11-01,32.049999,32.099998,32.00,32.080002,99100,31.71965
2016-10-31,32.07,32.080002,32.040001,32.07,63000,31.70976
2016-10-28,32.009998,32.02,31.959999,32.009998,59400,31.650433
2016-10-27,32.060001,32.060001,31.98,32.009998,40900,31.650433
2016-10-26,32.150002,32.150002,32.110001,32.139999,93900,31.778974
2016-10-25,32.18,32.209999,32.169998,32.189999,58900,31.828411
2016-10-24,32.209999,32.209999,32.150002,32.169998,33000,31.808635
2016-10-21,32.25,32.299999,32.25,32.290001,46600,31.857087
2016-10-20,32.139999,32.18,32.139999,32.169998,60300,31.738693
2016-10-19,32.049999,32.130001,32.049999,32.110001,61100,31.6795
2016-10-18,32.029999,32.099998,32.029999,32.099998,42100,31.669632
2016-10-17,32.049999,32.09,32.049999,32.060001,67800,31.630171
2016-10-14,32.07,32.099998,32.009998,32.009998,31000,31.580839
2016-10-13,32.139999,32.150002,32.119999,32.130001,49600,31.699232
2016-10-12,32.060001,32.080002,32.040001,32.07,35800,31.640036
2016-10-11,32.07,32.119999,32.07,32.09,20000,31.659768
2016-10-07,32.189999,32.189999,32.130001,32.150002,29300,31.718965
2016-10-06,32.209999,32.220001,32.16,32.18,106000,31.748561
2016-10-05,32.32,32.32,32.25,32.259998,28400,31.827487
2016-10-04,32.43,32.450001,32.330002,32.34,56400,31.906416
2016-10-03,32.48,32.50,32.450001,32.470001,39600,32.034674
2016-09-30,32.580002,32.580002,32.459999,32.459999,38600,32.024806
2016-09-29,32.52,32.57,32.509998,32.57,27300,32.133332
2016-09-28,32.560001,32.560001,32.50,32.52,49500,32.084003
2016-09-27,32.540001,32.549999,32.509998,32.529999,34800,32.093867
2016-09-26,32.450001,32.52,32.450001,32.509998,38100,32.074135
2016-09-23,32.369999,32.419998,32.349998,32.419998,62400,31.985342
2016-09-22,32.23,32.290001,32.23,32.279999,30000,31.847219
2016-09-21,32.099998,32.18,32.099998,32.169998,42100,31.738693
2016-09-20,32.139999,32.16,32.119999,32.139999,71200,31.709097
2016-09-19,32.029999,32.080002,32.029999,32.060001,31800,31.630171
2016-09-16,32.040001,32.049999,32.009998,32.02,34400,31.590707
2016-09-15,31.969999,32.009998,31.959999,32.009998,92500,31.580839
2016-09-14,31.99,32.060001,31.98,32.040001,48000,31.610439
2016-09-13,32.18,32.18,31.99,32.040001,96400,31.540392
2016-09-12,32.150002,32.209999,32.150002,32.200001,32300,31.697897
2016-09-09,32.310001,32.310001,32.220001,32.23,40700,31.727428
2016-09-08,32.52,32.52,32.34,32.389999,119400,31.884933
2016-09-07,32.509998,32.549999,32.509998,32.549999,54900,32.042438
2016-09-06,32.470001,32.509998,32.450001,32.490002,66900,31.983376
2016-09-02,32.490002,32.490002,32.41,32.439999,30800,31.934152
2016-09-01,32.459999,32.529999,32.450001,32.50,42300,31.993218
2016-08-31,32.439999,32.50,32.439999,32.490002,44900,31.983376
2016-08-30,32.459999,32.490002,32.439999,32.470001,13700,31.963687
2016-08-29,32.380001,32.459999,32.380001,32.43,45700,31.92431
2016-08-26,32.41,32.43,32.279999,32.299999,140500,31.796336
2016-08-25,32.41,32.419998,32.369999,32.369999,41400,31.865244
