Date,Dividends
2017-03-24,0.055000
2017-02-21,0.054000
2017-01-24,0.055000
2016-12-28,0.055000
2016-11-23,0.055000
2016-10-24,0.055000
2016-09-14,0.055000
2016-08-24,0.056000
2016-07-22,0.056000
2016-06-15,0.057000
2016-05-24,0.057000
2016-04-22,0.057000
2016-03-16,0.058000
2016-02-22,0.058000
2016-01-22,0.058000
2015-12-29,0.058000
2015-11-23,0.058000
2015-10-23,0.057000
2015-09-16,0.058000
2015-08-24,0.058000
2015-07-24,0.058000
2015-06-17,0.058000
2015-05-22,0.058000
2015-04-23,0.059000
2015-03-18,0.059000
2015-02-20,0.060000
2015-01-23,0.062000
2014-12-29,0.061000
2014-11-21,0.062000
2014-10-24,0.059000
2014-09-17,0.060000
2014-08-22,0.061000
2014-07-24,0.060000
2014-06-18,0.063000
2014-05-23,0.063000
2014-04-23,0.062000
2014-03-19,0.062000
2014-02-21,0.063000
2014-01-24,0.062000
2013-12-27,0.075000
2013-11-22,0.064000
2013-10-24,0.066000
2013-09-18,0.064000
2013-08-23,0.066000
2013-07-24,0.065000
2013-06-19,0.064000
2013-05-24,0.064000
2013-04-23,0.067000
2013-03-21,0.060000
2013-02-21,0.066000
2013-01-24,0.067000
2012-12-24,0.068000
2012-11-22,0.068000
2012-10-24,0.066000
2012-09-21,0.069000
2012-08-24,0.070000
2012-07-24,0.068000
2012-06-22,0.071000
2012-05-23,0.070000
2012-04-23,0.072000
2012-03-23,0.069000
2012-02-22,0.074000
2012-01-25,0.075000
2011-12-23,0.072000
2011-11-23,0.074000
2011-10-26,0.076000
2011-09-23,0.076000
2011-08-26,0.077000
2011-07-22,0.075000
2011-06-24,0.076000
2011-05-26,0.075000
2011-04-25,0.077000
2011-03-25,0.070000
2011-02-23,0.077000
2011-01-26,0.075000
2010-12-24,0.081000
2010-11-24,0.073000
2010-10-26,0.079000
2010-09-27,0.083000
2010-08-26,0.085000
2010-07-27,0.089000
2010-06-25,0.238000
2010-03-26,0.223000
2009-12-24,0.257000
2009-09-25,0.239000
2009-06-25,0.224000
2009-03-26,0.245000
2008-12-24,0.229000
2008-09-25,0.248000
2008-06-25,0.237000
2008-03-26,0.235000
2007-12-24,0.231000
2007-09-25,0.235000
2007-06-26,0.218000
2007-03-27,0.167000
2006-12-22,0.111000
