Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,21.42,21.469999,21.40,21.459999,77700,21.459999
2017-03-23,21.42,21.440001,21.41,21.42,65900,21.365
2017-03-22,21.41,21.450001,21.41,21.41,56500,21.355025
2017-03-21,21.370001,21.389999,21.34,21.379999,61700,21.325102
2017-03-20,21.35,21.379999,21.33,21.34,75500,21.285205
2017-03-17,21.33,21.35,21.309999,21.35,91200,21.29518
2017-03-16,21.309999,21.309999,21.26,21.280001,24700,21.22536
2017-03-15,21.24,21.34,21.24,21.34,45800,21.285205
2017-03-14,21.23,21.25,21.209999,21.23,31000,21.175487
2017-03-13,21.24,21.25,21.17,21.17,101000,21.115642
2017-03-10,21.26,21.27,21.219999,21.27,260500,21.215385
2017-03-09,21.280001,21.299999,21.26,21.280001,18900,21.22536
2017-03-08,21.280001,21.309999,21.280001,21.290001,37900,21.235334
2017-03-07,21.360001,21.360001,21.33,21.35,19500,21.29518
2017-03-06,21.370001,21.370001,21.33,21.35,60300,21.29518
2017-03-03,21.35,21.360001,21.33,21.35,34200,21.29518
2017-03-02,21.35,21.370001,21.33,21.33,44600,21.275231
2017-03-01,21.34,21.370001,21.33,21.35,46200,21.29518
2017-02-28,21.41,21.43,21.379999,21.43,98100,21.374974
2017-02-27,21.42,21.43,21.370001,21.370001,49900,21.315129
2017-02-24,21.370001,21.43,21.360001,21.43,46700,21.374974
2017-02-23,21.33,21.35,21.32,21.32,76300,21.265256
2017-02-22,21.34,21.34,21.280001,21.299999,24400,21.245307
2017-02-21,21.280001,21.32,21.27,21.280001,39400,21.22536
2017-02-17,21.370001,21.379999,21.360001,21.379999,18800,21.27124
2017-02-16,21.290001,21.32,21.280001,21.299999,262200,21.191647
2017-02-15,21.26,21.299999,21.26,21.290001,29100,21.1817
2017-02-14,21.33,21.33,21.27,21.290001,45100,21.1817
2017-02-13,21.34,21.360001,21.299999,21.309999,32100,21.201596
2017-02-10,21.34,21.389999,21.34,21.370001,39300,21.261293
2017-02-09,21.43,21.43,21.360001,21.360001,44000,21.251343
2017-02-08,21.40,21.459999,21.40,21.450001,40600,21.340886
2017-02-07,21.32,21.370001,21.32,21.360001,28600,21.251343
2017-02-06,21.34,21.34,21.280001,21.34,62000,21.231444
2017-02-03,21.299999,21.309999,21.25,21.280001,54200,21.17175
2017-02-02,21.290001,21.309999,21.27,21.290001,29900,21.1817
2017-02-01,21.25,21.280001,21.23,21.280001,51400,21.17175
2017-01-31,21.24,21.290001,21.23,21.25,26600,21.141902
2017-01-30,21.24,21.25,21.219999,21.24,66200,21.131953
2017-01-27,21.200001,21.219999,21.17,21.18,26800,21.072259
2017-01-26,21.16,21.200001,21.139999,21.190001,25200,21.082208
2017-01-25,21.190001,21.200001,21.15,21.17,76500,21.062309
2017-01-24,21.27,21.280001,21.219999,21.25,125800,21.141902
2017-01-23,21.299999,21.360001,21.299999,21.35,124600,21.186674
2017-01-20,21.27,21.309999,21.26,21.299999,30200,21.137055
2017-01-19,21.27,21.290001,21.25,21.27,141700,21.107286
2017-01-18,21.33,21.370001,21.290001,21.299999,254300,21.137055
2017-01-17,21.360001,21.370001,21.33,21.360001,56800,21.196597
2017-01-16,21.32,21.35,21.309999,21.32,46000,21.156903
2017-01-13,21.33,21.33,21.290001,21.299999,35400,21.137055
2017-01-12,21.379999,21.41,21.35,21.370001,44500,21.206521
2017-01-11,21.33,21.35,21.32,21.33,50900,21.166826
2017-01-10,21.32,21.33,21.299999,21.33,28700,21.166826
2017-01-09,21.32,21.32,21.280001,21.299999,43600,21.137055
2017-01-06,21.27,21.309999,21.26,21.26,40900,21.097362
2017-01-05,21.290001,21.33,21.280001,21.33,22500,21.166826
2017-01-04,21.27,21.290001,21.24,21.27,56700,21.107286
2017-01-03,21.190001,21.25,21.190001,21.24,45000,21.077515
2016-12-30,21.219999,21.27,21.219999,21.26,20800,21.097362
2016-12-29,21.190001,21.23,21.190001,21.209999,18400,21.047743
2016-12-28,21.16,21.209999,21.15,21.18,19900,21.017974
2016-12-23,21.18,21.219999,21.18,21.219999,81000,21.003088
2016-12-22,21.129999,21.18,21.129999,21.17,49100,20.9536
2016-12-21,21.15,21.18,21.129999,21.17,103800,20.9536
2016-12-20,21.129999,21.17,21.110001,21.17,74000,20.9536
2016-12-19,21.139999,21.17,21.129999,21.15,47100,20.933804
2016-12-16,21.16,21.17,21.120001,21.129999,31000,20.914008
2016-12-15,21.17,21.18,21.139999,21.15,74500,20.933804
2016-12-14,21.26,21.280001,21.15,21.15,167200,20.933804
2016-12-13,21.23,21.24,21.18,21.200001,58000,20.983294
2016-12-12,21.17,21.209999,21.17,21.200001,35100,20.983294
2016-12-09,21.290001,21.290001,21.219999,21.23,41300,21.012986
2016-12-08,21.34,21.34,21.290001,21.290001,640200,21.072374
2016-12-07,21.309999,21.35,21.309999,21.34,85500,21.121862
2016-12-06,21.299999,21.32,21.290001,21.290001,30000,21.072374
2016-12-05,21.24,21.32,21.24,21.309999,121400,21.092168
2016-12-02,21.27,21.309999,21.27,21.290001,32400,21.072374
2016-12-01,21.25,21.26,21.200001,21.23,53400,21.012986
2016-11-30,21.34,21.35,21.299999,21.33,76100,21.111964
2016-11-29,21.35,21.379999,21.34,21.379999,45300,21.161452
2016-11-28,21.360001,21.379999,21.34,21.379999,48300,21.161452
2016-11-25,21.309999,21.33,21.290001,21.299999,38900,21.08227
2016-11-24,21.280001,21.309999,21.27,21.299999,24300,21.08227
2016-11-23,21.25,21.280001,21.24,21.280001,149600,21.062476
2016-11-22,21.370001,21.389999,21.33,21.370001,43500,21.097119
2016-11-21,21.34,21.35,21.32,21.33,27200,21.057629
2016-11-18,21.370001,21.370001,21.32,21.33,39400,21.057629
2016-11-17,21.379999,21.379999,21.32,21.370001,33700,21.097119
2016-11-16,21.33,21.40,21.33,21.40,76600,21.126734
2016-11-15,21.34,21.370001,21.34,21.34,36900,21.067501
2016-11-14,21.34,21.34,21.290001,21.33,53400,21.057629
2016-11-11,21.40,21.450001,21.40,21.440001,24500,21.166225
2016-11-10,21.48,21.48,21.43,21.450001,56100,21.176097
2016-11-09,21.60,21.60,21.469999,21.50,207800,21.225458
2016-11-08,21.65,21.65,21.59,21.60,45300,21.324181
2016-11-07,21.709999,21.709999,21.65,21.65,24200,21.373542
2016-11-04,21.700001,21.74,21.700001,21.709999,25400,21.432775
2016-11-03,21.68,21.700001,21.67,21.690001,13900,21.413032
2016-11-02,21.719999,21.73,21.68,21.700001,41200,21.422905
2016-11-01,21.68,21.690001,21.65,21.68,17200,21.40316
2016-10-31,21.700001,21.700001,21.639999,21.68,21200,21.40316
2016-10-28,21.639999,21.67,21.620001,21.629999,17900,21.353797
2016-10-27,21.65,21.66,21.60,21.60,47100,21.324181
2016-10-26,21.709999,21.709999,21.65,21.68,72300,21.40316
2016-10-25,21.690001,21.709999,21.68,21.700001,28600,21.422905
2016-10-24,21.719999,21.719999,21.68,21.690001,50900,21.413032
2016-10-21,21.77,21.780001,21.74,21.780001,67000,21.447585
2016-10-20,21.690001,21.709999,21.690001,21.700001,47400,21.368806
2016-10-19,21.66,21.690001,21.65,21.66,24600,21.329416
2016-10-18,21.620001,21.67,21.620001,21.66,26200,21.329416
2016-10-17,21.629999,21.66,21.629999,21.65,16000,21.319568
2016-10-14,21.620001,21.65,21.60,21.60,17200,21.270332
2016-10-13,21.65,21.690001,21.65,21.66,32600,21.329416
2016-10-12,21.610001,21.639999,21.59,21.629999,51700,21.299873
2016-10-11,21.639999,21.66,21.629999,21.629999,45700,21.299873
2016-10-07,21.709999,21.709999,21.68,21.700001,21900,21.368806
2016-10-06,21.73,21.74,21.700001,21.719999,24200,21.388499
2016-10-05,21.780001,21.780001,21.73,21.73,28800,21.398347
2016-10-04,21.83,21.84,21.77,21.780001,32900,21.447585
2016-10-03,21.85,21.860001,21.809999,21.83,62000,21.496821
2016-09-30,21.860001,21.879999,21.84,21.85,30700,21.516516
2016-09-29,21.85,21.90,21.85,21.889999,33000,21.555905
2016-09-28,21.870001,21.90,21.860001,21.879999,40100,21.546057
2016-09-27,21.860001,21.889999,21.860001,21.889999,30200,21.555905
2016-09-26,21.82,21.860001,21.82,21.860001,12500,21.526364
2016-09-23,21.76,21.799999,21.76,21.790001,22700,21.457433
2016-09-22,21.690001,21.73,21.690001,21.73,37000,21.398347
2016-09-21,21.60,21.68,21.60,21.68,38700,21.349111
2016-09-20,21.639999,21.66,21.639999,21.66,54700,21.329416
2016-09-19,21.60,21.620001,21.60,21.60,25600,21.270332
2016-09-16,21.60,21.620001,21.59,21.60,24200,21.270332
2016-09-15,21.559999,21.620001,21.559999,21.610001,30700,21.28018
2016-09-14,21.58,21.620001,21.58,21.60,46300,21.270332
2016-09-13,21.68,21.700001,21.60,21.639999,69700,21.25556
2016-09-12,21.700001,21.719999,21.690001,21.709999,30000,21.324316
2016-09-09,21.790001,21.790001,21.73,21.75,40900,21.363606
2016-09-08,21.90,21.90,21.799999,21.82,36700,21.432363
2016-09-07,21.870001,21.889999,21.85,21.860001,75200,21.471653
2016-09-06,21.84,21.860001,21.82,21.860001,21200,21.471653
2016-09-02,21.809999,21.84,21.790001,21.809999,30000,21.42254
2016-09-01,21.84,21.860001,21.809999,21.84,57400,21.452008
2016-08-31,21.809999,21.84,21.799999,21.84,156700,21.452008
2016-08-30,21.84,21.84,21.780001,21.809999,357900,21.42254
2016-08-29,21.75,21.83,21.75,21.82,49300,21.432363
2016-08-26,21.799999,21.809999,21.719999,21.74,43300,21.353784
2016-08-25,21.799999,21.799999,21.76,21.780001,29200,21.393074
2016-08-24,21.82,21.82,21.76,21.790001,43000,21.402897
2016-08-23,21.84,21.870001,21.83,21.860001,17900,21.416648
2016-08-22,21.82,21.860001,21.82,21.85,40300,21.406851
2016-08-19,21.790001,21.799999,21.75,21.799999,35900,21.357864
2016-08-18,21.799999,21.83,21.780001,21.82,46300,21.377459
2016-08-17,21.790001,21.809999,21.780001,21.809999,25500,21.367661
2016-08-16,21.83,21.84,21.790001,21.809999,35600,21.367661
2016-08-15,21.85,21.85,21.799999,21.809999,50500,21.367661
2016-08-12,21.860001,21.879999,21.85,21.860001,17500,21.416648
2016-08-11,21.870001,21.879999,21.809999,21.809999,32700,21.367661
2016-08-10,21.85,21.870001,21.83,21.85,51200,21.406851
2016-08-09,21.799999,21.84,21.799999,21.84,27400,21.397054
2016-08-08,21.790001,21.82,21.77,21.799999,46500,21.357864
2016-08-05,21.780001,21.809999,21.77,21.77,57400,21.328474
2016-08-04,21.77,21.799999,21.77,21.799999,22700,21.357864
2016-08-03,21.76,21.76,21.74,21.75,42300,21.308879
2016-08-02,21.73,21.77,21.709999,21.77,27200,21.328474
2016-07-29,21.73,21.809999,21.73,21.790001,39000,21.348068
2016-07-28,21.75,21.76,21.719999,21.75,52900,21.308879
2016-07-27,21.709999,21.74,21.690001,21.73,28300,21.289284
2016-07-26,21.709999,21.709999,21.68,21.700001,60100,21.259894
2016-07-25,21.68,21.690001,21.629999,21.67,37900,21.230501
2016-07-22,21.66,21.700001,21.65,21.68,64800,21.240299
2016-07-21,21.67,21.73,21.67,21.719999,42000,21.224622
2016-07-20,21.709999,21.709999,21.68,21.690001,35300,21.195308
2016-07-19,21.700001,21.74,21.700001,21.73,33300,21.234394
2016-07-18,21.700001,21.700001,21.67,21.67,22000,21.175763
2016-07-15,21.719999,21.719999,21.67,21.68,28800,21.185535
2016-07-14,21.780001,21.780001,21.719999,21.73,31700,21.234394
2016-07-13,21.799999,21.82,21.780001,21.780001,18500,21.283255
2016-07-12,21.809999,21.809999,21.719999,21.74,442100,21.244166
2016-07-11,21.85,21.85,21.799999,21.82,25400,21.322342
2016-07-08,21.83,21.83,21.809999,21.809999,53800,21.31257
2016-07-07,21.790001,21.82,21.77,21.809999,12700,21.31257
2016-07-06,21.799999,21.82,21.780001,21.799999,28800,21.302798
2016-07-05,21.75,21.780001,21.73,21.76,27900,21.263711
2016-07-04,21.690001,21.700001,21.67,21.67,31300,21.175763
2016-06-30,21.68,21.690001,21.629999,21.66,44100,21.165991
2016-06-29,21.68,21.68,21.629999,21.629999,33000,21.136675
2016-06-28,21.620001,21.68,21.610001,21.639999,26600,21.146447
2016-06-27,21.559999,21.639999,21.559999,21.620001,73800,21.126904
2016-06-24,21.530001,21.57,21.48,21.530001,44300,21.038957
2016-06-23,21.42,21.469999,21.42,21.450001,66300,20.960782
2016-06-22,21.459999,21.51,21.459999,21.49,29800,20.999868
2016-06-21,21.51,21.540001,21.49,21.49,35400,20.999868
2016-06-20,21.57,21.57,21.530001,21.540001,67800,21.048729
2016-06-17,21.629999,21.639999,21.610001,21.629999,14100,21.136675
2016-06-16,21.68,21.700001,21.639999,21.639999,61300,21.146447
2016-06-15,21.639999,21.66,21.610001,21.639999,18500,21.146447
2016-06-14,21.709999,21.709999,21.67,21.690001,25800,21.139608
2016-06-13,21.709999,21.719999,21.66,21.709999,21000,21.159099
2016-06-10,21.66,21.68,21.66,21.68,50100,21.129861
2016-06-09,21.610001,21.65,21.610001,21.639999,90400,21.090875
2016-06-08,21.60,21.60,21.58,21.60,20600,21.051891
2016-06-07,21.540001,21.60,21.540001,21.59,24400,21.042145
2016-06-06,21.60,21.629999,21.559999,21.559999,64300,21.012905
2016-06-03,21.59,21.620001,21.59,21.610001,21400,21.061638
2016-06-02,21.51,21.549999,21.51,21.549999,33800,21.003159
2016-06-01,21.52,21.540001,21.48,21.50,43600,20.954428
2016-05-31,21.440001,21.49,21.43,21.49,35800,20.944682
2016-05-30,21.389999,21.469999,21.389999,21.469999,22200,20.925189
2016-05-27,21.440001,21.459999,21.43,21.440001,48800,20.895951
2016-05-26,21.450001,21.450001,21.42,21.43,154000,20.886205
2016-05-25,21.48,21.48,21.440001,21.450001,59900,20.905698
2016-05-24,21.48,21.48,21.43,21.459999,73600,20.915442
2016-05-20,21.50,21.60,21.50,21.60,54600,20.996337
2016-05-19,21.530001,21.60,21.52,21.540001,189000,20.938015
2016-05-18,21.549999,21.57,21.52,21.540001,60000,20.938015
2016-05-17,21.58,21.620001,21.549999,21.549999,33700,20.947734
2016-05-16,21.58,21.610001,21.58,21.610001,24200,21.006058
2016-05-13,21.610001,21.639999,21.58,21.610001,21800,21.006058
2016-05-12,21.59,21.620001,21.57,21.57,33700,20.967175
2016-05-11,21.639999,21.65,21.59,21.610001,30800,21.006058
2016-05-10,21.65,21.65,21.559999,21.58,105800,20.976896
2016-05-09,21.620001,21.620001,21.52,21.559999,33600,20.957454
2016-05-06,21.549999,21.610001,21.540001,21.540001,25000,20.938015
2016-05-05,21.549999,21.58,21.52,21.549999,35200,20.947734
2016-05-04,21.50,21.530001,21.48,21.51,28000,20.908852
2016-05-03,21.450001,21.469999,21.42,21.469999,30100,20.869969
2016-05-02,21.43,21.450001,21.370001,21.450001,43200,20.85053
2016-04-29,21.440001,21.440001,21.370001,21.43,28600,20.831088
2016-04-28,21.389999,21.41,21.35,21.360001,56300,20.763045
2016-04-27,21.34,21.41,21.32,21.33,56100,20.733883
2016-04-26,21.280001,21.33,21.27,21.32,30300,20.724162
2016-04-25,21.24,21.309999,21.24,21.290001,32300,20.695001
2016-04-22,21.27,21.34,21.27,21.32,26700,20.724162
2016-04-21,21.379999,21.40,21.299999,21.33,67100,20.678475
2016-04-20,21.379999,21.450001,21.379999,21.40,51000,20.746337
2016-04-19,21.40,21.43,21.33,21.41,52100,20.756031
2016-04-18,21.43,21.459999,21.389999,21.440001,35300,20.785116
2016-04-15,21.450001,21.459999,21.389999,21.450001,54700,20.794811
2016-04-14,21.389999,21.450001,21.389999,21.43,49700,20.775421
2016-04-13,21.41,21.459999,21.40,21.450001,22200,20.794811
2016-04-12,21.42,21.440001,21.41,21.41,63300,20.756031
2016-04-11,21.42,21.469999,21.42,21.469999,66900,20.814198
2016-04-08,21.459999,21.48,21.459999,21.469999,17600,20.814198
2016-04-07,21.459999,21.50,21.41,21.49,55300,20.833588
2016-04-06,21.41,21.42,21.370001,21.41,17900,20.756031
2016-04-05,21.41,21.43,21.389999,21.389999,84400,20.736642
2016-04-04,21.379999,21.41,21.34,21.34,31300,20.68817
2016-04-01,21.33,21.42,21.33,21.35,32700,20.697865
2016-03-31,21.379999,21.379999,21.309999,21.35,26600,20.697865
2016-03-30,21.360001,21.389999,21.360001,21.379999,42600,20.726947
2016-03-29,21.35,21.41,21.32,21.41,25900,20.756031
2016-03-28,21.280001,21.33,21.280001,21.309999,14300,20.659086
2016-03-24,21.26,21.379999,21.26,21.360001,43900,20.707559
2016-03-23,21.18,21.290001,21.18,21.26,17800,20.610614
2016-03-22,21.219999,21.26,21.18,21.200001,38200,20.552447
2016-03-21,21.139999,21.219999,21.139999,21.219999,59700,20.571835
2016-03-18,21.17,21.33,21.15,21.33,31400,20.678475
2016-03-17,21.129999,21.23,21.129999,21.200001,38900,20.552447
2016-03-16,21.110001,21.16,21.08,21.10,29100,20.455501
2016-03-15,21.15,21.15,21.10,21.15,28900,20.447745
2016-03-14,21.120001,21.129999,21.09,21.110001,26500,20.409074
2016-03-11,21.110001,21.110001,21.059999,21.110001,18500,20.409074
2016-03-10,21.139999,21.139999,21.08,21.10,17300,20.399406
2016-03-09,21.18,21.18,21.139999,21.16,21500,20.457413
2016-03-08,21.10,21.15,21.10,21.129999,93400,20.428408
2016-03-07,21.049999,21.08,21.030001,21.059999,35200,20.360733
2016-03-04,21.02,21.09,21.02,21.059999,28500,20.360733
2016-03-03,20.99,21.049999,20.99,21.030001,47500,20.33173
2016-03-02,21.00,21.02,20.98,20.98,47600,20.283389
2016-03-01,21.07,21.08,21.01,21.040001,37800,20.341398
2016-02-29,21.08,21.09,21.030001,21.030001,33400,20.33173
2016-02-26,21.08,21.10,21.07,21.07,32800,20.370401
2016-02-25,21.08,21.09,21.040001,21.049999,84700,20.351065
2016-02-24,21.08,21.10,21.030001,21.07,34500,20.370401
2016-02-23,21.040001,21.10,21.040001,21.040001,18000,20.341398
2016-02-22,21.040001,21.10,21.040001,21.049999,42300,20.351065
2016-02-19,21.17,21.200001,21.129999,21.129999,53300,20.372334
2016-02-18,21.040001,21.08,21.030001,21.08,35900,20.324128
