Date,Open,High,Low,Close,Volume,Adj Close
2016-12-09,22.540001,22.559999,22.51,22.530001,9200,22.530001
2016-12-08,22.629999,22.700001,22.584999,22.67,10300,22.67
2016-12-07,22.559999,22.68,22.49,22.68,7100,22.68
2016-12-06,22.32,22.40,22.309999,22.379999,39500,22.379999
2016-12-05,22.18,22.24,22.15,22.24,8600,22.24
2016-12-02,22.110001,22.200001,22.08,22.08,28900,22.08
2016-12-01,22.450001,22.450001,22.15,22.190001,21800,22.190001
2016-11-30,22.65,22.65,22.59,22.610001,6200,22.610001
2016-11-29,22.50,22.58,22.50,22.549999,3500,22.549999
2016-11-28,22.51,22.549999,22.49,22.50,16900,22.50
2016-11-25,22.549999,22.99,22.50,22.50,6800,22.50
2016-11-24,22.40,22.799999,22.34,22.799999,17300,22.799999
2016-11-23,22.40,22.42,22.35,22.42,8600,22.42
2016-11-22,22.440001,22.59,22.42,22.59,15300,22.59
2016-11-21,22.219999,22.23,22.17,22.209999,15900,22.209999
2016-11-18,22.360001,22.360001,22.200001,22.209999,11800,22.209999
2016-11-17,22.18,22.32,22.18,22.26,6400,22.26
2016-11-16,22.120001,22.17,22.00,22.120001,7400,22.120001
2016-11-15,22.200001,22.34,22.200001,22.34,11800,22.34
2016-11-14,22.139999,22.219999,21.98,22.059999,28700,22.059999
2016-11-11,22.25,22.26,21.959999,22.209999,13000,22.209999
2016-11-10,22.940001,22.940001,22.42,22.42,15000,22.42
2016-11-09,23.08,23.25,22.950001,22.959999,33800,22.959999
2016-11-08,23.379999,23.709999,23.379999,23.620001,15700,23.620001
2016-11-07,23.290001,23.540001,23.290001,23.540001,6500,23.540001
2016-11-04,22.879999,22.969999,22.799999,22.82,6000,22.82
2016-11-03,23.15,23.15,23.00,23.00,15800,23.00
2016-11-02,23.309999,23.309999,22.98,23.120001,10300,23.120001
2016-11-01,23.60,23.60,23.200001,23.32,10500,23.32
2016-10-31,23.57,23.620001,23.540001,23.620001,5600,23.620001
2016-10-28,23.60,23.60,23.389999,23.42,10700,23.42
2016-10-27,23.74,23.74,23.52,23.52,7100,23.52
2016-10-26,23.690001,23.73,23.610001,23.68,5300,23.68
2016-10-25,23.889999,23.889999,23.83,23.879999,10400,23.879999
2016-10-24,24.00,24.00,23.879999,23.950001,161600,23.950001
2016-10-21,23.65,23.75,23.610001,23.73,7200,23.73
2016-10-20,23.50,23.59,23.48,23.559999,6500,23.559999
2016-10-19,23.299999,23.49,23.23,23.48,6500,23.48
2016-10-18,23.25,23.33,23.190001,23.32,12300,23.32
2016-10-17,22.969999,23.01,22.92,22.92,8000,22.92
2016-10-14,23.190001,23.190001,22.93,22.969999,7600,22.969999
2016-10-13,23.01,23.059999,22.889999,23.049999,5900,23.049999
2016-10-12,23.34,23.370001,23.290001,23.35,2400,23.35
2016-10-11,23.43,23.43,23.27,23.360001,8600,23.360001
2016-10-07,23.77,23.77,23.610001,23.719999,6700,23.719999
2016-10-06,23.60,23.73,23.59,23.690001,3700,23.690001
2016-10-05,23.549999,23.66,23.549999,23.66,7700,23.66
2016-10-04,23.57,23.60,23.33,23.379999,8400,23.379999
2016-10-03,23.389999,23.440001,23.290001,23.440001,7600,23.440001
2016-09-30,23.200001,23.379999,23.200001,23.370001,22900,23.370001
2016-09-29,23.389999,23.450001,23.25,23.309999,7700,23.309999
2016-09-28,23.639999,23.65,23.49,23.540001,6400,23.540001
2016-09-27,23.51,23.540001,23.450001,23.51,5900,23.51
2016-09-26,23.280001,23.299999,23.23,23.290001,8900,23.290001
