Date,Open,High,Low,Close,Volume,Adj Close
2016-12-06,25.99,26.200001,25.99,26.07,18300,26.07
2016-12-05,25.799999,26.00,25.799999,25.950001,41200,25.950001
2016-12-02,25.67,25.82,25.620001,25.790001,17300,25.790001
2016-12-01,25.969999,25.969999,25.73,25.799999,68500,25.799999
2016-11-30,26.200001,26.200001,26.059999,26.120001,84300,26.120001
2016-11-29,26.059999,26.15,25.99,26.129999,11000,26.129999
2016-11-28,26.07,26.07,25.93,25.959999,40300,25.959999
2016-11-25,26.24,26.34,26.17,26.27,24200,26.27
2016-11-24,26.110001,26.15,26.049999,26.049999,15000,26.049999
2016-11-23,26.07,26.110001,25.99,26.10,26000,26.10
2016-11-22,26.030001,26.16,25.969999,26.16,14300,26.16
2016-11-21,25.98,26.00,25.879999,25.959999,31300,25.959999
2016-11-18,26.07,26.07,25.91,26.02,21900,26.02
2016-11-17,25.99,26.219999,25.959999,26.219999,26800,26.219999
2016-11-16,25.98,26.040001,25.860001,25.879999,61000,25.879999
2016-11-15,26.23,26.23,26.09,26.16,25400,26.16
2016-11-14,26.290001,26.290001,26.200001,26.285,42900,26.285
2016-11-11,26.379999,26.43,26.27,26.35,15300,26.35
2016-11-10,26.530001,26.60,26.299999,26.440001,28600,26.440001
2016-11-09,26.15,26.51,26.139999,26.389999,82400,26.389999
2016-11-08,26.200001,26.33,26.15,26.225,14500,26.225
2016-11-07,26.299999,26.33,26.200001,26.25,20000,26.25
2016-11-04,26.15,26.15,26.00,26.00,19400,26.00
2016-11-03,26.35,26.35,26.155001,26.155001,22800,26.155001
2016-11-02,26.379999,26.379999,26.16,26.23,47300,26.23
2016-11-01,26.549999,26.549999,26.27,26.34,15200,26.34
2016-10-31,26.530001,26.58,26.43,26.540001,49400,26.540001
2016-10-28,26.49,26.530001,26.450001,26.459999,9300,26.459999
2016-10-27,26.559999,26.58,26.459999,26.540001,22600,26.540001
2016-10-26,26.49,26.559999,26.450001,26.530001,20900,26.530001
2016-10-25,26.57,26.58,26.50,26.58,23100,26.58
2016-10-24,26.700001,26.74,26.549999,26.68,24300,26.68
2016-10-21,26.49,26.59,26.35,26.59,23400,26.59
2016-10-20,26.309999,26.450001,26.309999,26.450001,10800,26.450001
2016-10-19,26.10,26.25,26.030001,26.23,22200,26.23
2016-10-18,26.040001,26.18,26.040001,26.15,25100,26.15
2016-10-17,25.959999,25.98,25.85,25.870001,44100,25.870001
2016-10-14,26.190001,26.190001,25.950001,25.959999,24100,25.959999
2016-10-13,26.01,26.09,25.93,26.08,42400,26.08
2016-10-12,26.23,26.299999,26.23,26.27,11600,26.27
2016-10-11,26.50,26.51,26.190001,26.190001,31200,26.190001
2016-10-07,26.60,26.65,26.52,26.65,24100,26.65
2016-10-06,26.68,26.700001,26.60,26.629999,13500,26.629999
2016-10-05,26.809999,26.809999,26.68,26.77,18400,26.77
2016-10-04,26.620001,26.75,26.549999,26.549999,16900,26.549999
2016-10-03,26.559999,26.58,26.49,26.51,36100,26.51
2016-09-30,26.469999,26.67,26.450001,26.530001,67700,26.530001
2016-09-29,26.540001,26.66,26.48,26.50,63600,26.50
2016-09-28,26.85,26.85,26.68,26.690001,14700,26.690001
