Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,20.790001,20.790001,20.74,20.74,2900,20.74
2017-03-23,20.860001,20.860001,20.799999,20.809999,10000,20.738999
2017-03-22,20.84,20.85,20.83,20.83,4700,20.758932
2017-03-21,20.75,20.82,20.75,20.799999,18400,20.729033
2017-03-20,20.75,20.77,20.73,20.77,23300,20.699137
2017-03-17,20.67,20.77,20.67,20.68,13900,20.609444
2017-03-16,20.700001,20.709999,20.639999,20.639999,11600,20.569579
2017-03-15,20.639999,20.719999,20.639999,20.68,8200,20.609444
2017-03-14,20.629999,20.68,20.620001,20.67,9800,20.599478
2017-03-13,20.66,20.68,20.58,20.68,12000,20.609444
2017-03-10,20.709999,20.709999,20.629999,20.629999,10800,20.559613
2017-03-09,20.719999,20.719999,20.639999,20.639999,19500,20.569579
2017-03-08,20.690001,20.719999,20.68,20.68,74600,20.609444
2017-03-07,20.77,20.790001,20.75,20.790001,2900,20.719069
2017-03-06,20.799999,20.82,20.709999,20.82,26100,20.748965
2017-03-03,20.780001,20.799999,20.75,20.75,9300,20.679205
2017-03-02,20.780001,20.790001,20.75,20.790001,16000,20.719069
2017-03-01,20.75,20.799999,20.75,20.77,15900,20.699137
2017-02-28,20.83,20.870001,20.799999,20.860001,14400,20.78883
2017-02-27,20.809999,20.860001,20.799999,20.799999,3700,20.729033
2017-02-24,20.799999,20.879999,20.799999,20.879999,6100,20.80876
2017-02-23,20.76,20.799999,20.73,20.74,7500,20.669238
2017-02-22,20.780001,20.790001,20.73,20.73,38600,20.659272
2017-02-21,20.719999,20.780001,20.67,20.690001,16700,20.61941
2017-02-17,20.76,20.90,20.76,20.879999,25500,20.738003
2017-02-16,20.780001,20.799999,20.76,20.799999,10600,20.658547
2017-02-15,20.75,20.76,20.719999,20.719999,4300,20.579091
2017-02-14,20.809999,20.809999,20.73,20.75,15200,20.608888
2017-02-13,20.83,20.83,20.77,20.799999,3000,20.658547
2017-02-10,20.799999,20.83,20.68,20.809999,10800,20.668479
2017-02-09,20.85,20.870001,20.809999,20.82,8000,20.678411
2017-02-08,20.780001,20.889999,20.780001,20.889999,9300,20.747935
2017-02-07,20.75,20.809999,20.75,20.809999,10400,20.668479
2017-02-06,20.77,20.790001,20.700001,20.790001,8300,20.648617
2017-02-03,20.67,20.73,20.66,20.719999,19200,20.579091
2017-02-02,20.67,20.719999,20.67,20.719999,7600,20.579091
2017-02-01,20.620001,20.690001,20.58,20.610001,60700,20.46984
2017-01-31,20.690001,20.719999,20.66,20.690001,12700,20.549296
2017-01-30,20.65,20.67,20.639999,20.67,23600,20.529432
2017-01-27,20.65,20.68,20.65,20.67,17800,20.529432
2017-01-26,20.610001,20.639999,20.60,20.639999,15600,20.499635
2017-01-25,20.58,20.65,20.530001,20.530001,29800,20.390385
2017-01-24,20.700001,20.709999,20.60,20.60,41400,20.459908
2017-01-23,20.790001,20.83,20.719999,20.83,36600,20.616833
2017-01-20,20.700001,20.73,20.68,20.73,7500,20.517856
2017-01-19,20.690001,20.719999,20.67,20.719999,10600,20.507958
2017-01-18,20.75,20.799999,20.74,20.77,48700,20.557448
2017-01-17,20.790001,20.799999,20.75,20.75,8200,20.537652
2017-01-16,20.780001,20.780001,20.73,20.76,12800,20.54755
2017-01-13,20.700001,20.74,20.690001,20.73,11500,20.517856
2017-01-12,20.780001,20.790001,20.74,20.77,9700,20.557448
2017-01-11,20.709999,20.75,20.690001,20.73,64700,20.517856
2017-01-10,20.67,20.709999,20.67,20.700001,2600,20.488164
2017-01-09,20.690001,20.719999,20.68,20.68,8600,20.468369
2017-01-06,20.620001,20.639999,20.610001,20.629999,12400,20.418879
2017-01-05,20.58,20.67,20.58,20.67,9600,20.458471
2017-01-04,20.549999,20.66,20.540001,20.540001,26200,20.329802
2017-01-03,20.52,20.540001,20.49,20.49,5700,20.280312
2016-12-30,20.549999,20.610001,20.52,20.52,6100,20.310006
2016-12-29,20.57,20.59,20.50,20.50,2600,20.29021
2016-12-28,20.50,20.60,20.459999,20.459999,13900,20.250619
2016-12-23,20.57,20.57,20.51,20.51,4800,20.227855
2016-12-22,20.540001,20.559999,20.51,20.52,13200,20.237718
2016-12-21,20.549999,20.549999,20.49,20.50,51200,20.217993
2016-12-20,20.52,20.540001,20.49,20.540001,19600,20.257443
2016-12-19,20.50,20.58,20.48,20.58,10400,20.296892
2016-12-16,20.530001,20.549999,20.48,20.50,9800,20.217993
2016-12-15,20.469999,20.530001,20.469999,20.50,6400,20.217993
2016-12-14,20.540001,20.60,20.450001,20.450001,9300,20.168681
2016-12-13,20.559999,20.559999,20.50,20.50,14600,20.217993
2016-12-12,20.540001,20.540001,20.450001,20.450001,12700,20.168681
2016-12-09,20.60,20.60,20.51,20.559999,10600,20.277167
2016-12-08,20.65,20.66,20.610001,20.629999,11500,20.346204
2016-12-07,20.58,20.690001,20.549999,20.559999,16300,20.277167
2016-12-06,20.620001,20.66,20.52,20.65,10600,20.365929
2016-12-05,20.59,20.66,20.58,20.639999,12100,20.356066
2016-12-02,20.59,20.639999,20.540001,20.639999,8200,20.356066
2016-12-01,20.60,20.60,20.459999,20.58,12700,20.296892
2016-11-30,20.68,20.68,20.60,20.60,2400,20.316617
2016-11-29,20.58,20.690001,20.57,20.59,65700,20.306755
2016-11-28,20.59,20.690001,20.59,20.690001,7100,20.405379
2016-11-25,20.58,20.629999,20.559999,20.629999,7700,20.346204
2016-11-24,20.540001,20.58,20.51,20.58,8800,20.296892
2016-11-23,20.530001,20.60,20.530001,20.559999,11300,20.277167
2016-11-22,20.67,20.68,20.629999,20.639999,2700,20.28407
2016-11-21,20.59,20.66,20.58,20.65,6700,20.293898
2016-11-18,20.620001,20.690001,20.57,20.59,6400,20.234933
2016-11-17,20.65,20.65,20.559999,20.620001,11100,20.264416
2016-11-16,20.50,20.700001,20.50,20.549999,4100,20.195622
2016-11-15,20.559999,20.60,20.459999,20.459999,9100,20.107174
2016-11-14,20.43,20.52,20.42,20.459999,13500,20.107174
2016-11-11,20.76,20.77,20.50,20.73,31800,20.372518
2016-11-10,20.620001,20.74,20.60,20.639999,17700,20.28407
2016-11-09,20.68,20.879999,20.59,20.66,17800,20.303726
2016-11-08,20.85,20.860001,20.83,20.83,700,20.470794
2016-11-07,20.83,20.879999,20.799999,20.809999,58500,20.451139
2016-11-04,20.940001,20.940001,20.82,20.92,46100,20.559242
2016-11-03,20.84,20.879999,20.82,20.82,5200,20.460966
2016-11-02,20.870001,20.92,20.83,20.83,23000,20.470794
2016-11-01,20.91,20.99,20.809999,20.99,7100,20.628035
2016-10-31,20.85,20.889999,20.82,20.83,15000,20.470794
2016-10-28,20.85,20.85,20.77,20.77,8500,20.411829
2016-10-27,20.809999,20.83,20.790001,20.799999,43400,20.441311
2016-10-26,20.959999,20.959999,20.84,20.90,25600,20.539587
2016-10-25,20.90,20.940001,20.889999,20.940001,24000,20.578898
2016-10-24,20.90,20.93,20.83,20.870001,77400,20.510105
2016-10-21,20.98,20.99,20.870001,20.99,41400,20.555311
2016-10-20,20.90,20.959999,20.90,20.950001,46400,20.51614
2016-10-19,20.860001,20.92,20.84,20.870001,22100,20.437797
2016-10-18,20.85,20.889999,20.83,20.83,7800,20.398624
2016-10-17,20.780001,20.82,20.77,20.799999,10300,20.369245
2016-10-14,20.84,20.889999,20.84,20.860001,14700,20.428004
2016-10-13,20.889999,20.92,20.870001,20.92,14100,20.486761
2016-10-12,20.85,20.85,20.799999,20.83,4100,20.398624
2016-10-11,20.84,20.879999,20.82,20.84,6600,20.408418
2016-10-07,20.889999,20.940001,20.799999,20.940001,22900,20.506347
2016-10-06,20.879999,20.93,20.83,20.93,43900,20.496554
2016-10-05,20.91,20.940001,20.85,20.85,32200,20.418211
2016-10-04,20.99,21.00,20.91,20.91,49700,20.476968
2016-10-03,21.00,21.030001,21.00,21.030001,10400,20.594483
2016-09-30,20.99,21.030001,20.959999,20.99,16000,20.555311
2016-09-29,21.00,21.07,20.99,21.07,19700,20.633654
2016-09-28,20.92,21.040001,20.92,21.040001,22200,20.604276
2016-09-27,20.99,21.00,20.889999,20.90,6700,20.467175
2016-09-26,20.959999,21.00,20.879999,20.93,21500,20.496554
2016-09-23,20.879999,20.959999,20.879999,20.940001,14900,20.506347
2016-09-22,20.82,20.889999,20.799999,20.83,17600,20.398624
2016-09-21,20.74,20.799999,20.74,20.75,10100,20.320281
2016-09-20,20.77,20.790001,20.719999,20.76,11400,20.330074
2016-09-19,20.639999,20.780001,20.639999,20.780001,6900,20.349661
2016-09-16,20.76,20.790001,20.65,20.67,23000,20.241938
2016-09-15,20.790001,20.790001,20.700001,20.74,4800,20.310488
2016-09-14,20.82,20.83,20.629999,20.629999,33400,20.202766
2016-09-13,20.90,20.940001,20.83,20.83,10000,20.327136
2016-09-12,20.92,20.99,20.879999,20.879999,2700,20.375929
2016-09-09,21.00,21.030001,20.90,20.99,27500,20.483274
2016-09-08,21.00,21.01,20.93,20.93,22800,20.424723
2016-09-07,21.00,21.049999,20.98,20.99,49900,20.483274
2016-09-06,20.969999,20.969999,20.93,20.93,6300,20.424723
2016-09-02,20.92,20.98,20.90,20.90,3500,20.395446
2016-09-01,20.93,21.00,20.90,20.92,19200,20.414964
2016-08-31,20.879999,20.969999,20.879999,20.969999,8900,20.463756
2016-08-30,20.870001,20.93,20.85,20.92,90500,20.414964
2016-08-29,20.83,20.879999,20.77,20.77,4200,20.268585
2016-08-26,20.85,20.90,20.780001,20.809999,15600,20.307619
2016-08-25,20.870001,20.90,20.82,20.85,8200,20.346654
2016-08-24,20.889999,20.90,20.76,20.76,12100,20.258827
2016-08-23,20.950001,20.959999,20.90,20.90,4100,20.323233
2016-08-22,20.889999,20.93,20.889999,20.90,39600,20.323233
2016-08-19,20.860001,20.870001,20.860001,20.870001,1400,20.294062
2016-08-18,20.860001,20.90,20.860001,20.90,5200,20.323233
2016-08-17,20.860001,20.889999,20.780001,20.809999,4400,20.235717
2016-08-16,20.879999,20.879999,20.799999,20.870001,9100,20.294062
2016-08-15,20.90,20.92,20.82,20.82,44500,20.245441
2016-08-12,20.90,20.92,20.870001,20.92,8900,20.342682
2016-08-11,20.860001,20.91,20.799999,20.799999,21800,20.225993
2016-08-10,20.91,20.91,20.799999,20.799999,35500,20.225993
2016-08-09,20.879999,20.91,20.85,20.85,11200,20.274614
2016-08-08,20.870001,20.90,20.870001,20.889999,9900,20.313509
2016-08-05,20.85,20.879999,20.85,20.860001,21100,20.284338
2016-08-04,20.75,20.860001,20.75,20.85,52900,20.274614
2016-08-03,20.75,20.82,20.74,20.82,14700,20.245441
2016-08-02,20.809999,20.85,20.75,20.85,14800,20.274614
2016-07-29,20.83,20.879999,20.799999,20.879999,3600,20.303785
2016-07-28,20.75,20.809999,20.75,20.75,25900,20.177373
2016-07-27,20.690001,20.83,20.690001,20.83,16400,20.255165
2016-07-26,20.75,20.790001,20.68,20.700001,81900,20.128754
2016-07-25,20.75,20.790001,20.68,20.76,6000,20.187097
2016-07-22,20.690001,20.790001,20.68,20.690001,10700,20.119029
2016-07-21,20.74,20.83,20.74,20.83,45900,20.183207
2016-07-20,20.74,20.799999,20.74,20.74,13400,20.096001
2016-07-19,20.709999,20.83,20.709999,20.809999,12200,20.163827
2016-07-18,20.690001,20.75,20.65,20.75,8300,20.105691
2016-07-15,20.75,20.799999,20.73,20.75,3500,20.105691
2016-07-14,20.809999,20.860001,20.780001,20.84,9500,20.192896
2016-07-13,20.879999,20.879999,20.77,20.799999,8700,20.154138
2016-07-12,20.84,20.870001,20.75,20.85,30500,20.202586
2016-07-11,20.799999,20.98,20.790001,20.799999,36000,20.154138
2016-07-08,20.799999,20.940001,20.799999,20.799999,27100,20.154138
2016-07-07,20.85,20.860001,20.74,20.799999,23900,20.154138
2016-07-06,20.67,20.84,20.67,20.76,36300,20.115381
2016-07-05,20.629999,20.690001,20.629999,20.629999,9400,19.989416
2016-07-04,20.65,20.65,20.59,20.639999,9100,19.999106
2016-06-30,20.639999,20.65,20.540001,20.549999,36700,19.9119
2016-06-29,20.690001,20.700001,20.57,20.57,31500,19.93128
2016-06-28,20.57,20.639999,20.549999,20.639999,15900,19.999106
2016-06-27,20.51,20.620001,20.51,20.57,5000,19.93128
2016-06-24,20.440001,20.639999,20.440001,20.50,49900,19.863454
2016-06-23,20.549999,20.549999,20.440001,20.440001,18100,19.805317
2016-06-22,20.60,20.629999,20.559999,20.58,9200,19.94097
2016-06-21,20.65,20.65,20.540001,20.540001,4300,19.902213
2016-06-20,20.700001,20.700001,20.620001,20.620001,10400,19.979728
2016-06-17,20.629999,20.73,20.629999,20.719999,9100,20.076622
2016-06-16,20.700001,20.76,20.629999,20.719999,14600,20.076622
2016-06-15,20.68,20.74,20.58,20.58,12500,19.94097
2016-06-14,20.780001,20.780001,20.66,20.700001,8600,19.985542
2016-06-13,20.799999,20.809999,20.700001,20.790001,14400,20.072436
2016-06-10,20.75,20.76,20.66,20.719999,10700,20.004851
2016-06-09,20.75,20.75,20.559999,20.610001,7500,19.898648
2016-06-08,20.59,20.709999,20.58,20.700001,4100,19.985542
2016-06-07,20.629999,20.66,20.549999,20.65,19900,19.937267
2016-06-06,20.629999,20.66,20.59,20.59,14300,19.879338
2016-06-03,20.639999,20.67,20.60,20.629999,8000,19.917957
2016-06-02,20.459999,20.610001,20.43,20.610001,13900,19.898648
2016-06-01,20.48,20.57,20.450001,20.57,20300,19.860028
2016-05-31,20.469999,20.549999,20.469999,20.530001,4600,19.82141
2016-05-30,20.42,20.459999,20.40,20.43,5400,19.724861
2016-05-27,20.50,20.50,20.42,20.48,7400,19.773134
2016-05-26,20.459999,20.50,20.35,20.50,8500,19.792444
2016-05-25,20.40,20.450001,20.34,20.41,8100,19.705551
2016-05-24,20.49,20.49,20.309999,20.33,13900,19.628312
2016-05-20,20.530001,20.639999,20.530001,20.639999,5900,19.857131
2016-05-19,20.52,20.559999,20.52,20.559999,5600,19.780166
2016-05-18,20.440001,20.59,20.440001,20.58,14800,19.799408
2016-05-17,20.58,20.65,20.43,20.559999,62200,19.780166
2016-05-16,20.50,20.629999,20.450001,20.60,52400,19.818649
2016-05-13,20.48,20.530001,20.389999,20.48,8400,19.7032
2016-05-12,20.48,20.60,20.360001,20.48,26600,19.7032
2016-05-11,20.360001,20.610001,20.360001,20.610001,12300,19.82827
2016-05-10,20.450001,20.459999,20.34,20.34,13800,19.568511
2016-05-09,20.40,20.450001,20.389999,20.40,11500,19.626235
2016-05-06,20.450001,20.450001,20.389999,20.389999,5200,19.616614
2016-05-05,20.42,20.50,20.370001,20.370001,20600,19.597374
2016-05-04,20.389999,20.389999,20.309999,20.33,12300,19.55889
2016-05-03,20.32,20.370001,20.280001,20.280001,16500,19.510787
2016-05-02,20.32,20.360001,20.23,20.24,18800,19.472304
2016-04-29,20.309999,20.459999,20.299999,20.459999,7500,19.683958
2016-04-28,20.23,20.35,20.23,20.299999,5400,19.530027
2016-04-27,20.209999,20.280001,20.200001,20.25,12600,19.481925
2016-04-26,20.190001,20.25,20.16,20.25,7700,19.481925
2016-04-25,20.190001,20.23,20.18,20.190001,10900,19.424201
2016-04-22,20.110001,20.24,20.110001,20.110001,15400,19.347235
2016-04-21,20.18,20.280001,20.17,20.280001,6900,19.438631
2016-04-20,20.15,20.299999,20.129999,20.299999,16900,19.4578
2016-04-19,20.18,20.26,20.110001,20.129999,27200,19.294853
2016-04-18,20.18,20.18,20.129999,20.15,9200,19.314024
2016-04-15,20.129999,20.299999,20.110001,20.280001,8900,19.438631
2016-04-14,20.190001,20.27,20.129999,20.129999,8000,19.294853
2016-04-13,20.25,20.309999,20.200001,20.200001,13800,19.361951
2016-04-12,20.16,20.25,20.15,20.25,11200,19.409875
