Date,Dividends
2016-11-23,0.090000
2016-10-24,0.091000
2016-09-14,0.092000
2016-08-24,0.091000
2016-07-22,0.092000
2016-06-15,0.092000
2016-05-24,0.092000
2016-04-22,0.093000
2016-03-16,0.100000
2016-02-22,0.099000
2016-01-22,0.098000
2015-12-29,0.185000
2015-11-23,0.096000
2015-10-23,0.098000
2015-09-16,0.098000
2015-08-24,0.094000
2015-07-24,0.102000
2015-06-17,0.096000
2015-05-22,0.098000
2015-04-23,0.098000
2015-03-18,0.098000
2015-02-20,0.097000
2015-01-23,0.105000
2014-12-29,0.172000
2014-11-21,0.103000
2014-10-24,0.097000
2014-09-17,0.098000
2014-08-22,0.098000
2014-07-24,0.098000
2014-06-18,0.098000
2014-05-23,0.100000
2014-04-23,0.101000
2014-03-19,0.113000
2014-02-21,0.102000
