Date,Dividends
2016-09-14,0.164000
2016-06-15,0.168000
2016-03-16,0.163000
2015-12-29,0.169000
2015-09-16,0.164000
2015-06-17,0.166000
2015-03-18,0.163000
2014-12-29,0.149000
2014-09-17,0.158000
2014-06-18,0.142000
2014-03-19,0.153000
2013-12-27,0.104000
2013-09-18,0.159000
2013-06-19,0.164000
2013-03-21,0.147000
2012-12-24,0.100000
2012-09-21,0.130000
2012-06-22,0.133000
2012-03-23,0.138000
2011-12-23,0.100000
2011-09-23,0.113000
2011-06-24,0.110000
2011-03-25,0.138000
2010-12-24,0.113000
2010-09-27,0.121000
2010-06-25,0.115000
2010-03-26,0.117000
2009-12-24,0.112000
2009-09-25,0.111000
2009-06-25,0.128000
2009-03-26,0.106000
2008-12-24,0.158000
2008-09-25,0.151000
2008-06-25,0.137000
2008-03-26,0.105500
2007-12-24,0.135250
2007-09-25,0.113000
2007-06-26,0.117500
2007-03-27,0.096250
2006-12-22,0.123500
2006-09-26,0.107000
2006-06-27,0.099750
2006-03-28,0.098000
2005-12-23,0.076000
2005-09-27,0.066000
2005-06-27,0.063250
2005-03-28,0.059750
