Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,24.469999,24.50,24.379999,24.42,141100,24.42
2017-03-23,24.42,24.629999,24.41,24.559999,178900,24.391999
2017-03-22,24.32,24.450001,24.26,24.41,97700,24.243025
2017-03-21,24.60,24.700001,24.35,24.379999,236400,24.21323
2017-03-20,24.700001,24.700001,24.50,24.58,179200,24.411863
2017-03-17,24.77,24.85,24.66,24.66,282400,24.491315
2017-03-16,24.719999,24.83,24.719999,24.76,158100,24.590632
2017-03-15,24.57,24.700001,24.530001,24.690001,101300,24.521111
2017-03-14,24.690001,24.690001,24.459999,24.48,164400,24.312546
2017-03-13,24.68,24.75,24.66,24.709999,193200,24.540973
2017-03-10,24.700001,24.74,24.52,24.639999,186800,24.471452
2017-03-09,24.67,24.77,24.540001,24.65,164900,24.481384
2017-03-08,24.809999,24.870001,24.629999,24.639999,269800,24.471452
2017-03-07,24.85,24.860001,24.780001,24.809999,89800,24.640289
2017-03-06,24.76,24.84,24.639999,24.84,169300,24.670084
2017-03-03,24.690001,24.83,24.67,24.799999,104800,24.630357
2017-03-02,24.77,24.809999,24.690001,24.700001,252300,24.531043
2017-03-01,24.690001,24.84,24.610001,24.799999,214400,24.630357
2017-02-28,24.549999,24.66,24.48,24.50,239900,24.33241
2017-02-27,24.74,24.74,24.57,24.67,159800,24.501247
2017-02-24,25.00,25.00,24.639999,24.68,217900,24.511179
2017-02-23,25.27,25.27,25.049999,25.049999,103600,24.878647
2017-02-22,25.200001,25.25,25.139999,25.139999,142800,24.968032
2017-02-21,25.209999,25.299999,25.200001,25.24,122000,25.067348
2017-02-17,25.10,25.16,25.08,25.15,101400,24.977963
2017-02-16,25.17,25.18,25.110001,25.17,95700,24.997827
2017-02-15,25.07,25.16,25.059999,25.139999,102400,24.968032
2017-02-14,25.049999,25.08,24.940001,25.049999,152400,24.878647
2017-02-13,24.99,25.030001,24.98,24.99,125600,24.819058
2017-02-10,24.85,24.959999,24.83,24.950001,176000,24.779333
2017-02-09,24.75,24.799999,24.73,24.77,109200,24.600564
2017-02-08,24.59,24.67,24.450001,24.67,139700,24.501247
2017-02-07,24.540001,24.610001,24.530001,24.58,72000,24.411863
2017-02-06,24.58,24.58,24.469999,24.530001,142800,24.362205
2017-02-03,24.51,24.59,24.43,24.540001,167400,24.372137
2017-02-02,24.459999,24.48,24.40,24.42,77800,24.252957
2017-02-01,24.48,24.48,24.32,24.43,137000,24.262889
2017-01-31,24.450001,24.450001,24.299999,24.40,549600,24.233094
2017-01-30,24.65,24.65,24.370001,24.440001,213500,24.272821
2017-01-27,24.77,24.799999,24.65,24.690001,160400,24.521111
2017-01-26,24.790001,24.809999,24.719999,24.76,129200,24.590632
2017-01-25,24.790001,24.85,24.77,24.799999,116100,24.630357
2017-01-24,24.58,24.76,24.51,24.75,100400,24.5807
2017-01-23,24.620001,24.620001,24.440001,24.540001,166200,24.372137
2017-01-20,24.51,24.67,24.51,24.629999,96700,24.46152
2017-01-19,24.40,24.469999,24.40,24.42,73800,24.252957
2017-01-18,24.440001,24.48,24.360001,24.41,132800,24.243025
2017-01-17,24.52,24.540001,24.440001,24.459999,105300,24.292683
2017-01-16,24.57,24.57,24.450001,24.51,78100,24.342342
2017-01-13,24.440001,24.57,24.43,24.540001,112500,24.372137
2017-01-12,24.559999,24.559999,24.370001,24.440001,123400,24.272821
2017-01-11,24.50,24.540001,24.41,24.530001,123600,24.362205
2017-01-10,24.450001,24.48,24.43,24.440001,96700,24.272821
2017-01-09,24.530001,24.530001,24.370001,24.389999,122000,24.223162
2017-01-06,24.67,24.67,24.52,24.549999,130500,24.382067
2017-01-05,24.610001,24.73,24.610001,24.67,103600,24.501247
2017-01-04,24.450001,24.57,24.42,24.57,183400,24.401931
2017-01-03,24.34,24.459999,24.290001,24.40,207100,24.233094
2016-12-30,24.440001,24.440001,24.190001,24.209999,108700,24.044393
2016-12-29,24.309999,24.42,24.309999,24.40,51800,24.233094
2016-12-28,24.42,24.42,24.280001,24.309999,148600,24.143709
2016-12-23,24.440001,24.450001,24.40,24.41,139800,24.080148
