Date,Open,High,Low,Close,Volume,Adj Close
2016-12-20,15.72,15.72,15.61,15.69,83300,15.69
2016-12-19,15.62,15.76,15.59,15.69,276600,15.69
2016-12-16,15.38,15.62,15.38,15.60,307300,15.60
2016-12-15,15.54,15.55,15.36,15.39,504400,15.39
2016-12-14,15.79,15.80,15.52,15.55,621000,15.55
2016-12-13,15.83,15.86,15.75,15.78,118600,15.78
2016-12-12,15.75,15.80,15.75,15.79,137900,15.79
2016-12-09,15.72,15.82,15.72,15.79,334500,15.79
2016-12-08,15.63,15.77,15.62,15.75,244300,15.75
2016-12-07,15.58,15.65,15.55,15.63,172800,15.63
2016-12-06,15.54,15.59,15.52,15.55,158400,15.55
2016-12-05,15.69,15.69,15.51,15.52,127500,15.52
2016-12-02,15.52,15.68,15.50,15.61,212000,15.61
2016-12-01,15.43,15.50,15.39,15.50,336200,15.50
2016-11-30,15.53,15.54,15.39,15.51,403600,15.51
2016-11-29,15.36,15.57,15.36,15.56,193800,15.56
2016-11-28,15.21,15.42,15.21,15.38,265100,15.38
2016-11-25,15.19,15.27,15.19,15.20,144700,15.20
2016-11-24,15.22,15.23,15.18,15.19,168500,15.19
2016-11-23,15.21,15.28,15.19,15.20,304000,15.20
2016-11-22,15.25,15.37,15.22,15.34,403900,15.271
2016-11-21,15.28,15.31,15.20,15.24,171100,15.171449
2016-11-18,15.19,15.30,15.18,15.22,188200,15.15154
2016-11-17,15.10,15.25,15.09,15.20,259400,15.131629
2016-11-16,15.05,15.12,15.03,15.11,213300,15.042034
2016-11-15,15.11,15.17,15.02,15.02,692600,14.95244
2016-11-14,15.06,15.08,14.85,15.07,878800,15.002214
2016-11-11,15.14,15.17,15.04,15.10,402300,15.03208
2016-11-10,15.56,15.56,15.16,15.19,1344200,15.121674
2016-11-09,15.45,15.59,15.44,15.51,403000,15.440235
2016-11-08,15.57,15.64,15.55,15.62,192400,15.54974
2016-11-07,15.63,15.63,15.52,15.60,706900,15.529831
2016-11-04,15.42,15.60,15.38,15.51,197900,15.440235
2016-11-03,15.42,15.52,15.38,15.43,546200,15.360595
2016-11-02,15.59,15.59,15.40,15.45,357100,15.380505
2016-11-01,15.69,15.70,15.49,15.61,426600,15.539785
2016-10-31,15.71,15.71,15.64,15.71,229900,15.639335
2016-10-28,15.66,15.73,15.64,15.68,185900,15.609471
2016-10-27,15.83,15.85,15.67,15.69,256000,15.619425
2016-10-26,15.90,15.90,15.81,15.83,152000,15.758796
2016-10-25,16.00,16.01,15.93,15.94,75100,15.8683
2016-10-24,16.040001,16.040001,15.94,16.00,156600,15.928031
2016-10-21,16.110001,16.110001,16.040001,16.07,101200,15.929027
2016-10-20,16.030001,16.129999,16.030001,16.07,344400,15.929027
2016-10-19,16.059999,16.08,16.01,16.049999,147900,15.909202
2016-10-18,16.049999,16.059999,15.99,16.049999,119000,15.909202
2016-10-17,15.92,16.030001,15.87,16.01,147800,15.869554
2016-10-14,15.95,16.01,15.88,15.91,269400,15.77043
2016-10-13,15.77,15.96,15.77,15.95,145500,15.81008
2016-10-12,15.58,15.87,15.56,15.83,209800,15.691132
2016-10-11,15.68,15.72,15.57,15.61,113300,15.473062
2016-10-07,15.63,15.73,15.63,15.69,217800,15.55236
2016-10-06,15.56,15.63,15.48,15.61,701700,15.473062
2016-10-05,15.72,15.72,15.55,15.57,372300,15.433413
2016-10-04,15.95,15.95,15.66,15.70,155700,15.562273
2016-10-03,16.120001,16.15,15.95,15.95,198600,15.81008
