Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,39.27,39.360001,39.07,39.200001,62400,39.200001
2017-03-23,39.119999,39.349998,39.110001,39.169998,109500,39.169998
2017-03-22,39.200001,39.25,39.060001,39.130001,212400,39.130001
2017-03-21,39.549999,39.549999,39.119999,39.150002,119600,39.150002
2017-03-20,39.689999,39.73,39.599998,39.630001,27400,39.630001
2017-03-17,39.720001,39.799999,39.630001,39.650002,50100,39.650002
2017-03-16,39.700001,39.740002,39.59,39.740002,50000,39.740002
2017-03-15,39.919998,39.98,39.689999,39.720001,37200,39.720001
2017-03-14,39.950001,39.950001,39.759998,39.880001,29600,39.880001
2017-03-13,39.93,39.939999,39.82,39.900002,31400,39.900002
2017-03-10,39.970001,39.970001,39.799999,39.900002,36300,39.900002
2017-03-09,39.919998,40.009998,39.799999,39.919998,30200,39.919998
2017-03-08,39.880001,40.00,39.810001,39.849998,46900,39.849998
2017-03-07,39.75,39.82,39.650002,39.650002,23500,39.650002
2017-03-06,39.689999,39.860001,39.639999,39.849998,26200,39.849998
2017-03-03,39.860001,39.919998,39.799999,39.82,44800,39.82
2017-03-02,40.02,40.02,39.849998,39.860001,32200,39.860001
2017-03-01,39.639999,40.029999,39.639999,39.93,39400,39.93
2017-02-28,39.009998,39.23,39.00,39.209999,56500,39.209999
2017-02-27,38.68,38.970001,38.66,38.970001,24000,38.970001
2017-02-24,38.509998,38.66,38.50,38.66,35100,38.66
2017-02-23,38.759998,38.759998,38.57,38.689999,37400,38.689999
2017-02-22,38.849998,38.950001,38.77,38.779999,57500,38.779999
2017-02-21,38.619999,38.810001,38.619999,38.779999,44600,38.779999
2017-02-17,38.23,38.400002,38.220001,38.400002,36700,38.400002
2017-02-16,38.279999,38.310001,38.150002,38.310001,38600,38.310001
2017-02-15,38.209999,38.389999,38.18,38.32,69900,38.32
2017-02-14,37.900002,38.119999,37.84,38.110001,24700,38.110001
2017-02-13,37.970001,38.029999,37.919998,37.98,26800,37.98
2017-02-10,37.75,37.860001,37.689999,37.810001,32500,37.810001
2017-02-09,37.540001,37.880001,37.540001,37.830002,26000,37.830002
2017-02-08,37.540001,37.68,37.50,37.630001,34000,37.630001
2017-02-07,37.720001,37.740002,37.610001,37.630001,40200,37.630001
2017-02-06,37.380001,37.549999,37.360001,37.389999,59400,37.389999
2017-02-03,37.200001,37.32,37.150002,37.310001,70600,37.310001
2017-02-02,36.889999,37.029999,36.810001,37.009998,38400,37.009998
2017-02-01,37.25,37.27,37.009998,37.07,43600,37.07
2017-01-31,36.900002,36.959999,36.73,36.939999,54000,36.939999
2017-01-30,37.419998,37.419998,37.00,37.18,51700,37.18
2017-01-27,37.529999,37.560001,37.450001,37.549999,36300,37.549999
2017-01-26,37.48,37.59,37.450001,37.490002,24000,37.490002
2017-01-25,37.450001,37.48,37.349998,37.43,37400,37.43
2017-01-24,37.380001,37.450001,37.139999,37.389999,79500,37.389999
2017-01-23,37.650002,37.650002,37.360001,37.459999,66400,37.459999
2017-01-20,37.759998,37.900002,37.57,37.700001,109100,37.700001
2017-01-19,37.639999,37.709999,37.52,37.560001,41100,37.560001
2017-01-18,37.040001,37.529999,36.939999,37.529999,38400,37.529999
2017-01-17,36.849998,36.990002,36.790001,36.869999,212800,36.869999
2017-01-16,37.380001,37.419998,37.27,37.419998,9700,37.419998
2017-01-13,37.220001,37.32,37.16,37.189999,41900,37.189999
2017-01-12,37.049999,37.16,36.84,37.150002,49700,37.150002
2017-01-11,37.450001,37.610001,37.00,37.330002,58500,37.330002
2017-01-10,37.349998,37.50,37.23,37.389999,36900,37.389999
2017-01-09,37.549999,37.549999,37.400002,37.41,40200,37.41
2017-01-06,37.419998,37.650002,37.240002,37.529999,51700,37.529999
2017-01-05,37.560001,37.560001,37.185001,37.419998,39200,37.419998
2017-01-04,37.529999,37.700001,37.50,37.599998,68100,37.599998
2017-01-03,37.799999,37.830002,37.540001,37.68,110500,37.68
2016-12-30,37.700001,37.715,37.389999,37.459999,29000,37.459999
2016-12-29,37.93,37.93,37.720001,37.810001,63700,37.810001
2016-12-28,38.369999,38.369999,37.950001,37.959999,39100,37.959999
2016-12-23,38.48,38.48,38.360001,38.450001,65600,38.129
2016-12-22,38.34,38.34,38.150002,38.290001,15100,37.970336
2016-12-21,38.139999,38.209999,38.07,38.110001,36600,37.791838
2016-12-20,38.200001,38.240002,38.060001,38.110001,52400,37.791838
2016-12-19,37.950001,38.130001,37.950001,38.099998,25500,37.78192
2016-12-16,38.080002,38.099998,37.790001,37.799999,47000,37.484425
2016-12-15,37.880001,38.18,37.880001,37.900002,39100,37.583592
2016-12-14,37.360001,37.759998,37.27,37.540001,53800,37.226597
2016-12-13,37.27,37.509998,37.27,37.450001,20500,37.137349
2016-12-12,37.23,37.290001,37.150002,37.220001,28400,36.909269
2016-12-09,37.23,37.369999,37.200001,37.369999,14900,37.058015
2016-12-08,37.25,37.330002,37.130001,37.200001,34800,36.889436
2016-12-07,36.880001,37.220001,36.779999,37.209999,43000,36.89935
2016-12-06,36.849998,36.889999,36.720001,36.880001,111300,36.572107
2016-12-05,36.650002,36.759998,36.619999,36.700001,17000,36.39361
2016-12-02,36.50,36.630001,36.50,36.52,13700,36.215112
2016-12-01,36.970001,36.970001,36.580002,36.630001,33300,36.324195
2016-11-30,37.189999,37.259998,37.075001,37.080002,18400,36.770439
2016-11-29,37.200001,37.259998,37.119999,37.16,27400,36.849769
2016-11-28,37.189999,37.200001,37.040001,37.040001,41700,36.730772
2016-11-25,37.389999,37.73,37.360001,37.615002,12100,37.300972
2016-11-24,37.369999,37.389999,37.34,37.360001,11800,37.0481
2016-11-23,37.259998,37.310001,37.139999,37.310001,53400,36.998518
2016-11-22,37.00,37.18,36.98,37.18,14500,36.869602
2016-11-21,36.849998,37.02,36.77,36.959999,39500,36.651438
2016-11-18,37.119999,37.119999,36.939999,36.950001,29200,36.641523
2016-11-17,36.599998,37.049999,36.599998,37.02,7900,36.710938
2016-11-16,36.68,36.689999,36.549999,36.669998,29200,36.363858
2016-11-15,36.779999,36.779999,36.599998,36.779999,19500,36.47294
2016-11-14,36.84,36.93,36.650002,36.75,25300,36.443192
2016-11-11,36.610001,36.68,36.529999,36.66,15100,36.353943
2016-11-10,36.669998,36.82,36.41,36.599998,63600,36.294442
