Date,Open,High,Low,Close,Volume,Adj Close
2017-03-24,14.37,14.41,14.37,14.40,24500,14.40
2017-03-23,14.31,14.41,14.31,14.41,10400,14.41
2017-03-22,14.32,14.39,14.30,14.37,7000,14.37
2017-03-21,14.43,14.45,14.33,14.33,19400,14.33
2017-03-20,14.49,14.49,14.42,14.43,17600,14.43
2017-03-17,14.44,14.47,14.44,14.47,22600,14.47
2017-03-16,14.53,14.53,14.43,14.43,45900,14.43
2017-03-15,14.31,14.53,14.31,14.53,36800,14.53
2017-03-14,14.31,14.33,14.29,14.33,43700,14.33
2017-03-13,14.35,14.37,14.33,14.37,12400,14.37
2017-03-10,14.38,14.40,14.32,14.33,28400,14.33
2017-03-09,14.39,14.39,14.35,14.37,77800,14.37
2017-03-08,14.50,14.50,14.41,14.41,24600,14.41
2017-03-07,14.59,14.59,14.52,14.54,54200,14.54
2017-03-06,14.66,14.67,14.60,14.61,43600,14.61
2017-03-03,14.65,14.67,14.64,14.67,12700,14.67
2017-03-02,14.71,14.71,14.63,14.65,23900,14.65
2017-03-01,14.70,14.72,14.69,14.72,28400,14.72
2017-02-28,14.63,14.65,14.63,14.64,13300,14.64
2017-02-27,14.64,14.64,14.59,14.63,31600,14.63
2017-02-24,14.58,14.62,14.57,14.62,15700,14.62
2017-02-23,14.61,14.61,14.56,14.59,22100,14.59
2017-02-22,14.62,14.67,14.62,14.67,26400,14.603
2017-02-21,14.62,14.67,14.62,14.65,34700,14.583091
2017-02-17,14.58,14.62,14.56,14.62,9500,14.553228
2017-02-16,14.63,14.63,14.53,14.55,42100,14.483548
2017-02-15,14.60,14.62,14.58,14.62,11300,14.553228
2017-02-14,14.59,14.60,14.55,14.60,35700,14.53332
2017-02-13,14.60,14.62,14.56,14.62,30200,14.553228
2017-02-10,14.55,14.58,14.55,14.58,14100,14.513411
2017-02-09,14.55,14.56,14.52,14.54,21500,14.473594
2017-02-08,14.54,14.55,14.51,14.54,19800,14.473594
2017-02-07,14.55,14.55,14.50,14.50,8700,14.433776
2017-02-06,14.56,14.56,14.52,14.54,5300,14.473594
2017-02-03,14.57,14.57,14.53,14.56,16500,14.493503
2017-02-02,14.54,14.55,14.50,14.55,43300,14.483548
2017-02-01,14.55,14.58,14.52,14.58,28100,14.513411
2017-01-31,14.52,14.54,14.50,14.54,22900,14.473594
2017-01-30,14.48,14.53,14.48,14.51,47300,14.443731
2017-01-27,14.53,14.55,14.48,14.55,34300,14.483548
2017-01-26,14.55,14.55,14.49,14.54,18600,14.473594
2017-01-25,14.57,14.58,14.54,14.58,30800,14.446717
2017-01-24,14.53,14.57,14.51,14.57,42900,14.436808
2017-01-23,14.52,14.53,14.50,14.53,26200,14.397174
2017-01-20,14.48,14.53,14.46,14.53,22000,14.397174
2017-01-19,14.53,14.53,14.48,14.48,33800,14.347631
2017-01-18,14.50,14.53,14.49,14.53,30200,14.397174
2017-01-17,14.54,14.58,14.47,14.53,49500,14.397174
2017-01-16,14.54,14.57,14.50,14.51,14800,14.377357
2017-01-13,14.52,14.54,14.51,14.54,33000,14.407082
2017-01-12,14.55,14.55,14.51,14.53,13100,14.397174
2017-01-11,14.57,14.57,14.51,14.54,17200,14.407082
2017-01-10,14.53,14.56,14.51,14.52,93600,14.387266
2017-01-09,14.53,14.53,14.47,14.47,49900,14.337723
2017-01-06,14.48,14.54,14.48,14.54,12700,14.407082
2017-01-05,14.55,14.55,14.47,14.52,31700,14.387266
2017-01-04,14.52,14.55,14.50,14.55,28600,14.416991
2017-01-03,14.42,14.47,14.39,14.45,25000,14.317905
2016-12-30,14.39,14.41,14.38,14.41,2700,14.278271
2016-12-29,14.41,14.41,14.38,14.40,12500,14.268362
2016-12-28,14.34,14.36,14.32,14.34,25900,14.208911
2016-12-23,14.30,14.41,14.30,14.41,11700,14.278271
2016-12-22,14.43,14.45,14.40,14.42,20400,14.211884
2016-12-21,14.43,14.47,14.40,14.43,14900,14.221739
2016-12-20,14.38,14.45,14.38,14.45,30400,14.24145
2016-12-19,14.36,14.42,14.32,14.41,20600,14.202028
2016-12-16,14.33,14.38,14.31,14.31,29200,14.103471
2016-12-15,14.28,14.35,14.28,14.32,26700,14.113326
2016-12-14,14.39,14.43,14.30,14.31,30500,14.103471
2016-12-13,14.39,14.45,14.39,14.42,24300,14.211884
2016-12-12,14.39,14.40,14.33,14.34,21500,14.133038
2016-12-09,14.44,14.44,14.37,14.37,42500,14.162605
2016-12-08,14.38,14.44,14.34,14.42,32800,14.211884
2016-12-07,14.34,14.40,14.33,14.38,70700,14.172461
2016-12-06,14.25,14.30,14.24,14.30,107700,14.093616
2016-12-05,14.23,14.26,14.23,14.25,14100,14.044337
2016-12-02,14.13,14.24,14.13,14.24,18400,14.034481
2016-12-01,14.19,14.20,14.15,14.15,23800,13.94578
2016-11-30,14.18,14.25,14.16,14.25,13700,14.044337
2016-11-29,14.18,14.20,14.15,14.20,20300,13.995058
2016-11-28,14.21,14.24,14.16,14.21,30600,14.004914
2016-11-25,14.20,14.26,14.18,14.26,17300,14.054193
2016-11-24,14.28,14.32,14.23,14.29,20800,14.015756
2016-11-23,14.22,14.23,14.19,14.23,13000,13.956907
2016-11-22,14.20,14.30,14.20,14.28,19400,14.005948
2016-11-21,14.15,14.26,14.11,14.26,14800,13.986332
2016-11-18,14.10,14.15,14.08,14.15,14100,13.878442
2016-11-17,14.19,14.19,14.09,14.09,24000,13.819594
2016-11-16,14.10,14.14,14.09,14.11,15100,13.83921
2016-11-15,14.05,14.16,14.05,14.12,33000,13.849018
2016-11-14,13.81,13.95,13.81,13.93,92400,13.662665
2016-11-11,14.02,14.02,13.80,13.80,25600,13.53516
2016-11-10,14.15,14.16,14.02,14.03,80500,13.760745
2016-11-09,14.19,14.30,14.18,14.18,61800,13.907867
2016-11-08,14.30,14.30,14.27,14.28,18600,14.005948
2016-11-07,14.23,14.33,14.23,14.33,23700,14.054988
2016-11-04,14.11,14.19,14.11,14.14,35900,13.868635
2016-11-03,14.18,14.18,14.13,14.14,17700,13.868635
2016-11-02,14.19,14.19,14.15,14.15,24800,13.878442
2016-11-01,14.32,14.32,14.16,14.20,26800,13.927483
2016-10-31,14.31,14.32,14.27,14.27,44700,13.99614
2016-10-28,14.38,14.39,14.33,14.34,31100,14.064797
2016-10-27,14.47,14.47,14.39,14.40,12100,14.123645
2016-10-26,14.49,14.50,14.45,14.47,35700,14.192302
2016-10-25,14.58,14.59,14.56,14.59,16200,14.243303
2016-10-24,14.55,14.58,14.53,14.58,24200,14.233541
2016-10-21,14.54,14.56,14.52,14.56,15900,14.214016
2016-10-20,14.50,14.56,14.50,14.56,19500,14.214016
2016-10-19,14.46,14.57,14.46,14.56,32500,14.214016
2016-10-18,14.49,14.50,14.45,14.50,11300,14.155442
2016-10-17,14.44,14.44,14.39,14.42,24800,14.077343
2016-10-14,14.47,14.49,14.43,14.43,20900,14.087105
