Date,Open,High,Low,Close,Volume,Adj Close
2016-12-07,12.83,12.86,12.82,12.82,70600,12.82
2016-12-06,12.85,12.88,12.85,12.85,44300,12.85
2016-12-05,12.87,12.88,12.85,12.86,64100,12.86
2016-12-02,12.92,12.92,12.88,12.89,81200,12.89
2016-12-01,12.88,12.91,12.83,12.91,88800,12.91
2016-11-30,12.80,12.86,12.80,12.86,55500,12.86
2016-11-29,12.76,12.82,12.76,12.82,71300,12.82
2016-11-28,12.80,12.81,12.76,12.80,112800,12.80
2016-11-25,12.75,12.80,12.75,12.78,71100,12.78
2016-11-24,12.74,12.76,12.72,12.76,59800,12.76
2016-11-23,12.80,12.80,12.72,12.74,199800,12.74
2016-11-22,12.78,12.82,12.78,12.82,118800,12.768
2016-11-21,12.75,12.81,12.75,12.79,148900,12.738122
2016-11-18,12.76,12.78,12.74,12.75,163200,12.698284
2016-11-17,12.74,12.77,12.66,12.73,597500,12.678365
2016-11-16,12.90,12.90,12.73,12.74,236900,12.688324
2016-11-15,13.05,13.05,12.89,12.89,196600,12.837716
2016-11-14,13.12,13.12,13.00,13.00,185000,12.94727
2016-11-11,13.03,13.09,13.03,13.06,50500,13.007027
2016-11-10,12.96,13.09,12.96,13.08,172800,13.026945
2016-11-09,12.93,12.98,12.91,12.98,315800,12.927351
2016-11-08,12.94,12.94,12.91,12.94,69800,12.887513
2016-11-07,12.95,12.97,12.93,12.95,143300,12.897473
2016-11-04,12.97,12.99,12.94,12.94,117300,12.887513
2016-11-03,12.99,13.00,12.97,12.98,180600,12.927351
2016-11-02,12.94,12.97,12.94,12.95,72700,12.897473
2016-11-01,12.97,13.00,12.97,12.97,58100,12.917392
2016-10-31,12.97,12.99,12.96,12.98,76200,12.927351
2016-10-28,12.95,12.96,12.94,12.96,40700,12.907432
2016-10-27,12.93,12.95,12.92,12.94,89200,12.887513
2016-10-26,12.91,12.93,12.90,12.93,78000,12.877554
2016-10-25,12.92,12.93,12.89,12.91,55400,12.857635
2016-10-24,12.97,12.98,12.91,12.93,72500,12.877554
2016-10-21,13.01,13.01,12.98,12.99,258700,12.885521
2016-10-20,12.99,13.01,12.99,13.01,106100,12.905361
2016-10-19,12.95,12.98,12.90,12.97,112300,12.865683
2016-10-18,12.93,12.93,12.91,12.92,77300,12.816085
2016-10-17,12.88,12.92,12.86,12.90,187800,12.796245
2016-10-14,12.75,12.87,12.75,12.85,186000,12.746648
2016-10-13,12.73,12.74,12.70,12.74,58400,12.637532
2016-10-12,12.71,12.72,12.69,12.72,126500,12.617693
2016-10-11,12.72,12.74,12.70,12.71,196700,12.607774
2016-10-07,12.67,12.71,12.67,12.71,207200,12.607774
2016-10-06,12.71,12.71,12.68,12.69,51700,12.587934
2016-10-05,12.68,12.69,12.67,12.68,151000,12.578015
2016-10-04,12.75,12.75,12.66,12.66,241500,12.558176
2016-10-03,12.76,12.76,12.72,12.74,103500,12.637532
2016-09-30,12.73,12.77,12.73,12.76,79000,12.657372
2016-09-29,12.74,12.74,12.72,12.73,49700,12.627612
2016-09-28,12.72,12.73,12.70,12.73,82300,12.627612
2016-09-27,12.68,12.69,12.67,12.69,40500,12.587934
2016-09-26,12.70,12.70,12.66,12.68,60400,12.578015
2016-09-23,12.70,12.70,12.67,12.68,131100,12.578015
2016-09-22,12.68,12.69,12.67,12.69,92600,12.587934
2016-09-21,12.63,12.68,12.63,12.67,116600,12.568095
2016-09-20,12.63,12.66,12.63,12.64,58000,12.538337
2016-09-19,12.61,12.64,12.61,12.63,48300,12.528417
2016-09-16,12.62,12.67,12.59,12.61,146900,12.508578
2016-09-15,12.62,12.62,12.59,12.61,54100,12.508578
2016-09-14,12.67,12.67,12.59,12.60,165900,12.498659
2016-09-13,12.72,12.72,12.66,12.67,720000,12.512546
2016-09-12,12.66,12.72,12.66,12.70,427800,12.542173
2016-09-09,12.75,12.78,12.71,12.72,145400,12.561925
2016-09-08,12.73,12.74,12.66,12.74,63900,12.581676
2016-09-07,12.78,12.78,12.65,12.67,305200,12.512546
2016-09-06,12.82,12.82,12.77,12.78,88900,12.621178
2016-09-02,12.82,12.85,12.80,12.80,167400,12.64093
2016-09-01,12.83,12.83,12.81,12.83,265800,12.670557
2016-08-31,12.83,12.84,12.81,12.82,68200,12.660681
2016-08-30,12.83,12.83,12.80,12.83,55200,12.670557
2016-08-29,12.88,12.88,12.80,12.81,308000,12.650806
2016-08-26,12.92,12.92,12.82,12.86,66800,12.700184
2016-08-25,12.86,12.87,12.83,12.84,91200,12.680433
2016-08-24,12.90,12.91,12.82,12.84,71200,12.680433
2016-08-23,13.02,13.02,12.93,12.94,262000,12.723886
2016-08-22,12.98,13.02,12.98,13.02,59300,12.802551
2016-08-19,13.00,13.02,12.97,13.00,102400,12.782884
2016-08-18,13.03,13.03,12.98,13.01,33800,12.792717
2016-08-17,12.98,13.03,12.98,13.02,97600,12.802551
2016-08-16,13.03,13.03,12.99,13.02,36500,12.802551
2016-08-15,13.02,13.03,13.00,13.02,89900,12.802551
2016-08-12,13.00,13.03,12.95,13.00,39700,12.782884
2016-08-11,13.01,13.03,13.00,13.00,88100,12.782884
2016-08-10,13.09,13.09,13.02,13.03,131000,12.812383
2016-08-09,13.04,13.08,13.02,13.08,101800,12.861548
2016-08-08,12.99,13.06,12.97,13.01,261800,12.792717
2016-08-05,12.90,12.97,12.88,12.96,77500,12.743552
2016-08-04,12.79,12.88,12.79,12.86,63700,12.645222
2016-08-03,12.78,12.82,12.76,12.81,73400,12.596058
2016-08-02,12.77,12.77,12.74,12.77,261300,12.556726
2016-07-29,12.74,12.75,12.72,12.74,54200,12.527226
2016-07-28,12.71,12.74,12.70,12.74,103700,12.527226
2016-07-27,12.73,12.73,12.69,12.72,81400,12.507561
2016-07-26,12.66,12.70,12.64,12.70,92000,12.487894
2016-07-25,12.69,12.69,12.65,12.66,60000,12.448562
2016-07-22,12.67,12.67,12.61,12.65,117500,12.438729
2016-07-21,12.62,12.67,12.62,12.66,93300,12.393497
2016-07-20,12.55,12.65,12.51,12.63,120000,12.364129
2016-07-19,12.53,12.53,12.51,12.51,33900,12.246655
2016-07-18,12.52,12.55,12.51,12.51,45400,12.246655
2016-07-15,12.49,12.53,12.49,12.50,89700,12.236866
2016-07-14,12.48,12.53,12.45,12.49,44600,12.227076
2016-07-13,12.45,12.45,12.41,12.43,50900,12.168339
2016-07-12,12.38,12.44,12.37,12.41,94800,12.14876
2016-07-11,12.28,12.36,12.28,12.36,39500,12.099812
2016-07-08,12.29,12.33,12.28,12.31,32500,12.050866
2016-07-07,12.23,12.30,12.23,12.28,67100,12.021497
2016-07-06,12.29,12.29,12.23,12.23,106400,11.972549
2016-07-05,12.40,12.40,12.31,12.32,97900,12.060654
2016-07-04,12.40,12.40,12.35,12.38,32000,12.119392
2016-06-30,12.30,12.36,12.30,12.34,91600,12.080234
2016-06-29,12.20,12.33,12.20,12.30,66700,12.041076
2016-06-28,12.14,12.21,12.14,12.21,102900,11.95297
2016-06-27,12.15,12.28,12.12,12.15,80400,11.894233
2016-06-24,12.06,12.20,12.06,12.20,131600,11.943181
2016-06-23,12.27,12.37,12.27,12.36,45300,12.099812
2016-06-22,12.23,12.26,12.22,12.23,56300,11.972549
2016-06-21,12.17,12.23,12.17,12.23,55300,11.972549
2016-06-20,12.09,12.20,12.06,12.18,112900,11.923602
2016-06-17,12.15,12.16,12.03,12.04,57200,11.786549
2016-06-16,12.26,12.26,11.90,12.13,509600,11.874654
2016-06-15,12.41,12.41,12.30,12.30,60700,12.041076
2016-06-14,12.49,12.49,12.42,12.44,84100,12.127223
2016-06-13,12.57,12.57,12.46,12.46,63000,12.146721
2016-06-10,12.59,12.59,12.54,12.55,52000,12.234458
2016-06-09,12.55,12.58,12.54,12.58,81400,12.263704
2016-06-08,12.58,12.58,12.53,12.53,69600,12.214961
2016-06-07,12.56,12.56,12.52,12.56,89200,12.244207
2016-06-06,12.51,12.54,12.51,12.54,26000,12.224709
2016-06-03,12.56,12.56,12.49,12.49,52400,12.175966
2016-06-02,12.60,12.60,12.52,12.52,60100,12.205213
2016-06-01,12.42,12.56,12.42,12.56,98900,12.244207
2016-05-31,12.48,12.50,12.43,12.49,340900,12.175966
2016-05-30,12.49,12.49,12.46,12.47,94500,12.15647
2016-05-27,12.46,12.47,12.43,12.46,91100,12.146721
2016-05-26,12.39,12.43,12.38,12.43,109100,12.117475
2016-05-25,12.35,12.39,12.35,12.39,85400,12.078481
2016-05-24,12.38,12.39,12.32,12.36,97600,12.049235
2016-05-20,12.40,12.41,12.37,12.41,33100,12.047285
2016-05-19,12.33,12.37,12.29,12.37,664100,12.008454
2016-05-18,12.36,12.38,12.33,12.35,126400,11.989039
2016-05-17,12.40,12.40,12.34,12.35,82100,11.989039
2016-05-16,12.40,12.43,12.37,12.39,110700,12.02787
2016-05-13,12.41,12.42,12.38,12.39,189700,12.02787
2016-05-12,12.43,12.43,12.38,12.41,59000,12.047285
2016-05-11,12.37,12.42,12.37,12.40,73600,12.037577
2016-05-10,12.45,12.45,12.41,12.42,96400,12.056993
2016-05-09,12.49,12.49,12.40,12.40,60600,12.037577
2016-05-06,12.49,12.49,12.43,12.47,35800,12.105532
2016-05-05,12.50,12.50,12.44,12.46,43900,12.095824
2016-05-04,12.42,12.49,12.42,12.49,37700,12.124947
2016-05-03,12.46,12.49,12.42,12.45,67100,12.086116
2016-05-02,12.48,12.49,12.45,12.49,40800,12.124947
2016-04-29,12.48,12.52,12.47,12.51,85800,12.144363
2016-04-28,12.48,12.50,12.45,12.46,91800,12.095824
2016-04-27,12.43,12.48,12.43,12.47,92700,12.105532
2016-04-26,12.43,12.46,12.43,12.45,91400,12.086116
