Date,Open,High,Low,Close,Volume,Adj Close
2016-12-07,22.33,22.52,22.209999,22.52,10800,22.52
2016-12-06,22.120001,22.17,22.120001,22.139999,5600,22.139999
2016-12-05,21.98,22.110001,21.91,22.110001,18700,22.110001
2016-12-02,21.860001,21.91,21.809999,21.83,16100,21.83
2016-12-01,21.969999,21.969999,21.780001,21.780001,16500,21.780001
2016-11-30,22.059999,22.08,22.00,22.02,17200,22.02
2016-11-29,22.08,22.09,21.98,22.08,19200,22.08
2016-11-28,21.969999,21.969999,21.82,21.879999,11400,21.879999
2016-11-25,22.040001,22.440001,22.040001,22.440001,5000,22.440001
2016-11-24,21.90,21.90,21.780001,21.780001,3600,21.780001
2016-11-23,21.969999,22.02,21.91,22.02,18200,22.02
2016-11-22,21.969999,22.08,21.93,22.08,13900,22.08
2016-11-21,21.90,21.92,21.799999,21.92,13400,21.92
2016-11-18,22.00,22.00,21.90,21.959999,7200,21.897
2016-11-17,22.02,22.17,22.02,22.17,14100,22.106398
2016-11-16,21.959999,21.959999,21.940001,21.940001,6400,21.877058
2016-11-15,22.08,22.25,22.059999,22.25,9200,22.186169
2016-11-14,22.34,22.360001,22.26,22.34,14100,22.27591
2016-11-11,22.26,22.379999,22.25,22.379999,11500,22.315795
2016-11-10,22.379999,22.459999,22.299999,22.440001,26600,22.375624
2016-11-09,22.370001,22.549999,22.33,22.459999,13100,22.395565
2016-11-08,22.26,22.32,22.24,22.299999,14700,22.236024
2016-11-07,22.190001,22.34,22.190001,22.34,8300,22.27591
2016-11-04,22.120001,22.16,22.01,22.08,6000,22.016656
2016-11-03,22.200001,22.27,22.110001,22.110001,8200,22.046571
2016-11-02,22.309999,22.32,22.280001,22.299999,4300,22.236024
2016-11-01,22.34,22.34,22.190001,22.219999,14400,22.156254
2016-10-31,22.34,22.42,22.299999,22.370001,6600,22.305825
2016-10-28,22.27,22.290001,22.18,22.290001,5600,22.226055
2016-10-27,22.48,22.48,22.34,22.389999,5000,22.325766
2016-10-26,22.40,22.42,22.309999,22.41,13300,22.345709
2016-10-25,22.389999,22.41,22.299999,22.41,12600,22.345709
2016-10-24,22.440001,22.440001,22.33,22.360001,14600,22.295854
2016-10-21,22.26,22.370001,22.209999,22.27,102700,22.206112
2016-10-20,22.059999,22.370001,22.059999,22.370001,25200,22.245997
2016-10-19,22.200001,22.219999,22.049999,22.129999,3100,22.007326
2016-10-18,22.049999,22.190001,22.049999,22.17,3000,22.047105
2016-10-17,22.059999,22.059999,21.879999,21.959999,19200,21.838268
2016-10-14,22.16,22.16,22.059999,22.059999,3900,21.937714
2016-10-13,22.15,22.15,22.049999,22.049999,9300,21.92777
2016-10-12,22.33,22.33,22.24,22.33,19400,22.206218
2016-10-11,22.43,22.43,22.18,22.290001,17700,22.166441
2016-10-07,22.40,22.49,22.360001,22.459999,3500,22.335497
2016-10-06,22.52,22.530001,22.52,22.530001,2100,22.40511
2016-10-05,22.719999,22.75,22.690001,22.74,9900,22.613945
2016-10-04,22.67,22.75,22.639999,22.700001,14300,22.574168
2016-10-03,22.52,22.530001,22.469999,22.50,7500,22.375276
2016-09-30,22.389999,22.68,22.379999,22.68,25400,22.554278
2016-09-29,22.549999,22.549999,22.35,22.35,19400,22.226108
2016-09-28,22.639999,22.700001,22.610001,22.66,19200,22.534389
2016-09-27,22.48,22.66,22.48,22.620001,9900,22.494612
2016-09-26,22.41,22.450001,22.379999,22.450001,25100,22.325554
2016-09-23,22.49,22.58,22.459999,22.52,12600,22.395166
2016-09-22,22.549999,22.549999,22.50,22.50,5400,22.375276
2016-09-21,22.52,22.530001,22.41,22.52,4300,22.325553
2016-09-20,22.360001,22.370001,22.26,22.290001,4200,22.097539
2016-09-19,22.200001,22.25,22.10,22.200001,10700,22.008316
2016-09-16,22.07,22.07,21.870001,21.879999,13200,21.691077
2016-09-15,22.07,22.209999,22.07,22.209999,800,22.018228
2016-09-14,22.129999,22.200001,22.10,22.200001,8100,22.008316
2016-09-13,22.27,22.27,22.01,22.110001,8100,21.919093
2016-09-12,22.219999,22.379999,22.15,22.379999,13600,22.18676
2016-09-09,22.459999,22.459999,22.16,22.16,20400,21.96866
2016-09-08,22.469999,22.469999,22.32,22.43,9100,22.23633
2016-09-07,22.299999,22.469999,22.299999,22.469999,4500,22.275983
2016-09-06,22.280001,22.280001,22.10,22.219999,3000,22.028142
2016-09-02,22.25,22.379999,22.25,22.379999,1800,22.18676
2016-09-01,22.25,22.26,22.190001,22.24,3600,22.04797
2016-08-31,22.16,22.16,22.030001,22.07,2900,21.879437
2016-08-30,22.17,22.190001,22.09,22.18,4100,21.988488
2016-08-29,22.059999,22.129999,22.02,22.129999,3400,21.938919
2016-08-26,21.950001,22.120001,21.90,21.93,12700,21.740647
2016-08-25,21.959999,21.969999,21.91,21.940001,7200,21.750561
2016-08-24,22.17,22.18,21.99,21.99,1800,21.800128
2016-08-23,22.129999,22.129999,22.10,22.10,1700,21.909179
2016-08-22,21.93,22.10,21.93,22.10,1000,21.839783
2016-08-19,21.93,22.02,21.90,22.02,4500,21.760725
2016-08-18,21.950001,22.059999,21.950001,22.059999,5200,21.800253
2016-08-17,21.790001,21.950001,21.790001,21.90,1400,21.642137
2016-08-16,22.00,22.00,21.91,21.91,1800,21.65202
2016-08-15,22.200001,22.200001,22.139999,22.139999,1300,21.879311
2016-08-12,22.10,22.139999,22.10,22.139999,700,21.879311
2016-08-11,22.26,22.42,22.10,22.42,6900,22.156015
2016-08-10,22.299999,22.299999,22.15,22.18,4600,21.918841
2016-08-09,22.200001,22.299999,22.200001,22.299999,3500,22.037427
2016-08-08,22.139999,22.139999,22.049999,22.049999,3300,21.790371
2016-08-05,22.00,22.15,22.00,22.10,4500,21.839783
2016-08-04,21.870001,21.870001,21.690001,21.74,3800,21.484021
2016-08-03,21.83,21.91,21.83,21.91,6300,21.65202
2016-08-02,21.92,21.940001,21.809999,21.879999,26100,21.622372
2016-07-29,22.18,22.190001,22.10,22.10,2600,21.839783
2016-07-28,22.15,22.15,22.01,22.059999,9000,21.800253
2016-07-27,22.219999,22.23,22.219999,22.23,2900,21.968252
2016-07-26,22.209999,22.209999,22.08,22.16,10400,21.899076
2016-07-25,22.01,22.09,22.01,22.08,4400,21.820018
2016-07-22,21.82,22.059999,21.82,22.02,8400,21.760725
2016-07-21,21.84,21.84,21.639999,21.82,2900,21.563079
2016-07-20,21.950001,22.030001,21.90,22.030001,12100,21.701433
2016-07-19,21.65,21.700001,21.51,21.629999,7400,21.307397
2016-07-18,21.700001,21.860001,21.700001,21.75,5100,21.425608
2016-07-15,21.57,21.719999,21.559999,21.620001,8200,21.297548
2016-07-14,21.790001,21.940001,21.620001,21.67,22300,21.346801
2016-07-13,21.860001,21.91,21.629999,21.73,6000,21.405906
2016-07-12,21.879999,21.879999,21.790001,21.809999,9400,21.484713
2016-07-11,21.59,21.780001,21.59,21.780001,10400,21.455161
2016-07-08,21.200001,21.450001,21.200001,21.450001,6200,21.130083
2016-07-07,21.02,21.040001,20.92,21.00,14000,20.686794
2016-07-06,20.950001,20.959999,20.85,20.950001,5800,20.63754
2016-07-05,21.040001,21.16,20.98,21.139999,13500,20.824705
2016-07-04,21.370001,21.370001,21.040001,21.049999,4000,20.736048
2016-06-30,21.07,21.33,21.01,21.200001,23700,20.883812
2016-06-29,21.110001,21.110001,20.98,20.98,9700,20.667092
2016-06-28,20.73,20.77,20.620001,20.75,27100,20.440523
2016-06-27,20.190001,20.190001,19.870001,20.02,30800,19.721411
2016-06-24,20.51,20.66,20.26,20.379999,43900,20.07604
2016-06-23,21.620001,21.790001,21.51,21.75,80300,21.425608
2016-06-22,21.370001,21.40,21.370001,21.40,1400,21.080828
2016-06-21,21.34,21.59,21.34,21.450001,3700,21.061127
2016-06-20,21.450001,21.450001,21.309999,21.309999,5700,20.923664
2016-06-17,20.809999,20.959999,20.690001,20.959999,5800,20.580009
2016-06-16,20.67,20.860001,20.50,20.860001,17900,20.481824
2016-06-15,20.719999,20.860001,20.719999,20.84,9000,20.462186
2016-06-14,20.48,20.50,20.389999,20.50,10400,20.12835
2016-06-13,20.82,20.82,20.690001,20.73,5100,20.354179
2016-06-10,21.10,21.10,20.93,20.99,6000,20.609466
2016-06-09,21.59,21.59,21.41,21.50,7800,21.11022
2016-06-08,21.690001,21.719999,21.610001,21.700001,5200,21.306595
2016-06-07,21.75,21.82,21.690001,21.690001,18900,21.296776
2016-06-06,21.809999,21.809999,21.639999,21.639999,10600,21.247682
2016-06-03,21.67,21.690001,21.540001,21.690001,6600,21.296776
2016-06-02,21.709999,21.860001,21.709999,21.85,8700,21.453875
2016-06-01,21.799999,21.85,21.700001,21.799999,26300,21.404781
2016-05-31,21.99,22.00,21.85,21.889999,6700,21.493149
2016-05-30,21.799999,21.799999,21.799999,21.799999,800,21.404781
2016-05-27,21.85,21.879999,21.75,21.799999,15900,21.404781
2016-05-26,21.700001,21.75,21.67,21.75,11900,21.355688
2016-05-25,21.870001,21.870001,21.799999,21.799999,1400,21.404781
2016-05-24,21.74,21.84,21.68,21.73,21600,21.33605
2016-05-20,21.620001,21.74,21.620001,21.690001,6200,21.237864
2016-05-19,21.57,21.57,21.41,21.459999,7400,21.012657
2016-05-18,21.459999,21.65,21.459999,21.639999,7000,21.188905
2016-05-17,21.59,21.59,21.379999,21.379999,11000,20.934324
2016-05-16,21.34,21.469999,21.34,21.469999,4500,21.022448
2016-05-13,21.459999,21.459999,21.33,21.389999,12900,20.944116
2016-05-12,21.530001,21.530001,21.34,21.42,6800,20.973491
2016-05-11,21.540001,21.540001,21.35,21.440001,7300,20.993075
2016-05-10,21.610001,21.780001,21.610001,21.75,28800,21.296612
2016-05-09,21.67,21.67,21.549999,21.549999,15600,21.100781
2016-05-06,21.40,21.559999,21.35,21.52,9100,21.071407
2016-05-05,21.41,21.41,21.299999,21.32,11900,20.875575
2016-05-04,21.42,21.50,21.42,21.42,8900,20.973491
2016-05-03,21.43,21.48,21.299999,21.360001,5300,20.914743
2016-05-02,21.43,21.65,21.43,21.65,9000,21.198696
2016-04-29,21.110001,21.17,21.030001,21.15,12100,20.709119
2016-04-28,21.35,21.40,21.16,21.209999,19500,20.767868
2016-04-27,21.559999,21.690001,21.559999,21.690001,3000,21.237864
2016-04-26,21.60,21.700001,21.57,21.57,14100,21.120364
2016-04-25,21.709999,21.719999,21.59,21.59,5800,21.139948
2016-04-22,21.799999,21.84,21.75,21.799999,2900,21.345569
2016-04-21,22.00,22.139999,21.889999,22.120001,5500,21.6589
2016-04-20,22.049999,22.059999,22.00,22.00,7400,21.477756
2016-04-19,22.059999,22.059999,21.969999,21.98,5400,21.45823
2016-04-18,21.870001,22.07,21.870001,22.00,12800,21.477756
2016-04-15,21.90,21.93,21.85,21.85,7400,21.331317
2016-04-14,21.790001,21.860001,21.790001,21.860001,7700,21.34108
2016-04-13,21.60,21.75,21.549999,21.74,6200,21.223927
2016-04-12,21.41,21.41,21.299999,21.34,6100,20.833423
2016-04-11,21.469999,21.469999,21.200001,21.24,21800,20.735796
2016-04-08,21.450001,21.59,21.42,21.42,23500,20.911524
2016-04-07,21.469999,21.469999,21.35,21.35,3400,20.843186
2016-04-06,21.370001,21.51,21.35,21.51,7300,20.999388
2016-04-05,21.370001,21.370001,21.200001,21.200001,6400,20.696747
2016-04-04,21.60,21.60,21.50,21.58,10300,21.067726
2016-04-01,21.389999,21.50,21.370001,21.459999,9600,20.950573
2016-03-31,21.60,21.700001,21.51,21.629999,9400,21.116538
2016-03-30,21.75,21.799999,21.700001,21.76,12200,21.243453
2016-03-29,21.60,21.74,21.60,21.719999,11800,21.204402
2016-03-28,21.83,21.83,21.700001,21.709999,7500,21.194639
2016-03-24,21.66,21.700001,21.620001,21.700001,11500,21.184878
2016-03-23,21.879999,21.940001,21.83,21.83,12700,21.311791
2016-03-22,21.74,21.83,21.66,21.67,32400,21.155589
2016-03-21,21.99,22.02,21.870001,21.98,15100,21.397701
2016-03-18,21.82,22.049999,21.74,22.030001,31300,21.446378
2016-03-17,21.709999,21.889999,21.65,21.870001,12300,21.290617
2016-03-16,21.879999,22.00,21.77,21.85,16600,21.271146
2016-03-15,21.98,22.040001,21.98,22.00,22900,21.417172
2016-03-14,22.01,22.15,22.01,22.15,5100,21.563198
2016-03-11,22.00,22.209999,22.00,22.200001,5200,21.611874
2016-03-10,21.950001,21.950001,21.66,21.73,12900,21.154325
2016-03-09,21.84,21.940001,21.57,21.639999,12300,21.066709
2016-03-08,21.82,21.84,21.75,21.82,5800,21.24194
2016-03-07,21.50,21.74,21.50,21.690001,3700,21.115385
2016-03-04,21.90,21.940001,21.82,21.82,12500,21.24194
2016-03-03,21.719999,21.75,21.65,21.75,4500,21.173795
2016-03-02,21.41,21.559999,21.41,21.559999,9500,20.988828
2016-03-01,21.25,21.40,21.25,21.35,5200,20.784392
2016-02-29,21.15,21.15,21.00,21.059999,8800,20.502074
2016-02-26,21.26,21.35,21.209999,21.209999,15400,20.6481
2016-02-25,21.34,21.370001,21.190001,21.33,10900,20.764922
2016-02-24,21.290001,21.370001,21.129999,21.17,22800,20.609161
2016-02-23,21.73,21.75,21.50,21.51,24700,20.940153
2016-02-22,21.74,21.799999,21.65,21.700001,22900,21.067684
2016-02-19,21.629999,21.68,21.559999,21.65,10800,21.019139
2016-02-18,21.74,21.74,21.530001,21.620001,17100,20.990015
2016-02-17,21.799999,21.82,21.66,21.74,7900,21.106517
2016-02-16,21.50,21.66,21.50,21.610001,30500,20.980306
2016-02-12,20.93,21.200001,20.90,21.129999,41600,20.514291
2016-02-11,20.969999,20.99,20.73,20.90,19600,20.290994
2016-02-10,21.370001,21.50,21.200001,21.200001,27800,20.582253
2016-02-09,21.120001,21.34,20.940001,21.299999,20800,20.679338
2016-02-08,21.629999,21.629999,21.25,21.58,11100,20.951179
2016-02-05,21.74,21.790001,21.68,21.709999,22600,21.077391
2016-02-04,21.40,21.799999,21.40,21.700001,13100,21.067684
2016-02-03,21.82,21.82,21.35,21.74,27400,21.106517
2016-02-02,22.209999,22.219999,21.73,22.00,15400,21.358941
2016-02-01,22.15,22.24,22.120001,22.219999,19600,21.57253
2016-01-29,21.98,22.34,21.98,22.290001,20300,21.640492
2016-01-28,21.75,21.809999,21.65,21.75,35600,21.116226
2016-01-27,21.799999,22.049999,21.75,21.75,18100,21.116226
2016-01-26,21.809999,21.98,21.75,21.98,19300,21.339523
2016-01-25,21.790001,21.91,21.75,21.75,32400,21.116226
2016-01-22,21.809999,21.870001,21.75,21.83,12600,21.193895
2016-01-21,21.629999,21.629999,21.34,21.43,29200,20.805551
2016-01-20,21.99,21.99,21.40,21.67,15900,20.981277
2016-01-19,22.110001,22.370001,21.92,22.02,20700,21.320154
2016-01-18,22.059999,22.299999,21.92,22.23,10800,21.523478
2016-01-15,22.049999,22.120001,21.780001,21.780001,9900,21.087782
2016-01-14,22.26,22.530001,22.110001,22.50,24000,21.784898
2016-01-13,22.40,22.40,22.09,22.15,15300,21.446021
2016-01-12,22.370001,22.40,22.18,22.40,40000,21.688075
2016-01-11,22.139999,22.24,22.049999,22.23,25900,21.523478
2016-01-08,22.35,22.35,21.85,21.950001,13800,21.252379
2016-01-07,22.25,22.26,22.120001,22.16,10000,21.455703
2016-01-06,22.50,22.620001,22.469999,22.549999,34900,21.833308
2016-01-05,22.709999,22.85,22.58,22.85,18700,22.123774
2016-01-04,22.75,22.75,22.50,22.66,35400,21.939812
2015-12-31,23.129999,23.129999,22.940001,22.940001,6700,22.210914
2015-12-30,23.379999,23.41,23.139999,23.139999,6700,22.404556
2015-12-29,23.32,23.32,23.23,23.26,10200,22.520743
2015-12-24,23.059999,23.18,23.049999,23.049999,6800,22.260292
