Date,Open,High,Low,Close,Volume,Adj Close
2016-12-07,25.48,25.530001,25.48,25.530001,58500,25.530001
2016-12-06,25.48,25.50,25.440001,25.48,50900,25.48
2016-12-05,25.440001,25.51,25.41,25.50,88600,25.50
2016-12-02,25.440001,25.52,25.440001,25.50,86100,25.50
2016-12-01,25.440001,25.440001,25.32,25.389999,168100,25.389999
2016-11-30,25.58,25.60,25.559999,25.58,42700,25.58
2016-11-29,25.620001,25.67,25.610001,25.67,92700,25.67
2016-11-28,25.639999,25.66,25.620001,25.66,53900,25.66
2016-11-25,25.65,25.65,25.629999,25.65,83500,25.591999
2016-11-24,25.629999,25.629999,25.59,25.610001,52700,25.552091
2016-11-23,25.559999,25.639999,25.559999,25.60,93100,25.542113
2016-11-22,25.67,25.700001,25.629999,25.65,98600,25.591999
2016-11-21,25.629999,25.629999,25.60,25.629999,166100,25.572044
2016-11-18,25.67,25.67,25.60,25.610001,37200,25.552091
2016-11-17,25.690001,25.690001,25.639999,25.639999,33600,25.582022
2016-11-16,25.66,25.690001,25.65,25.690001,41700,25.63191
2016-11-15,25.60,25.65,25.57,25.57,73200,25.51218
2016-11-14,25.629999,25.629999,25.549999,25.559999,138100,25.502203
2016-11-11,25.879999,25.93,25.799999,25.93,31700,25.871367
2016-11-10,25.85,25.870001,25.75,25.799999,100900,25.74166
2016-11-09,26.040001,26.040001,25.90,25.90,107700,25.841434
2016-11-08,26.190001,26.190001,26.07,26.110001,78300,26.05096
2016-11-07,26.209999,26.209999,26.15,26.18,73000,26.120802
2016-11-04,26.25,26.290001,26.25,26.27,37300,26.210598
2016-11-03,26.209999,26.219999,26.200001,26.209999,35900,26.150732
2016-11-02,26.23,26.25,26.190001,26.190001,23600,26.130779
2016-11-01,26.18,26.209999,26.120001,26.200001,39000,26.140757
2016-10-31,26.190001,26.209999,26.17,26.209999,41600,26.150732
2016-10-28,26.139999,26.16,26.10,26.129999,61100,26.070913
2016-10-27,26.18,26.18,26.10,26.139999,58800,26.080891
2016-10-26,26.360001,26.360001,26.32,26.360001,100100,26.211597
2016-10-25,26.370001,26.42,26.34,26.379999,40200,26.231482
2016-10-24,26.42,26.42,26.35,26.360001,76400,26.211597
2016-10-21,26.379999,26.40,26.360001,26.379999,48000,26.231482
2016-10-20,26.280001,26.299999,26.27,26.280001,23200,26.132047
2016-10-19,26.23,26.26,26.209999,26.25,43000,26.102215
2016-10-18,26.209999,26.25,26.190001,26.23,59700,26.082327
2016-10-17,26.209999,26.23,26.200001,26.209999,56900,26.062439
2016-10-14,26.219999,26.25,26.139999,26.17,81700,26.022666
2016-10-13,26.27,26.290001,26.24,26.24,65600,26.092271
2016-10-12,26.219999,26.23,26.190001,26.23,67300,26.082327
2016-10-11,26.23,26.27,26.23,26.25,149900,26.102215
2016-10-07,26.309999,26.32,26.26,26.32,43000,26.171821
2016-10-06,26.33,26.35,26.309999,26.32,37200,26.171821
2016-10-05,26.450001,26.459999,26.370001,26.389999,52300,26.241426
2016-10-04,26.540001,26.540001,26.459999,26.459999,69000,26.311032
2016-10-03,26.60,26.610001,26.549999,26.57,38000,26.420413
2016-09-30,26.65,26.66,26.559999,26.57,56800,26.420413
2016-09-29,26.60,26.66,26.60,26.65,61200,26.499963
2016-09-28,26.639999,26.66,26.60,26.610001,54600,26.460189
2016-09-27,26.639999,26.65,26.559999,26.629999,98400,26.480075
2016-09-26,26.559999,26.620001,26.549999,26.60,77200,26.450245
2016-09-23,26.469999,26.530001,26.469999,26.530001,49100,26.38064
2016-09-22,26.379999,26.42,26.360001,26.40,34200,26.25137
2016-09-21,26.290001,26.34,26.280001,26.34,51400,26.191709
2016-09-20,26.299999,26.32,26.290001,26.309999,40100,26.161877
2016-09-19,26.23,26.25,26.219999,26.23,52700,26.082327
2016-09-16,26.23,26.23,26.18,26.190001,34400,26.042554
2016-09-15,26.16,26.200001,26.139999,26.200001,449700,26.052497
2016-09-14,26.17,26.219999,26.16,26.200001,38900,26.052497
2016-09-13,26.27,26.27,26.09,26.139999,47400,25.992834
2016-09-12,26.299999,26.33,26.290001,26.32,44900,26.143978
2016-09-09,26.40,26.41,26.32,26.32,70000,26.143978
2016-09-08,26.559999,26.57,26.41,26.440001,85200,26.263176
2016-09-07,26.60,26.620001,26.57,26.610001,35700,26.432039
2016-09-06,26.530001,26.559999,26.51,26.549999,68200,26.372439
2016-09-02,26.549999,26.549999,26.50,26.540001,47400,26.362508
2016-09-01,26.52,26.59,26.51,26.57,58200,26.392306
2016-08-31,26.540001,26.57,26.52,26.530001,91500,26.352574
2016-08-30,26.549999,26.549999,26.48,26.49,123300,26.312841
2016-08-29,26.459999,26.52,26.459999,26.50,72600,26.322774
2016-08-26,26.540001,26.57,26.459999,26.50,125200,26.265163
2016-08-25,26.549999,26.559999,26.530001,26.540001,58100,26.304809
2016-08-24,26.610001,26.610001,26.559999,26.57,36500,26.334542
2016-08-23,26.60,26.610001,26.57,26.59,106000,26.354365
2016-08-22,26.540001,26.559999,26.530001,26.559999,51300,26.324631
2016-08-19,26.50,26.50,26.450001,26.48,60100,26.24534
2016-08-18,26.51,26.530001,26.49,26.52,27500,26.284986
2016-08-17,26.50,26.540001,26.48,26.49,99000,26.255251
2016-08-16,26.549999,26.559999,26.50,26.51,39600,26.275074
2016-08-15,26.57,26.57,26.549999,26.549999,87000,26.314719
2016-08-12,26.639999,26.639999,26.59,26.59,44200,26.354365
2016-08-11,26.639999,26.639999,26.549999,26.559999,69100,26.324631
2016-08-10,26.65,26.67,26.620001,26.65,39200,26.413833
