Date,Open,High,Low,Close,Volume,Adj Close
2016-12-07,20.58,20.690001,20.549999,20.559999,16300,20.559999
2016-12-06,20.620001,20.66,20.52,20.65,10600,20.65
2016-12-05,20.59,20.66,20.58,20.639999,12100,20.639999
2016-12-02,20.59,20.639999,20.540001,20.639999,8200,20.639999
2016-12-01,20.60,20.60,20.459999,20.58,12700,20.58
2016-11-30,20.68,20.68,20.60,20.60,2400,20.60
2016-11-29,20.58,20.690001,20.57,20.59,65700,20.59
2016-11-28,20.59,20.690001,20.59,20.690001,7100,20.690001
2016-11-25,20.58,20.629999,20.559999,20.629999,7700,20.629999
2016-11-24,20.540001,20.58,20.51,20.58,8800,20.58
2016-11-23,20.530001,20.60,20.530001,20.559999,11300,20.559999
2016-11-22,20.67,20.68,20.629999,20.639999,2700,20.566999
2016-11-21,20.59,20.66,20.58,20.65,6700,20.576964
2016-11-18,20.620001,20.690001,20.57,20.59,6400,20.517177
2016-11-17,20.65,20.65,20.559999,20.620001,11100,20.547072
2016-11-16,20.50,20.700001,20.50,20.549999,4100,20.477318
2016-11-15,20.559999,20.60,20.459999,20.459999,9100,20.387636
2016-11-14,20.43,20.52,20.42,20.459999,13500,20.387636
2016-11-11,20.76,20.77,20.50,20.73,31800,20.656681
2016-11-10,20.620001,20.74,20.60,20.639999,17700,20.566999
2016-11-09,20.68,20.879999,20.59,20.66,17800,20.586929
2016-11-08,20.85,20.860001,20.83,20.83,700,20.756328
2016-11-07,20.83,20.879999,20.799999,20.809999,58500,20.736398
2016-11-04,20.940001,20.940001,20.82,20.92,46100,20.84601
2016-11-03,20.84,20.879999,20.82,20.82,5200,20.746363
2016-11-02,20.870001,20.92,20.83,20.83,23000,20.756328
2016-11-01,20.91,20.99,20.809999,20.99,7100,20.915762
2016-10-31,20.85,20.889999,20.82,20.83,15000,20.756328
2016-10-28,20.85,20.85,20.77,20.77,8500,20.696541
2016-10-27,20.809999,20.83,20.790001,20.799999,43400,20.726433
2016-10-26,20.959999,20.959999,20.84,20.90,25600,20.82608
2016-10-25,20.90,20.940001,20.889999,20.940001,24000,20.86594
2016-10-24,20.90,20.93,20.83,20.870001,77400,20.796187
2016-10-21,20.98,20.99,20.870001,20.99,41400,20.842023
2016-10-20,20.90,20.959999,20.90,20.950001,46400,20.802306
2016-10-19,20.860001,20.92,20.84,20.870001,22100,20.72287
2016-10-18,20.85,20.889999,20.83,20.83,7800,20.683151
2016-10-17,20.780001,20.82,20.77,20.799999,10300,20.653362
2016-10-14,20.84,20.889999,20.84,20.860001,14700,20.712941
2016-10-13,20.889999,20.92,20.870001,20.92,14100,20.772517
2016-10-12,20.85,20.85,20.799999,20.83,4100,20.683151
2016-10-11,20.84,20.879999,20.82,20.84,6600,20.693081
2016-10-07,20.889999,20.940001,20.799999,20.940001,22900,20.792376
2016-10-06,20.879999,20.93,20.83,20.93,43900,20.782447
2016-10-05,20.91,20.940001,20.85,20.85,32200,20.703011
2016-10-04,20.99,21.00,20.91,20.91,49700,20.762587
2016-10-03,21.00,21.030001,21.00,21.030001,10400,20.881742
2016-09-30,20.99,21.030001,20.959999,20.99,16000,20.842023
2016-09-29,21.00,21.07,20.99,21.07,19700,20.921459
2016-09-28,20.92,21.040001,20.92,21.040001,22200,20.891672
2016-09-27,20.99,21.00,20.889999,20.90,6700,20.752658
2016-09-26,20.959999,21.00,20.879999,20.93,21500,20.782447
2016-09-23,20.879999,20.959999,20.879999,20.940001,14900,20.792376
2016-09-22,20.82,20.889999,20.799999,20.83,17600,20.683151
2016-09-21,20.74,20.799999,20.74,20.75,10100,20.603715
2016-09-20,20.77,20.790001,20.719999,20.76,11400,20.613645
2016-09-19,20.639999,20.780001,20.639999,20.780001,6900,20.633505
2016-09-16,20.76,20.790001,20.65,20.67,23000,20.524279
2016-09-15,20.790001,20.790001,20.700001,20.74,4800,20.593786
2016-09-14,20.82,20.83,20.629999,20.629999,33400,20.484561
2016-09-13,20.90,20.940001,20.83,20.83,10000,20.610666
2016-09-12,20.92,20.99,20.879999,20.879999,2700,20.660139
2016-09-09,21.00,21.030001,20.90,20.99,27500,20.768981
2016-09-08,21.00,21.01,20.93,20.93,22800,20.709614
2016-09-07,21.00,21.049999,20.98,20.99,49900,20.768981
2016-09-06,20.969999,20.969999,20.93,20.93,6300,20.709614
2016-09-02,20.92,20.98,20.90,20.90,3500,20.679929
2016-09-01,20.93,21.00,20.90,20.92,19200,20.699719
2016-08-31,20.879999,20.969999,20.879999,20.969999,8900,20.749192
2016-08-30,20.870001,20.93,20.85,20.92,90500,20.699719
2016-08-29,20.83,20.879999,20.77,20.77,4200,20.551299
2016-08-26,20.85,20.90,20.780001,20.809999,15600,20.590876
2016-08-25,20.870001,20.90,20.82,20.85,8200,20.630456
2016-08-24,20.889999,20.90,20.76,20.76,12100,20.541404
2016-08-23,20.950001,20.959999,20.90,20.90,4100,20.606708
2016-08-22,20.889999,20.93,20.889999,20.90,39600,20.606708
2016-08-19,20.860001,20.870001,20.860001,20.870001,1400,20.57713
2016-08-18,20.860001,20.90,20.860001,20.90,5200,20.606708
2016-08-17,20.860001,20.889999,20.780001,20.809999,4400,20.517971
2016-08-16,20.879999,20.879999,20.799999,20.870001,9100,20.57713
2016-08-15,20.90,20.92,20.82,20.82,44500,20.527831
2016-08-12,20.90,20.92,20.870001,20.92,8900,20.626428
2016-08-11,20.860001,20.91,20.799999,20.799999,21800,20.508111
2016-08-10,20.91,20.91,20.799999,20.799999,35500,20.508111
2016-08-09,20.879999,20.91,20.85,20.85,11200,20.557411
2016-08-08,20.870001,20.90,20.870001,20.889999,9900,20.596848
2016-08-05,20.85,20.879999,20.85,20.860001,21100,20.567271
2016-08-04,20.75,20.860001,20.75,20.85,52900,20.557411
2016-08-03,20.75,20.82,20.74,20.82,14700,20.527831
2016-08-02,20.809999,20.85,20.75,20.85,14800,20.557411
2016-07-29,20.83,20.879999,20.799999,20.879999,3600,20.586988
2016-07-28,20.75,20.809999,20.75,20.75,25900,20.458814
2016-07-27,20.690001,20.83,20.690001,20.83,16400,20.537691
2016-07-26,20.75,20.790001,20.68,20.700001,81900,20.409516
2016-07-25,20.75,20.790001,20.68,20.76,6000,20.468674
2016-07-22,20.690001,20.790001,20.68,20.690001,10700,20.399656
2016-07-21,20.74,20.83,20.74,20.83,45900,20.464729
2016-07-20,20.74,20.799999,20.74,20.74,13400,20.376307
2016-07-19,20.709999,20.83,20.709999,20.809999,12200,20.445079
2016-07-18,20.690001,20.75,20.65,20.75,8300,20.386132
2016-07-15,20.75,20.799999,20.73,20.75,3500,20.386132
2016-07-14,20.809999,20.860001,20.780001,20.84,9500,20.474554
2016-07-13,20.879999,20.879999,20.77,20.799999,8700,20.435254
2016-07-12,20.84,20.870001,20.75,20.85,30500,20.484379
2016-07-11,20.799999,20.98,20.790001,20.799999,36000,20.435254
2016-07-08,20.799999,20.940001,20.799999,20.799999,27100,20.435254
2016-07-07,20.85,20.860001,20.74,20.799999,23900,20.435254
2016-07-06,20.67,20.84,20.67,20.76,36300,20.395957
2016-07-05,20.629999,20.690001,20.629999,20.629999,9400,20.268236
2016-07-04,20.65,20.65,20.59,20.639999,9100,20.27806
2016-06-30,20.639999,20.65,20.540001,20.549999,36700,20.189638
2016-06-29,20.690001,20.700001,20.57,20.57,31500,20.209288
2016-06-28,20.57,20.639999,20.549999,20.639999,15900,20.27806
2016-06-27,20.51,20.620001,20.51,20.57,5000,20.209288
2016-06-24,20.440001,20.639999,20.440001,20.50,49900,20.140516
